med_code_id,term,observations,snomed_ct_concept_id
431681000006117,Vascular dementia,500000,
26545010,Senile dementia,300000,
148381000006115,Senile/presenile dementia,100000,
294635013,Uncomplicated senile dementia,90000,
251625013,H/O: dementia,70000,
299641000000112,Diffuse Lewy body disease,50000,
497559016,Arteriosclerotic dementia,50000,
696161000006115,Multi-infarct dementia,30000,
359141000006111,[X] Senile dementia NOS,30000,
295681016,"[X]Vascular dementia, unspecified",20000,
425901000006116,"[X]Senile dementia,Alzheimer's type",20000,
21256010,Presenile dementia,10000,
745381000006119,Lewy body disease,10000,
399031000006111,[X]Multi-infarct dementia,9000,
398571000006112,Mixed cortical and subcortical vascular dementia,9000,
294718018,Dementia in conditions EC,7000,
3414251000006112,VAD - Vascular dementia,6000,
363791000006112,[X]Arteriosclerotic dementia,6000,
346929012,Alcoholic dementia,6000,
882201000006116,Senile dementia - simple type,5000,
428201000006119,Subcortical vascular dementia,5000,
294646011,Senile dementia with depression,4000,
914921000006117,[D] Vascular dementia,4000,
294644014,Senile dementia with depressive or paranoid features,4000,
1972081000006115,"Unspecified dementia, other mixed symptoms",3000,
294648012,Senile dementia with delirium,3000,
294645010,Senile dementia with paranoia,3000,
6024061000006111,Senile dementia of the Lewy body type,2000,
362941000006113,[X]Alcoholic dementia NOS,2000,
295680015,[X]Other vascular dementia,2000,
294656010,Arteriosclerotic dementia NOS,2000,
295714013,[X]Delirium superimposed on dementia,2000,
294643015,Presenile dementia NOS,1000,
401760017,Other alcoholic dementia,1000,
295690011,[X]Dementia in other specified diseases classif elsewhere,1000,
882191000006119,Senile and presenile dementias,900,
431691000006119,Vascular dementia of acute onset,900,
294642013,Presenile dementia with depression,900,
294652012,Uncomplicated arteriosclerotic dementia,900,
97154016,Niemann-Pick disease,700,
1972021000006119,"Unspecified dementia, without additional symptoms",600,
6900181000006114,"Primary degenerative dementia of the Alzheimer type, senile onset",600,
359151000006113,"[X] Senile dementia, depressed or paranoid type",600,
359081000006118,[X] Presenile dementia NOS,500,
1976831000006111,"Vascular dementia, unspecified, other mixed symptoms",500,
882211000006118,Senile dementia-acute confused,500,
294641018,Presenile dementia with paranoia,400,
294637017,Uncomplicated presenile dementia,400,
423351000006115,"[X]Presenile dementia,Alzheimer's type",400,
294654013,Arteriosclerotic dementia with paranoia,400,
294655014,Arteriosclerotic dementia with depression,400,
423221000006117,[X]Predominantly cortical dementia,300,
1973401000006112,"Other vascular dementia, other mixed symptoms",300,
294647019,Senile dementia with depressive or paranoid features NOS,300,
6897211000006117,"Primary degenerative dementia of the Alzheimer type, presenile onset",200,
