med_code_id,term,observations,snomed_ct_concept_id
488211000006112,Mixed anxiety and depressive disorder,8000000.0,
376691000006116,Depression,5000000.0,
295535012,Depressive disorder,5000000.0,
2164006016,Depressed,3000000.0,
376721000006114,Depressive episode,1000000.0,
675861000006113,Reactive depression (situational),800000.0,
296138013,[X]Moderate depressive episode,700000.0,
401872015,"[X]Depressive episode, unspecified",600000.0,
223651000000118,Postpartum depression,500000.0,
359121000006116,Reactive depression,400000.0,
401766011,"Major depression, single episode",400000.0,
882671000006112,Depression,300000.0,
295537016,Chronic depression,300000.0,
398561000006117,[X]Mixed anxiety and depressive disorder,300000.0,
401873013,[X]Recurrent depressive disorder,300000.0,
294844012,Recurrent depression,300000.0,
296137015,Mild depression,200000.0,
441826016,Endogenous depression,200000.0,
882681000006110,Depression NOS,200000.0,
410861011,Endogenous depression - recurrent,200000.0,
473201000006114,Mood disorder,200000.0,
401866015,[X]Severe depressive episode without psychotic symptoms,100000.0,
138421012,Agitated depression,100000.0,
213641000000111,[X]Mild depression,90000.0,
346972018,Endogenous depression first episode,80000.0,
882401000006115,Reactive (neurotic) depression,80000.0,
474171000006112,Agitated depression,80000.0,
294826016,"Moderate major depression, single episode",50000.0,
294825017,"Mild major depression, single episode",50000.0,
642461000006116,Endogenous depression first episode,50000.0,
182721000006111,Recurrent major depressive episodes,50000.0,
376711000006118,[X]Depressive disorder NOS,50000.0,
1231868010,Puerperal depression,30000.0,
294824018,"Single major depressive episode, unspecified",30000.0,
398351000006110,[X]Mild anxiety depression,30000.0,
6000711000006112,Moderate depression,20000.0,
1839581000006112,PHQ9 total score 20-27 (severe depression),20000.0,
1839571000006114,PHQ9 total score 15-19 (moderately severe depression),20000.0,
1839561000006119,PHQ9 total score 10-14 (moderate depression),20000.0,
142541000006115,"Severe major depression, single episode",20000.0,
379781000006118,[X]Endogenous depression without psychotic symptoms,20000.0,
296181011,"[X]Recurrent depressive disorder, current episode moderate",20000.0,
294838013,"Recurrent major depressive episodes, moderate",20000.0,
882821000006110,Moderate depression,10000.0,
294837015,"Recurrent major depressive episodes, mild",10000.0,
419841000006116,[X]Persistant anxiety depression,10000.0,
294836012,"Recurrent major depressive episodes, unspecified",10000.0,
1715181000006114,Moderate major depression,10000.0,
1715191000006112,Severe major depression with psychotic features,10000.0,
423131000006113,[X]Postnatal depression NOS,10000.0,
294845013,Recurrent major depressive episode NOS,10000.0,
401876017,"[X]Recurrent depressive disorder, unspecified",10000.0,
401871010,[X]Other depressive episodes,9000.0,
294832014,Single major depressive episode NOS,9000.0,
182771000006112,"Recurrent major depressive episodes, severe",9000.0,
223741000000112,Severe depression,9000.0,
908731000006114,[RFC] Postnatal depression,9000.0,
399961000006118,Depressive neurosis,8000.0,
426971000006119,[X]Single episode of reactive depression,8000.0,
426911000006111,[X]Single episode of depressive reaction,7000.0,
346973011,Masked depression,6000.0,
296180012,"[X]Recurrent depressive disorder, current episode mild",6000.0,
909681000006110,[RFC] Depression,6000.0,
