med_code_id,term,observations,snomed_ct_concept_id
197761014,Type 2 diabetes mellitus,20000000,
1658901000000118,Type II diabetic dietary review,1000000,
280571000006116,Non-insulin dependent diabetes mellitus,700000,
493774016,Type II diabetes mellitus,600000,
914391000006116,Insulin treated Type 2 diabetes mellitus,500000,
84471000006119,Type 2 diabetes mellitus,200000,
73466011,Non-insulin dependent diabetes mellitus,100000,
479571000000110,Diabetes type 2 review,100000,
616511000006110,"Diabetes mellitus, adult onset, no mention of complication",70000,
84841000006113,Type II diabetes mellitus,50000,
928561000006118,Persistent microalbuminuria associated with type 2 diabetes mellitus,50000,
493773010,NIDDM - Non-insulin dependent diabetes mellitus,40000,
840951000006119,Insulin treated Type 2 diabetes mellitus,40000,
928541000006117,Persistent proteinuria associated with type 2 diabetes mellitus,30000,
223291000000111,Maturity onset diabetes,20000,
2287971000000119,Diabetes mellitus in remission,20000,
292590011,Type II diabetes mellitus poorly controlled,10000,
2288061000000111,Type II diabetes mellitus in remission,10000,
457329019,Type 2 diabetes mellitus without complication,9000,
2288071000000116,Type 2 diabetes mellitus in remission,8000,
281171000006119,Type II diabetes mellitus uncontrolled,8000,
1665721000000112,Type 2 diabetic dietary review,8000,
914261000006119,Diabetes type 2 with nephropathy,5000,
457328010,Non-insulin-dependent diabetes mellitus without complication,5000,
914151000006112,Retinopathy with type 2 diabetes mellitus,5000,
299621000000117,Gastroparesis with type 2 diabetes mellitus,3000,
914031000006118,Renal disorder associated with type II diabetes mellitus,3000,
292577016,Type 2 diabetes mellitus with multiple complications,2000,
1223147012,Insulin treated Type II diabetes mellitus,2000,
928571000006113,Type II diabetes mellitus with persistent microalbuminuria,2000,
928581000006111,Ketoacidosis in type 2 diabetes mellitus,2000,
14083811000006118,Persistent microalbuminuria due to type 2 diabetes mellitus,2000,
1488898011,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,1000,
841351000006110,Insulin treated Type II diabetes mellitus,1000,
292579018,Type 2 diabetes mellitus with ulcer,1000,
938321000006116,Exudative maculopathy associated with type 2 diabetes mellitus,1000,
1223148019,Insulin treated non-insulin dependent diabetes mellitus,1000,
616481000006119,"Diabetes mellitus, adult onset, + neurological manifestation",1000,
914071000006115,Neurologic disorder associated with type 2 diabetes mellitus,1000,
84481000006116,Type 2 diabetes mellitus - poor control,1000,
7480661000006114,H/O diabetes mellitus type 2,1000,
914051000006113,Disorder of eye with type 2 diabetes mellitus,1000,
457330012,Type II diabetes mellitus without complication,900,
914241000006118,Polyneuropathy due to type 2 diabetes mellitus,800,
459313016,Type 2 diabetes mellitus with neuropathic arthropathy,800,
616491000006116,"Diabetes mellitus, adult onset, + ophthalmic manifestation",800,
616531000006116,"Diabetes mellitus, adult onset, with ketoacidosis",700,
587521000006111,Non-insulin-dependent diabetes mellitus with renal comps,700,
641581000006115,Non-insulin-dependent diabetes mellitus with retinopathy,600,
616501000006112,Disorder due to type 2 diabetes mellitus,600,
84551000006113,Type 2 diabetes mellitus with nephropathy,600,
616581000006115,"Diabetes mellitus, adult, + peripheral circulatory disorder",600,
616551000006111,"Diabetes mellitus, adult onset, with renal manifestation",600,
84851000006110,Type II diabetes mellitus - poor control,600,
587111000006111,Non-insulin-dependent diabetes mellitus with ophthalm comps,500,
84921000006110,Renal disorder due to type 2 diabetes mellitus,500,
928551000006115,Type II diabetes mellitus with persistent proteinuria,500,
850691000006118,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,400,
14084041000006114,Persistent proteinuria due to type 2 diabetes mellitus,400,
674961000006118,Peripheral circulatory disorder associated with type 2 diabetes mellitus,400,
1667921000000117,Type II diabetes mellitus with gastroparesis,400,
280591000006115,Non-insulin-dependent diabetes mellitus with neuro comps,400,
8027521000006110,Microalbuminuria due to type 2 diabetes mellitus,300,
280581000006118,Non-insulin-dependent diabetes mellitus with multiple complications,300,
280551000006114,Non-insulin-dependent diabetes mellitus with ulcer,300,
914301000006111,Type 2 diabetes mellitus with diabetic cataract,300,
292583018,Type 2 diabetes mellitus with gangrene,300,
84611000006113,Type 2 diabetes mellitus with renal complications,200,
84541000006111,Type 2 diabetes mellitus with multiple complications,200,
459308015,Type 2 diabetes mellitus with peripheral angiopathy,200,
3209441000006114,Diabetes mellitus type 2,200,
459310018,Type 2 diabetes mellitus with arthropathy,200,
280531000006119,Non-insulin dependent diabetes mellitus with nephropathy,200,
914221000006113,Type 2 diabetes mellitus with mononeuropathy,200,
292589019,Type II diabetes mellitus - poor control,200,
84581000006117,Type 2 diabetes mellitus with ophthalmic complications,200,
616561000006113,"Diabetes mellitus, adult with gangrene",200,
459167016,Type 2 diabetes mellitus with hypoglycaemic coma,200,
306113018,"Pre-existing diabetes mellitus, non-insulin-dependent",100,
281161000006114,Non-insulin depend diabetes mellitus with diabetic cataract,100,
84561000006110,Type 2 diabetes mellitus with neurological complications,100,
8012091000006113,Type II diabetes on diet only,100,
84871000006117,Cataract due to diabetes mellitus type 2,100,
84621000006117,Type 2 diabetes mellitus with retinopathy,100,
938331000006118,Exudative maculopathy with type 2 diabetes mellitus,100,
84991000006112,Type II diabetes mellitus with retinopathy,100,
8012061000006117,Type 2 diabetic on insulin,90,
914311000006114,Type II diabetes mellitus with diabetic cataract,90,
914271000006114,Type II diabetes mellitus with nephropathy,90,
281211000006117,Gangrene associated with type 2 diabetes mellitus,90,
914161000006114,Type II diabetes mellitus with retinopathy,80,
84631000006119,Type 2 diabetes mellitus with ulcer,80,
84641000006112,Type 2 diabetes mellitus without complication,80,
1667891000000113,Hyperosmolar non-ketotic state in type II diabetes mellitus,70,
928591000006114,Type II diabetes mellitus with ketoacidosis,70,
