med_code_id,term,observations,snomed_ct_concept_id
295145018,Drug dependence,1000000,
397153012,Drug addiction therapy,700000,
630131000006118,Drug addiction therapy - methadone,300000,
295146017,Drug addiction,80000,
303011000000111,Drug addiction maintenance therapy - methadone,80000,
295157010,Opioid drug dependence NOS,70000,
630361000006113,Drug dependence therapy,60000,
295241016,Drug dependence NOS,50000,
401793014,Cannabis type drug dependence,40000,
2476701016,H/O: drug abuse,40000,
316901000000118,Drug addiction maintenance therapy - buprenorphine,30000,
379281000006110,[X]Drug addiction - opioids,30000,
295172014,Cocaine type drug dependence,30000,
302981000000113,Drug addiction detoxification therapy - methadone,20000,
253488010,Suspected drug abuse,10000,
295191014,Cannabis drug dependence NOS,10000,
379251000006119,[X]Drug addiction - cannabis,8000,
379311000006112,[X]Drug addiction- sedative / hypnotics,6000,
379261000006117,[X]Drug addiction - cocaine,6000,
405031011,Drug addiction notification,6000,
316931000000112,Drug addiction detoxification therapy - buprenorphine,5000,
379301000006114,[X]Drug addiction NOS,3000,
371621000000117,Delivery of rehabilitation for drug addiction,3000,
295179017,Cocaine drug dependence NOS,3000,
263571015,Maternal drug abuse,3000,
401796018,Other specified drug dependence,2000,
2533722018,Drug dependence home detoxification,1000,
379321000006116,[X]Drug addiction-other stimul,1000,
2923041000006117,Drug abuse,1000,
295240015,Ecstasy type drug dependence,1000,
295224018,"Other specified drug dependence, continuous",1000,
2533721013,Drug dependence self detoxification,900,
285119012,Drug addiction notification status,600,
295213015,[X]Drug addiction - solvent,500,
295227013,Other specified drug dependence NOS,300,
295222019,"Other specified drug dependence, unspecified",300,
910591000006118,[RFC] Drug addiction,200,
8061171000006115,Drug addiction therapy - buprenorphine,200,
1715481000000114,Drug addiction maintenance therapy - naltrexone,100,
3878511000006117,Amphetamine abuse,100,
379271000006112,[X]Drug addiction - hallucinogen,90,
4979091000006119,Drug abuse behaviour,50,
295225017,"Other specified drug dependence, episodic",50,
5023891000006111,Active drug dependence,20,
1715521000000114,Drug addiction maintenance therapy - lofexidine,10,
2533733015,Drug dependence home detoxification contraindicated,10,
6218931000006110,Drug abuser,9,
2604131000006116,Dependent drug abuse,8,
5023881000006113,Controlled drug dependence,5,
4979111000006111,Drug abuse behavior,1,
4979221000006113,Poly-drug abuser,1,
4177311000006117,Chronic drug abuse,1,
5506501000006116,Dependent sedative or hypnotic drug abuse,1,
7522331000006114,Methamphetamine abuse,1,
