med_code_id,term,observations,snomed_ct_concept_id
1700711000006113,Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised,40000000,
457954013,HbA1c level (Diabetes Control and Complications Trial aligned),20000000,
129761000000114,Haemoglobin A1c level,7000000,
404444016,Haemoglobin A1C - diabetic control interpretation,3000000,
109871000006113,Test request : Haemoglobin A1c,1000000,
484835011,Haemoglobin A level,200000,
257620012,Hb. A1C 7-10% - borderline,100000,
453910015,Haemoglobin A1C - diabetic control finding,100000,
257619018,Hb. A1C < 7% - good control,100000,
257623014,Hb. A1C - diabetic control,90000,
803891000006119,Glycated haemoglobin,80000,
257621011,Hb. A1C > 10% - bad control,50000,
817491000006111,Haemoglobin A1c between 7%-10% indicating borderline diabetic control,40000,
457953019,HbA1 level (Diabetes Control and Complications Trial aligned),40000,
817471000006110,Haemoglobin A1c less than 7% indicating good diabetic control,30000,
1927791000006119,Raised HbA1c level,20000,
2154205011,Total glycosylated haemoglobin level,20000,
451418011,Haemoglobin A1 level,20000,
817481000006113,Haemoglobin A1c greater than 10% indicating poor diabetic control,10000,
3199161000006117,Haemoglobin A1c measurement,3000,
5417451000006114,Glycosylated haemoglobin,600,
6036711000006118,HbA1c level (DCCT aligned),300,
3199191000006113,HbA1c - Hemoglobin A1c level,300,
8121181000006118,Hb A1c (Haemoglobin A1c) level - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised,80,
3199181000006110,HbA1c - Haemoglobin A1c level,50,
7960861000006110,Glycated haemoglobin,20,
7285151000006113,HBA1c (Hemoglobin A1c) level,20,
8121171000006116,Hb A1c (Haemoglobin A1c) measurement - IFCC (International Federation of Clinical Chemistry and Laboratory Medicine) standardised,10,
7285141000006111,HBA1c (Haemoglobin A1c) level,10,
7960891000006119,Glycated haemoglobin-A1c,10,
6036701000006116,HbA1c measurement (DCCT aligned),9,
7960911000006117,HbA1c - Glycated hemoglobin-A1c,3,
7960921000006113,HbA1c - Glycated haemoglobin-A1c,1,
7960871000006115,Glycated hemoglobin,1,
804121000006112,Glycosylated Hb,300000,
5417451000006114,Glycosylated haemoglobin,600,
7297311000006119,High haemoglobin A1c level,1,
