med_code_id,term,observations,snomed_ct_concept_id
139475013,Heart failure,800000,
70653017,Congestive heart failure,700000,
141306010,Left ventricular failure,700000,
493287011,Congestive cardiac failure,500000,
216207010,Left ventricular systolic dysfunction,200000,
2159197017,Echocardiogram shows left ventricular systolic dysfunction,200000,
784191000006110,Impaired left ventricular function,100000,
1484918019,Heart failure annual review,100000,
2616471011,New York Heart Association Classification - Class II,80000,
216246012,Referral to heart failure clinic,60000,
407061000000112,Heart failure monitoring first letter,60000,
1488591011,Suspected heart failure,50000,
404741000000119,Heart failure 6 month review,50000,
411506018,Impaired left ventricular function,50000,
395772015,Heart failure NOS,40000,
2616470012,New York Heart Association Classification - Class I,40000,
2616472016,New York Heart Association Classification - Class III,40000,
1484917012,Heart failure follow-up,30000,
139482012,Cardiac failure,30000,
308261000000111,Heart failure review completed,30000,
216184014,Congestive heart failure monitoring,30000,
510016018,Biventricular congestive heart failure,20000,
300179017,Decompensated cardiac failure,20000,
1488804017,Heart failure confirmed,20000,
1561941000006119,Excepted from heart failure quality indicators - patient unsuitable,20000,
132655012,Chronic cor pulmonale,20000,
147247018,Chronic congestive heart failure,20000,
206703015,Right heart failure,20000,
1484901018,Heart failure screen,20000,
2645623019,Heart failure education,20000,
407081000000115,Heart failure monitoring second letter,20000,
82584011,Acute cor pulmonale,10000,
1647701000000118,Heart failure with normal ejection fraction,10000,
308301000000118,Discussion about heart failure care plan,10000,
300190010,Acute left ventricular failure,10000,
3886041000006118,Left heart failure,10000,
1561951000006117,Excepted from heart failure quality indicators - informed dissent,9000,
1746171000000119,Has heart failure management plan,9000,
1490256017,Acute pulmonary oedema,9000,
251680018,H/O: heart failure,8000,
308231000000118,Heart failure monitoring administration,8000,
2227501000000110,Heart failure with preserved ejection fraction,8000,
7484711000006114,Heart failure medication review,7000,
18472010,Acute congestive heart failure,7000,
407101000000114,Heart failure monitoring third letter,5000,
299851018,Other chronic pulmonary heart disease,4000,
1488629013,Heart failure excluded,4000,
301741013,Acute pulmonary oedema unspecified,4000,
94251011,Acute heart failure,4000,
406801000000118,Heart failure monitoring telephone invitation,4000,
1816101000006113,Right ventricular failure,3000,
301743011,Acute pulmonary oedema NOS,3000,
490972013,Right ventricular failure,3000,
2117931000000116,Heart failure self-management plan agreed,3000,
1769091000006112,Fast track heart failure referral for transthoracic two dimensional echocardiogram,3000,
8214751000006115,Heart failure monitoring invitation,3000,
2122191000000110,Education about deteriorating heart failure,3000,
2616473014,New York Heart Association Classification - Class IV,3000,
1165041000000115,Heart failure resolved,3000,
395756011,Chronic pulmonary heart disease NOS,2000,
7025691000006110,Decompensated chronic heart failure,2000,
223981000000118,Cardiac failure NOS,2000,
308011000000119,Provision of information about heart failure,2000,
12626351000006111,QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation,1000,
407041000000111,Heart failure monitoring verbal invitation,1000,
300180019,Compensated cardiac failure,1000,
7573171000006116,Heart failure with reduced ejection fraction,1000,
145620019,Chronic pulmonary heart disease,1000,
8303561000006119,Heart failure monitoring,1000,
2115781000000114,Heart failure self-management plan review,1000,
2675255018,Congestive heart failure due to valvular disease,900,
1856361000006116,Heart failure monitoring in primary care,900,
317955011,Cardiorespiratory failure,900,
316833010,Congenital cardiac failure,900,
3182541000006117,Congestive cardiac failure,900,
1959121000006111,Heart Age study: Failed to respond to first telephone invitation,800,
453099015,H/O: Heart failure in last year,800,
2549208013,Emergency hospital admission for heart failure,800,
3182551000006115,CCF - Congestive cardiac failure,800,
2205951000000117,Heart failure clinical pathway,800,
7321121000006119,Heart failure with preserved ejection fraction,600,
1495417010,Cardiac asthma,600,
1539481000006114,Heart failure monitoring - specialist clinical needs,600,
504901000006118,Benign hypertensive heart disease with congestive cardiac failure,500,
1661371000000112,HFNEF - heart failure with normal ejection fraction,500,
1959131000006114,Heart Age study: Failed to respond to second telephone invitation,300,
72934016,Rheumatic left ventricular failure,300,
1539521000006114,Heart failure monitoring - co-medications,200,
7251291000006119,Chronic diastolic heart failure,100,
3855401000006112,Cor pulmonale,100,
139481017,Weak heart,100,
2664351000006113,Chronic right-sided heart failure,100,
1728531000006116,Heart failure resolved,100,
1856371000006111,Heart failure monitoring in secondary care,100,
13910671000006110,Heart failure with mid range ejection fraction,100,
1539541000006119,Heart failure monitoring - palliative care,90,
350484012,Heart failure as a complication of care,80,
3283871000006117,Chronic heart failure,80,
728681000006116,Malignant hypertensive heart disease without congestive heart failure,80,
1959141000006116,Heart Age study: Failed to respond to third telephone invitation,80,
8290471000006114,Heart failure initial assessment,70,
1856381000006114,Heart failure monitoring default,50,
76126013,Kyphoscoliotic heart disease,50,
1216090015,"Acute oedema of lung, unspecified",50,
741701000006114,Hypertensive heart and renal disease with (congestive) heart failure,50,
728671000006119,Malignant hypertensive heart disease with congestive cardiac failure,40,
5573991000006118,Impaired left ventricular func,40,
7573201000006117,Heart failure with reduced ejection fraction due to cardiomyopathy,30,
3589241000006116,Chronic right-sided congestive heart failure,30,
299853015,Other chronic pulmonary heart disease NOS,30,
1539381000006117,Heart failure lifestyle plan commenced,30,
3515953019,Heart failure self management plan,30,
6212521000006115,Acute cardiac pulmonary oedema,30,
7056281000006118,Congestive heart failure due to left ventricular systolic dysfunction,30,
1539471000006111,Heart failure monitoring - unstable symptoms,20,
6919191000006119,Diastolic heart failure,20,
1747691000006119,Emergency heart failure admission since last appointment,20,
1539491000006112,Heart failure monitoring - social issues,20,
1539531000006112,Heart failure monitoring - co-morbidities,20,
324975010,Heart-lung transplant failure and rejection,20,
884211000006114,Other pulmonary heart disease,20,
7250571000006113,Chronic systolic heart failure,20,
1539391000006119,Heart failure information starter pack provided,20,
324974014,Heart transplant failure and rejection,20,
12623611000006114,Excepted from heart failure quality indicators - service unavailable,20,
789941000006117,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,20,
884191000006113,Chronic pulmonary heart dis.,20,
8030311000006111,Exacerbation of congestive heart failure,10,
12734351000006110,QOF (Quality and Outcomes Framework) heart failure quality indicator-related care invitation using preferred method of communication,10,
14015051000006114,Acute on chronic right-sided congestive heart failure,10,
3886071000006114,LVF - Left ventricular failure,10,
1784061000006118,Preferred place of care for next exacerbation of heart failure,10,
4193361000006119,Chronic left-sided heart failure,8,
7573181000006118,Heart failure with reduced ejection fraction due to coronary artery disease,8,
7510321000006115,Asymptomatic left ventricular systolic dysfunction,8,
7573211000006119,Heart failure with reduced ejection fraction due to heart valve disease,7,
1539511000006118,Heart failure monitoring - multiple readmissions,7,
6914191000006115,Systolic heart failure,5,
7119751000006110,Chronic systolic dysfunction of left ventricle,5,
1861741000006116,AURAS-AF - consider the patient not to have heart failure,5,
6204381000006117,Acute right-sided heart failure,5,
1959101000006118,Heart Age study: Failed to respond to NHS Health Check three written personalised invitations,4,
6361031000006112,Depression of left ventricular systolic function,4,
4005301000006110,Biventricular failure,4,
7119761000006112,Chronic left ventricular systolic dysfunction,3,
2405871000000117,Heart failure rehabilitation programme not available,3,
2585431000006117,Chronic left-sided congestive heart failure,3,
7475721000006114,Heart failure due to end stage congenital heart disease,3,
1539501000006116,Heart failure monitoring - psychological issues,3,
7573191000006115,Heart failure with reduced ejection fraction due to myocarditis,3,
3800291000006115,COR - Chronic cor pulmonale,3,
3182531000006110,Congestive heart disease,2,
2660881000006116,High output heart failure,2,
1861731000006114,AURAS-AF - consider the patient to have heart failure,2,
8011111000006111,Congestive heart failure with right heart failure,2,
3152691000006117,Acute pulmonary edema,2,
3213831000006118,Right heart failure secondary to left heart failure,2,
7507301000006110,Acute exacerbation of chronic congestive heart failure,2,
8048061000006111,Chronic combined systolic and diastolic heart failure,2,
3152701000006117,Acute edema of lung,1,
3182561000006118,CHF - Congestive heart failure,1,
1959071000006111,Heart Age study: Failed to respond to NHS Health Check three written standard invitations,1,
3489281000006119,Hypertensive heart disease without congestive heart failure,1,
3152721000006110,Pulmonary oedema - acute,1,
1822161000006116,Heart failure pathway protocol not followed,1,
7510341000006110,Symptomatic congestive heart failure,1,
3868341000006118,HF - Heart failure,1,
7052811000006113,Right heart failure due to pulmonary hypertension,1,
8278041000006115,Rehabilitation for heart failure,1,
