med_code_id,term,observations,snomed_ct_concept_id
253669010,Standing height,90000000,
253676017,O/E - height NOS,100000,
11905141000006112,O/E - height,40000,
3315721000006119,Body height,7000,
1910931000006112,Reported height,2000,
3315711000006110,Body height measure,200,
923831000006115,O/E - height,200,
5256071000006119,General finding of height,80,
4551671000006115,On examination - height,10,
253672015,O/E -height within 10% average,20000,
284561000006119,O/E - height 10-20% < average,2000,
4551701000006119,O/E - height 10-20% below average,9,
271181000006113,O/E-height > 20% below average,1000,
4551681000006117,O/E - height greater than 20% below average,5,
253673013,O/E-height 10-20% over average,1000,
4551761000006118,O/E - height greater than 20% over average,3,
272151000006114,O/E -height > 20% over average,600,
