med_code_id,term,observations,snomed_ct_concept_id
259232010,Serum high density lipoprotein cholesterol level,60000000,
458313013,Plasma HDL (high density lipoprotein) cholesterol level,2000000,
259266018,Lipoprotein electroph. - HDL,300000,
259242012,Serum fasting HDL (high density lipoprotein) cholesterol level,200000,
259243019,Serum random HDL (high density lipoprotein) cholesterol level,100000,
1822511000006110,Test request : Serum HDL cholesterol level,100000,
855771000006118,HDL cholesterol level,100000,
259567011,Plasma fasting HDL (high density lipoprotein) cholesterol level,40000,
259564016,Plasma random HDL (high density lipoprotein) cholesterol level,30000,
2949971000006113,High density lipoprotein cholesterol measurement,400,
817591000006110,HDL - electrophoresis,300,
2650141000006111,HDL,200,
4079571000006118,HDL cholesterol,100,
2650121000006116,High density lipoprotein,100,
987321000006112,Pre-treatment fasting HDL cholesterol,60,
8385731000006118,Serum HDL (high density lipoprotein) cholesterol level,50,
4600211000006117,Serum HDL cholesterol level,40,
2783851000006110,HDL measurement,8,
2950001000006114,HDL - High density lipoprotein cholesterol level,7,
4600201000006115,Serum HDL cholesterol measurement,5,
4600561000006117,Lipoprotein electrophoresis - High density lipoprotein,1,
12622321000006118,HDL (high density lipoprotein) cholesterol substance concentration in serum,7,
