med_code_id,term,observations,snomed_ct_concept_id
938351000006113,Impaired glucose tolerance,300000,
1488700016,[D]Impaired glucose tolerance,100000,
2476950017,Impaired fasting glucose,80000,
881691000006116,Impaired glucose tolerance,4000,
7535301000006114,Non-diabetic hyperglycemia,500,
1699041000006110,Impaired glucose tolerance monitoring administration,400,
16497016,Impaired glucose tolerance,100,
5110011000006115,Impaired glucose tolerance in pregnancy,30,
2865221000006115,Impaired glucose tolerance in obese,2,
2650011000006113,IGT - Impaired glucose tolerance,1,
