med_code_id,term,observations,snomed_ct_concept_id
259233017,Serum low density lipoprotein cholesterol level,30000000,
1488764011,Calculated LDL (low density lipoprotein) cholesterol level,8000000,
458314019,Plasma LDL (low density lipoprotein) cholesterol level,2000000,
259267010,Lipoprotein electroph. - LDL,300000,
857141000006116,LDL cholesterol level,200000,
259246010,Serum fasting LDL (low density lipoprotein) cholesterol level,200000,
259247018,Serum random LDL (low density lipoprotein) cholesterol level,100000,
259570010,Plasma fasting LDL (low density lipoprotein) cholesterol level,40000,
259569014,Plasma random LDL (low density lipoprotein) cholesterol level,20000,
734191000006118,Low-density-lipoprotein-type (LDL) hyperlipoproteinaemia,7000,
749181000006119,LDL - electrophoresis,400,
735661000006117,Low density lipoproteinaemia,200,
4217651000006116,Low density lipoprotein cholesterol measurement,100,
4079621000006115,LDL cholesterol,100,
2854351000006110,LDL,100,
4600241000006118,Serum LDL cholesterol level,30,
2854331000006115,Low density lipoprotein,20,
4217681000006112,LDL - Low density lipoprotein cholesterol level,7,
6550661000006112,Calculated LDL cholesterol level,6,
4600231000006111,Serum LDL cholesterol measurement,5,
12623411000006112,LDL-C (low density lipoprotein cholesterol) substance concentration in serum,6,
