med_code_id,term,observations,snomed_ct_concept_id
250503019,Homeless single person,40000,
262935017,No partner at present,20000,
84322012,Single,5000000,
397763010,Single parent,10000,
36839019,Single parent family,10000,
142681000006113,Single parent family - mother,2000,
397807015,"Single parent family, mother present",6000,
81121000006114,Unmarried parent,100,
142341000006112,Single person,200000,
5953701000006115,Referral to marriage guidance counsellor,2,
5942941000006113,Seen by marriage guidance counsellor,3,
250769015,Affair ended,200,
397777013,Affair started,200,
250770019,Affair unsatisfactory,30,
213682015,Alcoholic spouse,1000,
14130601000006114,Alcoholic spouse,5,
759611000000114,Antenatal screening not indicated for partner,80,
493941000006111,Artificial insemin by husband,500,
460520016,Artificial insemination by husband,300,
324767013,Battered husband,100,
324766016,Battered wife,2000,
298041000000110,Breast lump detected by partner,400,
397767011,Broken with partner,3000,
442161011,Cohabitee returned,6,
487634016,Cohabiting,400000,
250209016,Common-law husband,1000,
250210014,Common-law wife,1000,
251136017,Crime against spouse,40,
250962016,Disabled spouse,500,
250764013,Extra-marital problems,300,
250778014,Extra-marital problems NOS,30,
300251000000110,Fertility problems in partner,2000,
411077019,Has infirm partner,500,
411072013,Homemaker,9000,
250168016,House husband,2000,
828641000006113,Housewife,200000,
1136015,Husband,20000,
418923013,Husband alcoholic,1000,
250799012,Husband in prison,700,
412031013,Looks after chronically sick husband,4000,
412033011,Looks after chronically sick spouse,900,
412034017,Looks after chronically sick wife,3000,
412097014,Lover taken,30,
300231000000115,Low sperm count in partner,600,
486188017,Maladjustment to married life,300,
250650018,Marital breakdown,100000,
65545019,Marital conflict,10000,
717161000006113,Marital discord,5000,
717171000006118,Marital disharmony,8000,
500032013,Marital problems,200000,
290530016,Marital reconciliation,300,
717221000006112,Marital stress,30000,
717231000006110,Marital trouble,600,
191514016,Married,4000000,
493971000000110,Married/civil partner,30000,
412098016,Mistress taken,5,
415854014,Newly wed,1000,
411070017,Occupation of husband,400,
397721011,Occupation of spouse,5000,
250169012,Occupation of spouse NOS,500,
411071018,Occupation of wife,300,
1485014011,Partner dying,600,
738831000000111,Partner had tubal ligation,100,
401444017,Partner had vasectomy,100000,
13932191000006111,Partner had vasectomy,200,
312241000000110,Partner is informal carer,3000,
562571000000116,Partner pregnant,1000,
411878013,Partner sterilised,3000,
250792015,Partner stops work,10,
250817016,Partner unemployed,400,
415853015,Remarried,7000,
412102012,Row with wife,100,
1135016,Spouse,8000,
250777016,Seven year itch - marital,70,
250800011,Spouse arrested,40,
250583016,Spouse cannot care for patient,200,
483247015,Spouse committed infidelity,500,
253433011,Spouse cooks food,6000,
411044018,Spouse haemophiliac,20,
412104013,Spouse inattentive,10,
250961011,Spouse is handicapped,100,
282957016,Spouse reassured,1000,
412089019,Spouse returned home,90,
412103019,Spouse unsympathetic,70,
397800018,Spouse unwell,20000,
251152019,Spouse works away from home,200,
250677010,Violent spouse,6000,
1137012,Wife,10000,
250835013,Wife alive,300,
250833018,Wife pregnant,4000,
443775016,Wife unable to cope,1000,
250834012,Wife well,700,
502726016,Bereavement,1000000,
2575940016,Death of husband,60000,
11927261000006115,Death of husband,2,
216633014,Death of partner,10000,
1484966014,Death of wife,30000,
442258018,Husband died,20000,
485552011,Widowed,300000,
494151000000119,Widowed/surviving civil partner,2000,
129552010,Widower,20000,
105113011,Divorce,20000,
412088010,Divorce problems,3000,
338024013,Divorce proceedings,7000,
250645012,Divorce proceedings pending,2000,
191517011,Divorced,300000,
250535019,Divorced couple sharing house,200,
494031000000110,Divorced/person whose civil partnership has been dissolved,1000,
412087017,Legal problem with divorce,400,
412134015,Cohabitee left home,200,
412132016,Husband left home,5000,
412086014,Legal problem with separation,100,
195523014,Separated,100000,
412131011,Separated from cohabitee,2000,
250640019,Separation,20000,
412135019,Spouse left home,700,
412133014,Wife left home,3000,
335218014,"[X]Neglect and abandonment, by spouse or partner",100,
250676018,Battered husband - history,100,
250675019,Battered wife - history,1000,
169470011,Broken engagement,300,
250208012,Civil state unknown,50000,
1231389012,Engaged,30000,
250783018,First relationship,400,
250207019,Marital state unknown,10000000,
194168015,Marital status,30000,
250639016,Marriage,20000,
250782011,New relationship,8000,
250216015,Personal status NOS,10000,
