med_code_id,term,observations,snomed_ct_concept_id
2894411000006110,MS - Multiple sclerosis,9,
641301000000114,Malignant multiple sclerosis,8,
41398015,Multiple sclerosis,700000,
297180018,Exacerbation of multiple sclerosis,7000,
297177019,Multiple sclerosis of the spinal cord,700,
7058051000006116,Multiple sclerosis (MS) relapsing remitting,7,
5006901000006111,Chronic progressive multiple sclerosis,4,
1223979019,Disseminated sclerosis,3000,
2674605012,Secondary progressive multiple sclerosis,3000,
2692565012,Primary progressive multiple sclerosis,3000,
641211000000118,Benign multiple sclerosis,300,
695191000006119,Multiple sclerosis of the brain stem,300,
5006911000006114,Multiple sclerosis (MS) chronic/progressive,3,
297181019,Multiple sclerosis NOS,20000,
297179016,Generalised multiple sclerosis,2000,
2475876012,Balo's concentric sclerosis,20,
345223012,Concentric sclerosis,20,
4769281000006110,Multiple sclerosis of the brainstem,20,
5007011000006110,Balo concentric sclerosis,20,
5006921000006118,Remittent-progressive multiple sclerosis,2,
7092351000006112,Multiple sclerosis (MS) primary progressive,2,
1682241000006111,Relapsing remitting multiple sclerosis,10000,
5006891000006112,Acute relapsing multiple sclerosis,10,
7045281000006112,Multiple sclerosis (MS) secondary progressive,1,
7510741000006111,Dementia associated with multiple sclerosis,1,
7861151000006116,Progressive relapsing multiple sclerosis,1,
908811000006112,[RFC] Multiple sclerosis,20000,
983311000006114,Multiple sclerosis - relapsing remitting,10000,
299241000000110,Multiple sclerosis review,8000,
983291000006110,Multiple sclerosis - primary progressive,4000,
983301000006111,Multiple sclerosis - secondary progressive,2000,
979461000006111,Specialised services for patients with multipl...,700,
315671000000110,Multiple sclerosis multidisciplinary review,700,
1674381000000115,Multiple sclerosis monitoring first letter,500,
300141000000119,Multiple sclerosis care plan agreed,500,
1674121000000119,Multiple sclerosis monitoring administration,200,
1148911000000119,Multiple sclerosis review declined,100,
1674661000000118,Multiple sclerosis monitoring second letter,100,
983261000006119,Multiple sclerosis - personal health plan,100,
1674971000000118,Multiple sclerosis monitoring telephone invita...,60,
699791000000111,Management of multiple sclerosis in stable dis...,60,
1675051000000110,Multiple sclerosis monitoring third letter,50,
699731000000110,Management of multiple sclerosis in early dise...,40,
905781000006118,[RFC] Multiple sclerosis,30,
1747821000006117,Multiple sclerosis monitoring administration,30,
1747831000006119,Multiple sclerosis monitoring first letter,30,
699911000000117,Management of multiple sclerosis in palliative...,20,
699671000000115,Management of multiple sclerosis in onset phase,9,
1747851000006114,Multiple sclerosis monitoring third letter,4,
1747861000006111,Multiple sclerosis monitoring telephone invit,4,
