med_code_id,term,observations,snomed_ct_concept_id
296022017,"[X]Schizophrenia, schizotypal and delusional disorders",10000,
294769018,Acute exacerbation of chronic latent schizophrenia,10,
294768014,Acute exacerbation of subchronic latent schizophrenia,3,
367971000006115,[X]Bouffee delirante with symptoms of schizophrenia,1,
367951000006113,Borderline schizophrenia,100,
294767016,Chronic latent schizophrenia,40,
294771018,Latent schizophrenia NOS,300,
294765012,Unspecified latent schizophrenia,10,
395021000006111,[X]Latent schizophrenia,8,
376251000006112,[X]Cyclic schizophrenia,1,
294773015,Cyclic schizophrenia,3,
294766013,Subchronic latent schizophrenia,1,
294770017,Latent schizophrenia in remission,100,
395031000006114,[X]Latent schizophrenic reaction,3,
12480451000006112,"[X]Schizophrenia, schizotypal and delusional disorders",30,
294764011,Latent schizophrenia,100,
423731000006114,[X]Pseudoneurotic schizophrenia,60,
423741000006116,[X]Pseudopsychopathic schizophrenia,20,
3118041000006112,"Schizoaffective disorder, bipolar type",1,
425541000006110,Schizoaffective disorder,100000,
296096013,"[X]Schizoaffective disorder, unspecified",20000,
296095012,[X]Other schizoaffective disorders,600,
425501000006113,"Schizoaffective disorder, depressive type",7000,
425511000006111,"Schizoaffective disorder, manic type",5000,
425521000006115,"Schizoaffective disorder, mixed type",4000,
398631000006113,Mixed schizophrenic and affective pschosis,1000,
376281000006116,Cycloid psychosis,60,
425551000006112,[X]Schizoaffective psychosis NOS,2000,
425561000006114,"[X]Schizoaffective psychosis, depressive type",1000,
425691000006119,"[X]Schizophreniform psychosis, depressive type",300,
425571000006119,"[X]Schizoaffective psychosis, manic type",600,
425701000006119,"[X]Schizophreniform psychosis, manic type",100,
296066015,"[X]Persistent delusional disorder, unspecified",2000,
401857019,[X]Other persistent delusional disorders,600,
161371000006118,Sander's disease,6,
376271000006119,[X]Cycloid psychosis,300,
5517971000006118,Mixed schizophrenic and affective psychosis,1,
882301000006112,Acute schizo affective psychosis,3000,
996171000006114,"Psychosis, schizophrenia and bipolar affective disorder resolved",20000,
362421000006113,Acute schizophrenia-like psychotic disorder,4000,
294902017,Other affective psychosis NOS,3000,
294897018,Affective psychosis,3000,
10122017,Brief reactive psychosis,1000,
401768012,Chronic paranoid psychosis,8000,
1227584015,[V]Personal history of manic-depressive psychosis,300,
1975731000006111,"Acute schizophrenia-like psychotic disorder, with associated acute stress",40,
1973091000006112,"Mental & behav dis due to hallucinogens: psychotic disord, mixed",4,
1667591000000111,[X]Nonorganic psychosis in remission,4000,
