med_code_id,term,observations,snomed_ct_concept_id
618391000000118,CKD stage 1 with proteinuria,800,
618401000000115,CKD stage 1 without proteinuria,1000,
618411000000118,CKD stage 2 with proteinuria,2000,
618421000000112,CKD stage 2 without proteinuria,8000,
618431000000114,CKD stage 3 with proteinuria,10000,
618441000000117,CKD stage 3 without proteinuria,30000,
618451000000119,CKD stage 3A with proteinuria,5000,
618461000000116,CKD stage 3A without proteinuria,30000,
618471000000111,CKD stage 3B with proteinuria,6000,
618481000000113,CKD stage 3B without proteinuria,10000,
618491000000110,CKD stage 4 with proteinuria,9000,
618501000000116,CKD stage 4 without proteinuria,6000,
618511000000119,CKD stage 5 with proteinuria,3000,
618521000000113,CKD stage 5 without proteinuria,1000,
7147741000006114,CKD stage 1,4,
7147761000006113,CKD stage 2,6,
7147781000006115,CKD stage 4,80,
7174791000006111,CKD stage 3,50,
7174851000006111,CKD stage 5,40,
305192017,[X]Other chronic renal failure,300,
354406016,Renal impairment,100000,
354409011,Chronic renal impairment,100000,
354417015,Acute-on-chronic renal failure,4000,
509111010,Chronic renal failure,400000,
595541000000119,Chronic kidney disease stage 1 with proteinuria,800,
595601000000118,Chronic kidney disease stage 1 without proteinuria,1000,
595661000000119,Chronic kidney disease stage 2 with proteinuria,3000,
595721000000116,Chronic kidney disease stage 2 without proteinuria,9000,
595811000000117,Chronic kidney disease stage 3 with proteinuria,30000,
595871000000110,Chronic kidney disease stage 3 without proteinuria,100000,
595931000000116,Chronic kidney disease stage 3A with proteinuria,10000,
595991000000115,Chronic kidney disease stage 3A without proteinuria,80000,
596051000000115,Chronic kidney disease stage 3B with proteinuria,10000,
596131000000114,Chronic kidney disease stage 3B without proteinuria,30000,
596191000000110,Chronic kidney disease stage 4 with proteinuria,20000,
596261000000111,Chronic kidney disease stage 4 without proteinuria,20000,
596321000000110,Chronic kidney disease stage 5 with proteinuria,5000,
596401000000111,Chronic kidney disease stage 5 without proteinuria,2000,
619541000006116,Dialysis for renal failure,10000,
1212359014,Renal failure NOS following abortive pregnancy,2,
1221119015,ARF - Acute renal failure,100,
1705781000006113,Acute renal failure due to obstruction,500,
176741000006110,Renal failure after crushing,5,
176771000006119,Renal failure following crush syndrome,100,
1816581000006110,Kidney failure unspecified,700,
1847641000006114,Acute renal failure induced by non-steroidal anti-inflammatory drug,60,
216921000006111,Post-delivery acute renal failure - delivered with p/n prob,9,
2180741000000113,Acute renal failure induced by aminoglycoside,1,
2180901000000112,Acute renal failure induced by cyclosporin A,2,
218351000000112,Post operative renal failure,200,
2184271000000115,Acute renal failure due to non-traumatic rhabdomyolysis,90,
2191301000000116,Acute renal failure induced by radiographic contrast media,60,
2198081000000118,Acute renal failure due to traumatic rhabdomyolysis,60,
2214211000000112,Acute renal failure induced by toxin,20,
228211000006117,Placement other apparatus for compensation for renal failure,40,
259688011,Renal function tests abnormal,50000,
2645796013,Acute renal failure due to ACE inhibitor,1000,
2767154014,Chronic kidney disease stage 5,1000,
2767383018,Chronic kidney disease stage 1,90,
2767384012,Chronic kidney disease stage 2,800,
2767385013,Chronic kidney disease stage 4,3000,
2773184015,Chronic kidney disease stage 3,20000,
278834012,Other specified compensation for renal failure,20,
278835013,Compensation for renal failure NOS,10,
299665018,Hypertensive renal disease with renal failure,1000,
299673010,Hypertensive heart and renal disease with renal failure,100,
303915016,Other acute renal failure,600,
303916015,Acute renal failure NOS,3000,
303943013,Impaired renal function disorder,20000,
303949012,Other impaired renal function disorder,200,
303960015,Impaired renal function disorder NOS,2000,
304031000000117,Chronic kidney disease stage 1,40000,
304051000000112,Chronic kidney disease stage 2,200000,
304071000000115,Chronic kidney disease stage 3,3000000,
304091000000116,Chronic kidney disease stage 4,500000,
304111000000114,Chronic kidney disease stage 5,100000,
305191012,[X]Other acute renal failure,400,
305569011,Renal failure following abortive pregnancy,50,
305571011,Acute renal failure following abortive pregnancy,9,
307550017,Post-delivery acute renal failure unspecified,10,
3245851000006118,ESRF - End stage renal failure,900,
354407013,Impaired renal function,60000,
354413016,Acute drug-induced renal failure,700,
356557018,Renal failure-associated hyperphosphataemia,100,
394639018,Compensation for renal failure,900,
396711013,RF - Renal failure,60000,
396713011,Other impaired renal function disorder NOS,100,
402249011,Congenital renal failure,100,
403109016,Renal failure as a complication of care,300,
403110014,Kidney failure as a complication of care,100,
424731000006111,Renal failure,10000,
459420012,Deteriorating renal function,20000,
460091000006111,Acute renal failure,100000,
460121000006110,Acute renal failure following labour and delivery,40,
481692010,Acute renal failure due to rhabdomyolysis,2000,
557811000000119,Chronic kidney disease stage 3A,100000,
557831000000110,Chronic kidney disease stage 3B,60000,
641471000006117,End stage renal failure,8000,
886631000006110,Renal failure NOS,1000,
887731000006115,Renal failure,2000,
