med_code_id,term,observations,snomed_ct_concept_id
223601000000119,Manic psychosis,4000.0,
294806015,"Single manic episode, severe, with psychosis",1000.0,
396741000006113,[X]Manic episode,8000.0,
2157096015,Manic mood,1000.0,
851691000006114,Hypomanic,,
3175731000006118,Amok,2.0,
914461000006118,[X]Capgras syndrome,300.0,
914471000006113,[X]Delusional misidentification syndrome,100.0,
3224391000006119,Capgras syndrome,3.0,
967791000006111,[X]Cotard syndrome,70.0,
5128661000006118,Delusion of foul odour,1.0,
2532965018,Erotomania,200.0,
5645621000006116,De Clerambault's syndrome,5.0,
369805011,Grandiose delusions,900.0,
389401000006111,Hypomania,40000.0,
5649431000006118,Hypomanic mood,8.0,
492910018,Ideas of reference,400.0,
425921000006114,[X]Sensitiver Beziehungswahn,10.0,
3760411000006111,Jealous delusion disorder,4.0,
423041000006119,[X]Post-schizophrenic depression,200.0,
5023901000006110,Post-schizophrenic depression,4.0,
294920014,Reactive confusion,3000.0,
294810017,Recurrent manic episodes,2000.0,
294811018,"Recurrent manic episodes, unspecified",400.0,
294818012,Recurrent manic episode NOS,300.0,
424661000006111,[X]Recurrent manic episodes,200.0,
294812013,"Recurrent manic episodes, mild",200.0,
294813015,"Recurrent manic episodes, moderate",300.0,
182871000006115,"Recurrent manic episodes, severe",60.0,
294927012,Psychogenic stupor,50.0,
294817019,"Recurrent manic episodes, in full remission",400.0,
182861000006110,"Recurrent manic episodes, in partial remission",60.0,
294808019,Single manic episode in full remission,1000.0,
294807012,Single manic episode in partial remission,20.0,
8237871000006117,Single manic episode in remission,5.0,
7515091000006113,Delusional disorder in remission,1.0,
424231000006116,Psychotic,100000.0,
294840015,"Recurrent major depressive episodes, severe, with psychosis",10000.0,
423271000006116,Prepsychotic schizophrenia,30.0,
423471000006117,Prodromal schizophrenia,300.0,
294828015,"Single major depressive episode, severe, with psychosis",10000.0,
426921000006115,[X]Single episode of major depression and psychotic symptoms,800.0,
789221000006116,Hypomanic psychoses,6000.0,
294803011,"Single manic episode, mild",2000.0,
294804017,"Single manic episode, moderate",300.0,
294805016,"Single manic episode, severe",200.0,
425671000006115,[X]Schizophrenic reaction,80.0,
368011000006110,[X]Brief schizophrenifrm psych,60.0,
368001000006112,[X]Brief schizophreniform disorder,50.0,
294898011,Unspecified affective psychoses NOS,2000.0,
296118012,[X]Other manic episodes,200.0,
396761000006112,[X]Manic stupor,8.0,
294802018,"Single manic episode, unspecified",2000.0,
401864017,"[X]Manic episode, unspecified",1000.0,
294809010,"Manic disorder, single episode NOS",500.0,
1972351000006113,"Mental & behav dis due to cannabinoids: psychotic disordr, predominantly manic symptoms",9.0,
1971571000006118,"Mental & behav dis due to use opioids: psychotic disorder, predominantly depressive symptoms",6.0,
1973151000006119,"Mental and behav dis due to vol solvents: resid & late-onset psychotic dis, personality or behaviour disorder",3.0,
1972331000006118,"Mental & behav dis due to cannabinoids: psychotic disordr, predominantly depressive symptoms",3.0,
1975371000006110,"Mental & behav dis due to use alcohol: psychotic disorder, predominantly depressive symptoms",3.0,
1973751000006115,"Mental & behav dis due to use cocaine: psychotic disorder, predominantly manic symptoms",2.0,
1973061000006116,"Mental & behav dis due to hallucinogens: psychotic disord, predominantly manic symptoms",1.0,
1973041000006115,"Mental & behav dis due to hallucinogens: psychotic disord, predominantly depressive symptoms",1.0,
1972961000006114,"Mental & behav dis due to seds/hypntcs: psychotic disordr, predominantly manic symptoms",1.0,
1972941000006110,"Mental & behav dis due to seds/hypntcs: psychotic disordr, predominantly depressive symptoms",1.0,
1971601000006113,"Mental & behav dis due to use opioids: psychotic disorder, predominantly manic symptoms",1.0,
1973111000006115,"Mental & behav dis due to vol solvents: psychotic disordr, predominantly depressive symptoms",1.0,
1975701000006115,"Mental and behav dis due to other stimulants inc caffeine: psychotic dis, predominantly manic symptoms",1.0,
1975651000006114,"Mental and behav dis due to other stimulants inc caffeine: psychotic dis, predominantly depressive symptoms",1.0,
