med_code_id,term,observations,snomed_ct_concept_id
115336016,Abscess of vulva,20000,
117333013,Cellulitis of toe,9000,
1227883019,Skin abscess,200000,
1227884013,Cutaneous abscess,10000,
126431017,Abscess of eyelid,4000,
137308019,Abscess of lip,1000,
13937301000006115,Cellulitis and abscess of hand,6,
14071441000006113,Cellulitis of foot due to diabetes mellitus,7,
158680013,Cellulitis of external ear,9000,
165687010,Abscess of thyroid,100,
177041017,Abscess of bursa,100,
178464010,Abscess of tendon,60,
206541013,Cellulitis of foot,200000,
219461000000111,"Abscess, external ear",3000,
219471000000116,"Cellulitis, external ear",20000,
25168017,Cellulitis of penis,4000,
2560021000006115,Drainage of abscess of eyelid,3,
267227019,Drainage of abscess of external ear,900,
269491000006113,Obstetric breast abscess - delivered with postnatal complication,30,
296923013,Intracranial abscess NOS,70,
298680016,Orbital cellulitis,60000,
298954015,Infective otitis externa due to erysipelas,300,
298955019,Erysipelas - otitis externa,400,
298959013,Infective otitis externa due to impetigo,1000,
298960015,Impetigo - otitis externa,2000,
302270018,Cellulitis of floor of mouth,1000,
304604017,Retromammary breast abscess,200,
304755016,Other abscess of vulva,2000,
304766011,Other abscess of vulva NOS,90,
307947010,Obstetric breast abscess unspecified,100,
307948017,Obstetric breast abscess - delivered,300,
307950013,Obstetric breast abscess with antenatal complication,4,
307951012,Obstetric breast abscess with postnatal complication,200,
307952017,Obstetric breast abscess NOS,300,
308234014,Carbuncle of skin and/or subcutaneous tissue,500,
308266016,Cellulitis and abscess of finger and toe,20000,
308269011,Cellulitis and abscess of finger,30000,
308270012,Cellulitis and abscess of finger unspecified,4000,
308281010,Cellulitis and abscess of finger NOS,2000,
308282015,Cellulitis and abscess of toe,70000,
308283013,Cellulitis and abscess of toe unspecified,7000,
308300010,Cellulitis and abscess of face,30000,
308307013,Cellulitis and abscess of chin,700,
308309011,Cellulitis and abscess of forehead,700,
308310018,Cellulitis and abscess of temple region,200,
308311019,Cellulitis of face,6000,
308312014,Cellulitis and abscess of face NOS,2000,
308316012,Cellulitis and abscess of trunk,10000,
308317015,Cellulitis and abscess of chest wall,2000,
308318013,Cellulitis and abscess of breast,8000,
308319017,Cellulitis and abscess of back,2000,
308320011,Cellulitis and abscess of abdominal wall,5000,
308321010,Cellulitis and abscess of umbilicus,10000,
308322015,Cellulitis and abscess of flank,200,
308323013,Cellulitis and abscess of groin,20000,
308324019,Cellulitis and abscess of perineum,2000,
308325018,Cellulitis and abscess of trunk NOS,200,
308327014,Cellulitis and abscess of shoulder,600,
308328016,Cellulitis and abscess of axilla,10000,
308329012,Cellulitis and abscess of upper arm,1000,
308330019,Cellulitis and abscess of elbow,6000,
308331015,Cellulitis and abscess of forearm,6000,
308332010,Cellulitis and abscess of arm NOS,900,
308342012,Cellulitis and abscess of wrist,1000,
308344013,Cellulitis and abscess of buttock,20000,
308349015,Cellulitis and abscess of hip,600,
308350015,Cellulitis and abscess of thigh,7000,
308351016,Cellulitis and abscess of knee,7000,
308352011,Cellulitis and abscess of lower leg,100000,
308353018,Cellulitis and abscess of ankle,4000,
308354012,Cellulitis and abscess of leg NOS,70000,
308358010,Cellulitis and abscess of foot unspecified,10000,
308359019,Cellulitis and abscess of heel,1000,
308360012,Cellulitis in diabetic foot,3000,
308361011,Cellulitis and abscess of foot NOS,7000,
308363014,Other specified cellulitis and abscess,2000,
308367010,Cellulitis and abscess NOS,2000,
308382017,Impetigo contagiosa unspecified,10000,
308385015,Impetigo contagiosa gyrata,90,
308386019,Circinate impetigo,1000,
308387011,Impetigo neonatorum,200,
308388018,Impetigo simplex,3000,
308389014,Impetigo follicularis,5000,
308390017,Chronic symmetrical impetigo,40,
308391018,Impetigo NOS,100000,
308446011,Cellulitis of breast,5000,
308462017,[X]Abscess of other site,4000,
308748013,Impetigo herpetiformis,4000,
311541015,Abscess of tendon-arm,20,
311542010,Abscess of tendon-forearm,20,
311543017,Abscess of tendon-hand,20,
311544011,Abscess of tendon-thigh,200,
311545012,Abscess of tendon-leg,40,
311546013,Abscess of tendon-foot,40,
311549018,Abscess of bursa-shoulder,70,
311550018,Abscess of bursa-elbow,300,
311551019,Abscess of bursa-wrist,20,
311552014,Abscess of bursa-hip,90,
311553016,Abscess of bursa-knee,200,
311554010,Abscess of bursa-ankle,100,
311555011,Abscess of bursa-foot,100,
311582015,Muscle abscess,90,
311583013,Muscle abscess-neck,20,
311584019,Muscle abscess-back,70,
311585018,Muscle abscess-shoulder,40,
311586017,Muscle abscess-arm,30,
311587014,Muscle abscess-forearm,30,
311588016,Muscle abscess-hand,20,
311589012,Muscle abscess-pelvis,20,
311590015,Muscle abscess-thigh,200,
311591016,Muscle abscess-leg,50,
311592011,Muscle abscess-foot,30,
32771017,Cellulitis of axilla,2000,
3365991000006116,Bockhart impetigo,10,
347348011,Cellulitis of eyelid,20000,
347926013,Abscess of external ear,4000,
3511761000006112,Incision of skin abscess,1,
355733012,Abscess of nipple - obstetric,100,
357305010,Abscess of skin area excluding digits of hand or foot,1000,
357306011,Abscess of dorsum of hand,300,
357307019,Abscess of palm of hand,400,
357316015,Cellulitis of skin area excluding digits of hand or foot,2000,
357317012,Cellulitis of dorsum of hand,10000,
357321017,Cellulitis of palm of hand,1000,
359535012,"Abscess, contracture or calcification of bursa or tendon",200,
359551000006115,Abscess of axilla,60000,
359561000006118,Abscess of buttock,20000,
359571000006113,[X]Abscess of buttock,6000,
359581000006111,Abscess of face,4000,
359591000006114,Abscess of limb,3000,
359601000006118,Abscess of neck,6000,
359621000006111,Abscess of trunk,700,
360374010,Gonococcal cellulitis,100,
370601000006113,[X]Cellulitis of other parts of limb,6000,
370621000006115,[X]Cellulitis of thumb,3000,
396325011,Oral cellulitis and abscess NOS,1000,
399892014,Cellulitis and abscess of toe NOS,3000,
399893016,Cellulitis and abscess of digit NOS,20000,
399894010,Other cellulitis and abscess,70000,
399895011,Cellulitis and abscess of cheek (external),3000,
399896012,Cellulitis and abscess of cheek,1000,
399897015,Cellulitis and abscess of nose (external),2000,
399898013,Cellulitis and abscess of neck,6000,
399899017,Cellulitis and abscess of hand excluding digits,20000,
399900010,Cellulitis and abscess of hand unspecified,5000,
399901014,Cellulitis and abscess of leg,20000,
399903012,Cellulitis and abscess of foot excluding toe,90000,
399904018,Cellulitis and abscess of head unspecified,500,
405132019,Obstetric breast abscess,6000,
40768015,Cellulitis of ankle,9000,
411012017,Drainage of abscess of head or neck,3000,
4161451000006113,Periorbital cellulitis,60,
422799019,Incision and drainage of abscess,100000,
450686015,Cellulitis - anus or rectum,300,
450687012,Perianal cellulitis,2000,
458561000006117,Acute non-puerperal breast abscess,10000,
459015017,Abscess of labia,20000,
46395018,Abscess of scrotum,10000,
472876012,Cutaneous cellulitis,200000,
4773721000006110,Postseptal orbital cellulitis,1,
4791151000006112,Chronic non-puerperal breast abscess,10,
4816941000006117,Abscess of tendon of upper arm,2,
4816961000006118,Abscess of tendon of forearm,3,
4817081000006110,Abscess of bursa of shoulder,2,
4817101000006119,Abscess of bursa of elbow,1,
4817161000006118,Abscess of bursa of knee,5,
4817501000006114,Muscle abscess of upper arm,10,
4817601000006110,Muscle abscess of lower leg,20,
4817621000006117,Muscle abscess of foot,1,
484281000006113,Ano-rectal abscess NOS,4000,
5027641000006110,Impetigo of eyelid,10,
5106751000006116,Drainage of breast abscess,30,
5107311000006116,Subareolar breast abscess,6,
5120891000006110,Non-bullous impetigo,10,
5120911000006112,Streptococcal impetigo,3,
5120921000006116,Staphylococcal non-bullous impetigo,6,
5147561000006118,Facial erysipelas,30,
52490016,Abscess of scalp,1000,
540621000006119,Cellulitis and abscess NOS,200000,
540851000006112,Cellulitis and abscess of foot,10000,
540921000006112,Cellulitis and abscess of hand,6000,
541051000006114,Cellulitis and abscess of nose,7000,
541281000006113,Cellulitis of eyelids,20000,
541291000006111,Cellulitis of face,60000,
541421000006113,Cellulitis of trunk,800,
5502121000006117,Follicular impetigo,2,
555441000006118,Chronic nonpuerperal breast abscess,200,
5570911000006119,Incision and drainage of breast abscess,90,
5684821000006112,ID - Incision and drainage of abscess,9,
5721391000006115,"Cellulitis of leg, excluding foot",100,
5721401000006118,"Cellulitis of leg, except foot",10,
5721411000006115,Cellulitis of foot excluding toe,6,
58130016,Cellulitis of scrotum,4000,
