med_code_id,term,observations,snomed_ct_concept_id
102921000006112,Tobacco smoking consumption,2000000,
108938018,Cigarette smoker,20000000,
503483019,Current smoker,10000000,
700121000006118,Moderate cigarette smoker (10-19 cigs/day),3000000,
250372012,Trying to give up smoking,2000000,
743331000006116,Light cigarette smoker (1-9 cigs/day),2000000,
250375014,Rolls own cigarettes,1000000,
819331000006110,Heavy cigarette smoker (20-39 cigs/day),1000000,
1488578010,Not interested in stopping smoking,900000,
128130017,Smoker,800000,
344793011,Cigarette consumption,800000,
459722017,Referral to stop-smoking clinic,800000,
1488576014,Thinking about stopping smoking,700000,
88471000006112,Trivial cigarette smoker (less than one cigarette/day),500000,
1488577017,Ready to stop smoking,400000,
1780396011,Cigarette pack-years,400000,
342574011,Total time smoked,400000,
498831000006118,Attends stop smoking monitoring,400000,
99639019,Cigar smoker,300000,
128381000006117,Stop smoking monitoring check done,200000,
136515019,Pipe smoker,200000,
21681000000118,Anti-smoking monitoring admin.,200000,
909391000006117,[RFC] Smoking cessation,20000,
397733018,Occasional smoker,200000,
338608011,Smoking cessation advice,40000000,
1489355012,Referral to smoking cessation advisor,1000000,
856371000006111,Smoking clinic,200000,
128311000006112,Stop smoking monitoring first letter,100000,
1488873010,Smoking free weeks,100000,
1715591000006117,Referral to National Health Service stop smoking service,100000,
1750931000000118,Stop smoking service opportunity signposted,100000,
21691000000116,Anti-smoking monitoring administration,100000,
2474719011,Minutes from waking to first tobacco consumption,100000,
2669652019,Smoking started,100000,
67621000006112,Very heavy cigarette smoker (40+ cigs/day),100000,
128371000006115,Stop smoking monitoring verbal invite,90000,
1780273014,Seen by smoking cessation advisor,1000000,
137721000006115,Smoker - amount smoked,70000,
1176421000000118,Smoking cessation advice declined,900000,
250387019,Tobacco consumption NOS,70000,
1175011000000112,Smoking cessation programme declined,400000,
1484933010,Negotiated date for cessation of smoking,400000,
1592611000000110,Failed attempt to stop smoking,60000,
16261000000110,Stop smoking monitoring administration,60000,
250368013,Keeps trying to stop smoking,60000,
1773560017,Smoking cessation programme start date,300000,
37311000006117,Other anti-smoking drug given,50000,
854021000006115,Cigarette smoker,50000,
904021000006118,Previous smoking quit attempts,50000,
1484935015,Smoking status between 4 and 52 weeks,40000,
216212011,Smoking reduced,40000,
2141561000000115,Smoking cessation drug therapy declined,300000,
1152111000000118,Current smoker annual review,30000,
1125741000000111,Brief intervention for smoking cessation,200000,
25281000000119,Stop smoking clinic administration,30000,
1709641000000115,Referral for smoking cessation service offered,200000,
