med_code_id,term,observations,snomed_ct_concept_id
405339016,Cerebrovascular accident,900000,
405339016,Cerebrovascular accident,900000,
395783012,Transient ischaemic attack,800000,
395783012,Transient ischaemic attack,800000,
395788015,Transient cerebral ischaemia,700000,
395788015,Transient cerebral ischaemia,700000,
104563015,Cerebrovascular disease,600000,
605501000006117,CVA unspecified,400000,
605501000006117,CVA unspecified,400000,
1780304018,CVA annual review,300000,
605491000006113,CVA - Cerebrovascular accident,200000,
605491000006113,CVA - Cerebrovascular accident,200000,
395780010,Cerebral infarction,200000,
395780010,Cerebral infarction,200000,
1222398015,Cerebral arterial occlusion,100000,
481028017,Subarachnoid haemorrhage,100000,
605461000006117,CVA - cerebrovascular accident due to cerebral artery occlusion,100000,
605461000006117,CVA - cerebrovascular accident due to cerebral artery occlusion,100000,
1222398015,Cerebral arterial occlusion,100000,
122401000006115,Stroke unspecified,90000,
122401000006115,Stroke unspecified,90000,
744901000006114,Intracerebral haemorrhage (ICH),70000,
744901000006114,Intracerebral haemorrhage (ICH),70000,
251692018,H/O: TIA,70000,
145925010,Amaurosis fugax,70000,
113392018,Benign intracranial hypertension,60000,
300371014,Right sided CVA,60000,
300370010,Left sided CVA,60000,
300370010,Left sided CVA,60000,
300371014,Right sided CVA,60000,
1130181000000113,Small vessel cerebrovascular disease,50000,
497559016,Arteriosclerotic dementia,50000,
497559016,Arteriosclerotic dementia,50000,
411518010,H/O: CVA,40000,
605471000006112,Cerebral hemorrhage,40000,
605471000006112,Cerebral hemorrhage,40000,
696161000006115,Multi-infarct dementia,30000,
2476091017,H/O: stroke,30000,
451133011,Left sided cerebral infarction,30000,
451133011,Left sided cerebral infarction,30000,
696161000006115,Multi-infarct dementia,30000,
122361000006113,Stroke due to cerebral arterial occlusion,30000,
122361000006113,Stroke due to cerebral arterial occlusion,30000,
158118014,Cerebellar infarction,30000,
391035012,Traumatic subdural hematoma,30000,
158118014,Cerebellar infarction,30000,
118689010,Cerebral thrombosis,20000,
122371000006118,Cerebral haemorrhage,20000,
67511000006117,Vertebro-basilar insufficiency,20000,
5010981000006119,Stroke,20000,
2534198011,Subdural haemorrhage,20000,
884521000006115,Stroke/CVA - undefined,20000,
122371000006118,Cerebral haemorrhage,20000,
118689010,Cerebral thrombosis,20000,
5010981000006119,Stroke,20000,
451134017,Right sided cerebral infarction,20000,
451134017,Right sided cerebral infarction,20000,
67511000006117,Vertebro-basilar insufficiency,20000,
2475119012,Non-traumatic subdural haemorrhage,20000,
1229954013,"Cerebral aneurysm, nonruptured",20000,
95931000006111,Transient cerebral ischaemia NOS,10000,
300298011,Intracranial haemorrhage,10000,
884531000006117,Stroke,10000,
95931000006111,Transient cerebral ischaemia NOS,10000,
218511000000117,Infarction - cerebral,10000,
300419019,Cerebrovascular disease NOS,10000,
218511000000117,Infarction - cerebral,10000,
395778016,Carotid artery occlusion,10000,
399031000006111,[X]Multi-infarct dementia,9000,
398571000006112,Mixed cortical and subcortical vascular dementia,9000,
399031000006111,[X]Multi-infarct dementia,9000,
502878012,Cerebellar haemorrhage,9000,
299342019,Lacunar infarction,9000,
299342019,Lacunar infarction,9000,
502878012,Cerebellar haemorrhage,9000,
2126181000000114,Stroke annual review,8000,
2474651019,Infarction of basal ganglia,7000,
300349016,Transient cerebral ischaemia NOS,7000,
2474651019,Infarction of basal ganglia,7000,
524511000006116,Brainstem stroke syndrome,7000,
300366019,Cerebellar stroke syndrome,7000,
300349016,Transient cerebral ischaemia NOS,7000,
524511000006116,Brainstem stroke syndrome,7000,
300366019,Cerebellar stroke syndrome,7000,
3414251000006112,VAD - Vascular dementia,6000,
300362017,Middle cerebral artery syndrome,6000,
125470015,Cerebral embolism,6000,
106394016,Vertebrobasilar insufficiency,6000,
363791000006112,[X]Arteriosclerotic dementia,6000,
300294013,Subdural haemorrhage - nontraumatic,6000,
3414251000006112,VAD - Vascular dementia,6000,
363791000006112,[X]Arteriosclerotic dementia,6000,
106394016,Vertebrobasilar insufficiency,6000,
300362017,Middle cerebral artery syndrome,6000,
125470015,Cerebral embolism,6000,
92070010,Cerebral atherosclerosis,5000,
360778011,Chronic cerebral ischaemia,5000,
4778181000006119,Left sided cerebral hemisphere cerebrovascular accident,4000,
4778181000006119,Left sided cerebral hemisphere cerebrovascular accident,4000,
524541000006117,Brain stem infarction,4000,
543141000006110,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,4000,
1160471000000111,Stroke 6 month review,4000,
7519441000006112,Cerebrovascular accident annual review,4000,
391028016,Traumatic extradural haematoma,4000,
300287010,Intracerebral haemorrhage NOS,4000,
345701012,Cerebral amyloid angiopathy,4000,
300287010,Intracerebral haemorrhage NOS,4000,
543141000006110,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,4000,
524541000006117,Brain stem infarction,4000,
300364016,Posterior cerebral artery syndrome,3000,
300364016,Posterior cerebral artery syndrome,3000,
4778201000006118,Right sided cerebral hemisphere cerebrovascular accident,3000,
100721000006111,Cerebral venous sinus thrombosis,3000,
586241000006116,Non-pyogenic venous sinus thrombosis,3000,
320836010,Subdural haemorrhage following injury,3000,
4778201000006118,Right sided cerebral hemisphere cerebrovascular accident,3000,
320835014,Traumatic subdural haemorrhage,3000,
300321011,Cerebral infarction due to thrombosis of cerebral arteries,3000,
499739014,Insufficiency - basilar artery,3000,
300277011,"Intracerebral haemorrhage, intraventricular",3000,
300321011,Cerebral infarction due to thrombosis of cerebral arteries,3000,
505322013,Cerebral haemorrhage following injury,3000,
300257016,Subarachnoid haemorrhage NOS,3000,
300277011,"Intracerebral haemorrhage, intraventricular",3000,
320752018,Closed traumatic subdural haemorrhage,3000,
499739014,Insufficiency - basilar artery,3000,
294656010,Arteriosclerotic dementia NOS,2000,
106392017,Basilar artery syndrome,2000,
106392017,Basilar artery syndrome,2000,
300363010,Anterior cerebral artery syndrome,2000,
25897016,Subclavian steal syndrome,2000,
300363010,Anterior cerebral artery syndrome,2000,
2118011000000114,Stroke self-management plan agreed,2000,
25897016,Subclavian steal syndrome,2000,
300312010,Cerebral infarct due to thrombosis of precerebral arteries,2000,
503791000006114,Basal ganglia haemorrhage,2000,
841051000006113,Cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy,2000,
300312010,Cerebral infarct due to thrombosis of precerebral arteries,2000,
503791000006114,Basal ganglia haemorrhage,2000,
294656010,Arteriosclerotic dementia NOS,2000,
345655015,Pure motor lacunar syndrome,2000,
395777014,Precerebral arterial occlusion,2000,
800691000006113,Diffuse cerebrovascular disease,2000,
503469016,Pontine haemorrhage,2000,
345655015,Pure motor lacunar syndrome,2000,
67501000006115,Vertebrobasilar artery syndrome,2000,
67501000006115,Vertebrobasilar artery syndrome,2000,
123511000006114,Subarachnoid haemorrhage from middle cerebral artery,2000,
300374018,Other cerebrovascular disease,2000,
501622012,Perinatal intraventricular haemorrhage,2000,
503469016,Pontine haemorrhage,2000,
300941014,[X]Other cerebral infarction,2000,
300941014,[X]Other cerebral infarction,2000,
345710016,Vertebral artery dissection,2000,
300322016,Cerebral infarction due to embolism of cerebral arteries,1000,
371641000000112,Delivery of rehabilitation for stroke,1000,
416991000006112,Transient cerebral ischemia,1000,
325051016,Cerebral anoxia complication,1000,
300309012,Vertebral artery occlusion,1000,
300242011,Ruptured berry aneurysm,1000,
402929011,Subarachnoid haemorrhage following injury without open intracranial wound,1000,
123481000006118,Subarachnoid haemorrhage from anterior communicating artery,1000,
300348012,Other transient cerebral ischaemia,1000,
660121000006113,Traumatic intracranial haemorrhage,1000,
416991000006112,Transient cerebral ischemia,1000,
300313017,Cerebral infarction due to embolism of precerebral arteries,1000,
402930018,Extradural haemorrhage following injury without open intracranial wound,1000,
496232015,Internal capsule haemorrhage,1000,
300313017,Cerebral infarction due to embolism of precerebral arteries,1000,
496232015,Internal capsule haemorrhage,1000,
300348012,Other transient cerebral ischaemia,1000,
300939013,Cerebral haemorrhage,1000,
300943012,Cerebral artery occlusion,1000,
748941000006115,"Left sided intracerebral haemorrhage, unspecified",1000,
114794013,Moyamoya disease,1000,
884421000006119,Cerebral haemorrhage,1000,
350804018,Congenital cerebral arteriovenous malformation,1000,
296939018,Thrombosis transverse sinus,1000,
748941000006115,"Left sided intracerebral haemorrhage, unspecified",1000,
884421000006119,Cerebral haemorrhage,1000,
300939013,Cerebral haemorrhage,1000,
300943012,Cerebral artery occlusion,1000,
449935012,Admission to stroke unit,1000,
884441000006114,Subdural haemorrhage,1000,
296940016,Thrombosis of central nervous system venous sinus NOS,1000,
300290016,Other and unspecified intracranial haemorrhage,1000,
300322016,Cerebral infarction due to embolism of cerebral arteries,1000,
345650013,Brainstem infarction NOS,900,
542261000006114,Cerebral infarction due to occlusion of precerebral artery,900,
2115821000000118,Stroke self-management plan review,900,
345650013,Brainstem infarction NOS,900,
542261000006114,Cerebral infarction due to occlusion of precerebral artery,900,
431691000006119,Vascular dementia of acute onset,900,
345684012,Carotid territory transient ischaemic attack,900,
345684012,Carotid territory transient ischaemic attack,900,
58046010,Vertebral artery syndrome,800,
542251000006112,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",800,
300379011,Generalised ischaemic cerebrovascular disease NOS,800,
345675012,Lobar cerebral haemorrhage,800,
100691000006118,Cerebral venous thrombosis of cavernous sinus,800,
345675012,Lobar cerebral haemorrhage,800,
660111000006117,Nontraumatic extradural haemorrhage,800,
130375018,Lateral medullary syndrome,800,
130375018,Lateral medullary syndrome,800,
542251000006112,"Cerebral infarction due to cerebral venous thrombosis, non-pyogenic",800,
812561000006116,Haemangioma of intracranial structure,800,
451371010,H/O: Stroke in last year,800,
58046010,Vertebral artery syndrome,800,
356251016,Pituitary apoplexy,800,
163261000006119,"Right sided intracerebral haemorrhage, unspecified",800,
163261000006119,"Right sided intracerebral haemorrhage, unspecified",800,
417171000006111,[X]Other vascular syndroms/brain in cerebrovasculr diseases,700,
928621000006111,"MELAS - Mitochondrial encephalopathy, lactic acidosis and stroke-like episodes",700,
300403014,Late effects of cerebrovascular disease,700,
413750011,Central post-stroke pain,700,
884471000006118,Carotid artery occluded,700,
300303013,Basilar artery occlusion,700,
486896012,Intracranial haematoma following injury,700,
1235913017,Cerebral vein thrombosis,700,
883081000006112,Benign intracranial hyperten.,600,
538601000006110,Caroticocavernous sinus fistula,600,
300353019,Intermittent cerebral ischaemia,600,
3610821000006113,Idiopathic intracranial hypertension,600,
300353019,Intermittent cerebral ischaemia,600,
123521000006118,Subarachnoid haemorrhage from posterior communicating artery,600,
345658018,Pure sensory lacunar syndrome,600,
345658018,Pure sensory lacunar syndrome,600,
966981000006112,Referral to multidisciplinary stroke function improvement service,600,
300314011,Precerebral artery occlusion NOS,600,
505324014,Traumatic cerebral haemorrhage,600,
5263018,Congenital cerebral arteriovenous aneurysm,600,
300389010,Nonruptured cerebral aneurysm due to dissection of cerebral artery,600,
300395011,Occlusion and stenosis of middle cerebral artery,500,
300418010,Other specified cerebrovascular disease,500,
47484015,Cerebral arteritis,500,
2262511000000116,Reversible cerebral vasoconstriction syndrome,500,
300344014,Carotid artery syndrome hemispheric,500,
123441000006112,"Subarachnoid haemorrh from intracranial artery, unspecif",500,
300344014,Carotid artery syndrome hemispheric,500,
495394013,Cortical haemorrhage,500,
495394013,Cortical haemorrhage,500,
316516014,Intraventricular haemorrhage due to birth injury,400,
767651000006116,"Intraventricular (nontraumatic) haemorrhage, grade 2, of fetus and newborn",400,
744921000006116,"Intracerebral haemorrhage in hemisphere, unspecified",400,
300956017,"[X]Intracerebral haemorrhage in hemisphere, unspecified",400,
744921000006116,"Intracerebral haemorrhage in hemisphere, unspecified",400,
4056981000006115,Cerebral venous thrombosis,400,
300956017,"[X]Intracerebral haemorrhage in hemisphere, unspecified",400,
1212072018,Occlusive stroke,400,
459511018,Traumatic subdural haematoma without open intracranial wound,400,
5011741000006115,Dissection of vertebral artery,400,
100701000006118,Thrombosis lateral sinus,400,
5011131000006112,Posterior cerebral circulation infarction,400,
123491000006115,Subarachnoid haemorrhage from basilar artery,400,
8044481000006118,Ischaemic stroke without coma,400,
8044481000006118,Ischaemic stroke without coma,400,
213421000006113,Precerebral atherosclerosis,400,
149347010,Binswanger's disease,400,
149347010,Binswanger's disease,400,
5060581000006110,Cerebral arteriovenous malformation,400,
5011091000006110,Partial anterior cerebral circulation infarction,400,
5011131000006112,Posterior cerebral circulation infarction,400,
5011091000006110,Partial anterior cerebral circulation infarction,400,
149571000006118,"Sequelae of stroke,not specfd as h'morrhage or infarction",400,
512234017,Cerebral lupus,400,
296931015,Phlebitis and thrombophlebitis of intracranial sinuses,400,
1212072018,Occlusive stroke,400,
5459271000006119,Traumatic intracranial subarachnoid haemorrhage,400,
13796131000006110,Subarachnoid haemorrhage due to traumatic injury,300,
12223101000006118,Intracerebral haemorrhage,300,
4056871000006112,Subdural haematoma,300,
300402016,Other cerebrovascular disease NOS,300,
542831000006116,Cerebral embolus,300,
8453031000006117,Haemorrhagic stroke,300,
8453031000006117,Haemorrhagic stroke,300,
370701000006118,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,300,
320852013,Cerebral haemorrhage following injury NOS,300,
57341000006119,Wallenberg's syndrome,300,
505381016,Epidural haemorrhage,300,
4411861000006113,Cerebral arterial aneurysm,300,
884551000006112,Cerebral aneurysm-non ruptured,300,
370701000006118,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,300,
423221000006117,[X]Predominantly cortical dementia,300,
423221000006117,[X]Predominantly cortical dementia,300,
5492171000006112,TIA,300,
647051000006114,Epidural haematoma following injury,300,
300411016,Sequelae of cerebral infarction,300,
5492171000006112,TIA,300,
2476647018,Vertebral artery compression syndrome,300,
2476647018,Vertebral artery compression syndrome,300,
542831000006116,Cerebral embolus,300,
57341000006119,Wallenberg's syndrome,300,
12223101000006118,Intracerebral haemorrhage,300,
884541000006110,Cerebral arteriosclerosis,300,
300936018,[X]Other subarachnoid haemorrhage,300,
5582311000006110,Occipital cerebral infarction,300,
