med_code_id,term,observations,snomed_ct_concept_id
101891000006113,Thyrotoxicosis without mention of goitre or cause no crisis,800,
101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis",200,
1233040016,Myopathy due to thyrotoxicosis,100,
123651000006111,Subclinical iodine deficiency hypothyroidism,5000,
150375010,Thyrotoxicosis,500000,
1539151000006110,Secondary hypothyroidism,500,
178809013,Acquired hypothyroidism,2000000,
1823931000006116,Hypothyroidism confirmed,20,
1842051000006119,Subclinical hyperthyroidism,10,
1842051000006119,Subclinical hyperthyroidism,10,
211321000006115,Postinfectious hypothyroidism,100,
216181000006112,Postablative hypothyroidism,5000,
225971000000116,Hypothyroidism monitoring administration,20000,
23518016,Neonatal thyrotoxicosis,200,
2474336017,Hypothyroidism clinical management plan,3000,
2533420013,Hypothyroidism monitoring third letter,10000,
2533422017,Hypothyroidism monitoring first letter,200000,
2533534011,Hypothyroidism monitoring second letter,40000,
2536050019,Post-surgical hypothyroidism,90000,
2548835019,Hypothyroidism monitoring verbal invite,5000,
2588971000006116,Neonatal transient hyperthyroidism,1,
2694637015,Congenital hypothyroidism not suspected,50000,
2694637015,Congenital hypothyroidism not suspected,50000,
2694980014,Subclinical hyperthyroidism,20000,
2694980014,Subclinical hyperthyroidism,20000,
2922501000006118,Thyrotoxicosis due to multinodular goitre,9,
2922511000006115,Thyrotoxicosis with toxic multinodular goitre,1,
292355019,Thyrotoxicosis from ectopic thyroid nodule with no crisis,10,
292356018,Thyrotoxicosis from ectopic thyroid nodule with crisis,2,
292357010,Thyrotoxicosis from ectopic thyroid nodule NOS,20,
292361016,Thyrotoxicosis of other specified origin with no crisis,200,
292362011,Thyrotoxicosis of other specified origin with crisis,40,
292365013,Thyrotoxicosis of other specified origin NOS,300,
292366014,Thyrotoxicosis without mention of goitre or other cause,40000,
292372014,Thyrotoxicosis NOS,40000,
292373016,Congenital hypothyroidism,60000,
292373016,Congenital hypothyroidism,60000,
292376012,Other specified congenital hypothyroidism,80,
292376012,Other specified congenital hypothyroidism,80,
292394018,Other postablative hypothyroidism,2000,
292395017,Irradiation hypothyroidism,20000,
292396016,Postablative hypothyroidism NOS,3000,
292397013,Iodine hypothyroidism,10000,
292400016,Iatrogenic hypothyroidism,3000,
292401017,Hypothyroidism resulting from para-aminosalicylic acid,20,
292402012,Hypothyroidism resulting from phenylbutazone,1,
292403019,Hypothyroidism resulting from resorcinol,4,
292404013,Iatrogenic hypothyroidism NOS,7000,
292408011,Other acquired hypothyroidism,500000,
292417011,Premature puberty due to hypothyroidism,40,
2933321000006112,Postoperative hypothyroidism,300,
2933341000006117,Postsurgical hypothyroidism,300,
293750016,[X]Other thyrotoxicosis,900,
297588017,Myasthenic syndrome due to hypothyroidism,20,
297591017,Myasthenic syndrome due to thyrotoxicosis,40,
3152641000006114,Hypothyroidism following radioiodine therapy,30,
3152651000006111,Radioactive iodine-induced hypothyroidism,1,
316625012,Neonatal jaundice with congenital hypothyroidism,50,
316625012,Neonatal jaundice with congenital hypothyroidism,50,
3508461000006113,Hyperthyroidism secondary to amiodarone,8,
3508471000006118,Amiodarone-induced thyrotoxicosis,1,
3513939016,Hyperthyroidism in pregnancy,2,
355957018,Congenital hypothyroidism without goitre,90,
355957018,Congenital hypothyroidism without goitre,90,
355987012,Chronic thyroiditis with transient thyrotoxicosis,70,
355987012,Chronic thyroiditis with transient thyrotoxicosis,70,
355987012,Chronic thyroiditis with transient thyrotoxicosis,70,
3700961000006117,Thyrotoxicosis with toxic single thyroid nodule,8,
3843671000006116,Secondary hypothyroidism,900,
3918261000006117,Hyperthyroidism due to ectopic thyroid nodule,2,
3918281000006110,Thyrotoxicosis from ectopic thyroid tissue,1,
398782015,Thyrotoxicosis of other specified origin,700,
398783013,Congenital hypothyroidism NOS,2000,
398783013,Congenital hypothyroidism NOS,2000,
398784019,Hypothyroidism NOS,500000,
406721000000115,Hypothyroidism monitoring telephone invitation,6000,
413721000006119,[X]Other sp cified hypothyroidism,500,
415432015,Congenital hypothyroidism with diffuse goitre,60,
415432015,Congenital hypothyroidism with diffuse goitre,60,
4197341000006114,Primary hypothyroidism,6,
507481016,Thyrotoxicosis from ectopic thyroid nodule,200,
5108031000006113,Thyrotoxicosis due to Graves' disease,200,
5108041000006115,Autoimmune thyrotoxicosis,4,
5108061000006116,Thyrotoxicosis due to acute thyroiditis,2,
5108061000006116,Thyrotoxicosis due to acute thyroiditis,2,
5108061000006116,Thyrotoxicosis due to acute thyroiditis,2,
5108071000006111,Borderline thyrotoxicosis,10,
5108121000006111,Gestational thyrotoxicosis,1,
5108191000006113,Thyrotoxicosis on thyroxine therapy,4,
5108191000006113,Thyrotoxicosis on thyroxine therapy,4,
5108351000006116,Autoimmune hypothyroidism,1000,
5108381000006112,Hypothyroidism with positive thyroid antibodies,10,
5108391000006110,Hypothyroidism due to Hashimoto's thyroiditis,80,
5108391000006110,Hypothyroidism due to Hashimoto's thyroiditis,80,
5108391000006110,Hypothyroidism due to Hashimoto's thyroiditis,80,
5108391000006110,Hypothyroidism due to Hashimoto's thyroiditis,80,
5108401000006112,Hypothyroidism due to Hashimoto thyroiditis,1,
5108401000006112,Hypothyroidism due to Hashimoto thyroiditis,1,
5108401000006112,Hypothyroidism due to Hashimoto thyroiditis,1,
5108411000006110,Hypothyroidism due to TSH receptor blocking antibody,3,
5108411000006110,Hypothyroidism due to TSH receptor blocking antibody,3,
5108431000006116,Borderline hypothyroidism,8,
5108441000006114,Compensated hypothyroidism,30,
5108491000006117,Post-infectious hypothyroidism,7,
5500041000006112,Thyrotoxicosis with diffuse goitre,2,
5581861000006113,Ophthalmic Graves disease,1,
5587171000006118,Transient neonatal hypothyroidism,4,
5720991000006112,Thyrotoxicosis with or without goitre,30,
5721011000006111,Hypothyroidism - congenital and acquired,5,
57561015,Hyperthyroidism,500000,
6196461000006114,Graves disease,100,
637341000000118,Hypothyroidism annual review,30000,
661271000006114,Factitia thyrotoxicosis,20,
68268011,Hypothyroidism,3000000,
6858301000006118,Hypothyroidism monitoring invitation,70,
7084321000006110,Hypothyroidism in pregnancy,2,
7096871000006113,Congenital hypothyroidism (CHT) not suspected,200,
7096871000006113,Congenital hypothyroidism (CHT) not suspected,200,
8026401000006116,Did not attend hyperthyroidism clinic,6,
8065681000006113,Hypothyroidism review,200,
8118651000006118,Hypothyroidism caused by drug,5,
8118661000006116,Drug-induced hypothyroidism,6,
881371000006111,Thyrotoxicosis +/- goitre,4000,
881381000006114,Hypothyroidism-congen.+ acqui.,10000,
881391000006112,Acquired hypothyroidism NOS,70000,
905741000006112,[RFC] Hyperthyroidism,1000,
91116012,Subclinical hypothyroidism,200000,
91116012,Subclinical hypothyroidism,200000,
933261000006110,Subclinical hypothyroidism,400,
933261000006110,Subclinical hypothyroidism,400,
9370014,Thyrotoxicosis factitia,20,
939981000006114,Hypothyroidism medication review,6000,
