med_code_id,term,observations,snomed_ct_concept_id
145471000006115,Serum triglycerides level,50000000,
259579011,Plasma triglyceride level,2000000,
854481000006110,Fasting triglycerides,400000,
259260012,Serum fasting triglyceride level,300000,
259256014,Serum triglycerides normal,100000,
259258010,Serum triglycerides raised,100000,
977481000006112,Triglyceride level,100000,
259263014,Serum triglyceride levels - finding,90000,
259261011,Serum random triglyceride level,60000,
1864161000006119,Test request : Serum triglycerides,40000,
259257017,Serum triglycerides borderline,10000,
259583011,Plasma fasting triglyceride level,10000,
259580014,Plasma random triglyceride level,4000,
411914018,FH: Triglyceride high,1000,
7261041000006112,Serum triglycerides borderline high,90,
12716501000006115,Serum triglycerides borderline,70,
2733541000006119,Triglycerides measurement,60,
3891531000006113,Triglyceride,50,
6279071000006110,Triglyceride level,40,
2478457017,Fluid sample triglyceride level,30,
5912411000006113,Hypertriglyceridemia,7,
5522421000006118,Serum triglyceride levels,3,
3891541000006115,TG - Triglyceride,2,
3891501000006117,Triglycerides,2,
4600481000006111,Serum fasting triglyceride level,1,
