med_code_id,term,observations,snomed_ct_concept_id
2154209017,Refer to weight management programme,300000,
297811000000117,Weight management programme offered,100000,
1709681000000111,Referral to weight management service offered,80000,
14176391000006111,Referral to weight management service,40000,
1721501000000113,Referral to local authority weight management programme,30000,
1844501000006115,Referral to weight management special interest general practitioner,900,
2173321000000116,Referral to residential weight management programme,500,
6759901000006112,Refer to weight management program,10,
1750991000000117,Weight management service opportunity signposted,100000,
2714971000000116,Signposting to weight management service,6000,
8278851000006114,Referral to weight management GPwSI (general practitioner with special interest),3,
