med_code_id,term,snomed_ct_concept_id,observations
4656,Crescendo angina,,
19655,Angina at rest,,
17307,Angina at rest,,
34328,Refractory angina,,
18118,Worsening angina,,
1430,Angina pectoris,,
20095,Angina decubitus,,
18125,Nocturnal angina,,
29902,Angina decubitus NOS,,
12986,Prinzmetal's angina,,
11048,Variant angina pectoris,,
25842,Angina pectoris NOS,,
1414,Angina on effort,,
9555,Post infarct angina,,
26863,New onset angina,,
12804,Stable angina,,
28554,Angina pectoris NOS,,
39546,[X]Other forms of angina pectoris,,
