med_code_id,term,snomed_ct_concept_id,observations
162863004,BMI 25-29 - overweight,162863004,
162863004,Body mass index index 25-29 - overweight,162863004,
162863004,Body mass index 25-29 - overweight,162863004,
162864005,Body mass index 30+ - obesity,162864005,
162864005,BMI 30+ - obesity,162864005,
301331008,Finding of BMI (body mass index),301331008,
301331008,Observation of body mass index,301331008,
301331008,Finding of body mass index,301331008,
310252000,Body mass index less than 20,310252000,
310252000,BMI less than 20,310252000,
35425004,Normal body mass index,35425004,
35425004,Normal BMI (body mass index),35425004,
408512008,Body mass index 40+ - severely obese,408512008,
408512008,BMI (body mass index) 40+ - severely obese,408512008,
408512008,Body mass index 40+ - morbidly obese,408512008,
412768003,Body mass index 20-24 - normal,412768003,
412768003,BMI (body mass index) 20-24 - normal,412768003,
427090001,Body mass index less than 16.5,427090001,
427090001,BMI (body mass index) less than 16.5,427090001,
443371000124107,Body mass index 30.00 to 34.99,443371000124107,
443371000124107,Obese class I,443371000124107,
443381000124105,Body mass index 35.00 to 39.99,443381000124105,
443381000124105,Obese class II,443381000124105,
48499001,Increased body mass index,48499001,
48499001,Increased BMI (body mass index),48499001,
60621009,BMI - Body mass index,60621009,
60621009,Weight: body mass,60621009,
60621009,Quetelet index,60621009,
60621009,Body mass index,60621009,
60621009,Body mass index,60621009,
6497000,Decreased BMI (body mass index),6497000,
6497000,Decreased body mass index,6497000,
846931000000101,Baseline BMI (body mass index),846931000000101,
846931000000101,Baseline body mass index,846931000000101,
914721000000105,Obese class I (body mass index 30.0 - 34.9),914721000000105,
914741000000103,Obese class III (body mass index equal to or greater than 40.0),914741000000103,
