med_code_id,term,snomed_ct_concept_id,observations
12566,Chronic kidney disease stage 3,,
12479,Chronic kidney disease stage 4,,
12585,Chronic kidney disease stage 5,,
94965,Chronic kidney disease stage 3A,,
95179,Chronic kidney disease stage 3B,,
94793,Chronic kidney disease stage 3 with proteinuria,,
95145,CKD stage 3 with proteinuria,,
95123,Chronic kidney disease stage 3 without proteinuria,,
95188,CKD stage 3 without proteinuria,,
95408,Chronic kidney disease stage 3A with proteinuria,,
95571,CKD stage 3A with proteinuria,,
95175,Chronic kidney disease stage 3A without proteinuria,,
95176,CKD stage 3A without proteinuria,,
95178,Chronic kidney disease stage 3B with proteinuria,,
95180,CKD stage 3B with proteinuria,,
95177,Chronic kidney disease stage 3B without proteinuria,,
100633,CKD stage 3B without proteinuria,,
95122,Chronic kidney disease stage 4 with proteinuria,,
99312,CKD stage 4 with proteinuria,,
95406,Chronic kidney disease stage 4 without proteinuria,,
97587,CKD stage 4 without proteinuria,,
95508,Chronic kidney disease stage 5 with proteinuria,,
99160,CKD stage 5 with proteinuria,,
95405,Chronic kidney disease stage 5 without proteinuria,,
97683,CKD stage 5 without proteinuria,,
104619,Chronic kidney disease stage 3,,
104963,Chronic kidney disease stage 4,,
105151,Chronic kidney disease stage 5,,
