med_code_id,term,snomed_ct_concept_id,observations
21256010,Presenile dementia,12348006,10000
26545010,Senile dementia,15662003,300000
251625013,H/O: dementia,161465002,70000
294635013,Uncomplicated senile dementia,191449005,90000
294637017,Uncomplicated presenile dementia,191451009,400
294638010,Presenile dementia with delirium,191452002,100
294641018,Presenile dementia with paranoia,191454001,400
294642013,Presenile dementia with depression,191455000,900
294643015,Presenile dementia NOS,12348006,1000
294644014,Senile dementia with depressive or paranoid features,191457008,4000
294645010,Senile dementia with paranoia,191458003,3000
294646011,Senile dementia with depression,191459006,4000
294647019,Senile dementia with depressive or paranoid features NOS,191457008,300
294648012,Senile dementia with delirium,191461002,3000
294652012,Uncomplicated arteriosclerotic dementia,191463004,900
294653019,Arteriosclerotic dementia with delirium,191464005,80
294654013,Arteriosclerotic dementia with paranoia,191465006,400
294655014,Arteriosclerotic dementia with depression,191466007,400
294656010,Arteriosclerotic dementia NOS,56267009,2000
294688019,Drug-induced dementia,191493005,70
294718018,Dementia in conditions EC,191519005,7000
295668011,[X]Dementia in Alzheimer's disease,26929004,300000
295671015,"[X]Dementia in Alzheimer's dis, atypical or mixed type",26929004,100000
295672010,"[X]Dementia in Alzheimer's disease, unspecified",26929004,10000
295680015,[X]Other vascular dementia,429998004,2000
295681016,"[X]Vascular dementia, unspecified",429998004,20000
295684012,Dementia associated with another disease,191519005,7000
295685013,Dementia due to Pick's disease,21921000119103,4000
295686014,Dementia due to Creutzfeldt Jakob disease,429458009,200
295687017,Dementia due to Huntington chorea,442344002,2000
295688010,Dementia in Parkinsons disease,425390006,30000
295690011,[X]Dementia in other specified diseases classif elsewhere,191519005,1000
295714013,[X]Delirium superimposed on dementia,2776000,2000
346929012,Alcoholic dementia,281004,6000
401760017,Other alcoholic dementia,281004,1000
497559016,Arteriosclerotic dementia,56267009,50000
3635492010,Subcortical dementia,762707000,6
148381000006115,Senile/presenile dementia,52448006,100000
359081000006118,[X] Presenile dementia NOS,12348006,500
359101000006114,Cerebral degeneration presenting primarily with dementia,279982005,300
359141000006111,[X] Senile dementia NOS,15662003,30000
359151000006113,"[X] Senile dementia, depressed or paranoid type",191457008,600
359241000006119,Dementia,52448006,300000
362941000006113,[X]Alcoholic dementia NOS,281004,2000
363021000006113,[X]Alzheimer's dementia unspec,26929004,50000
363791000006112,[X]Arteriosclerotic dementia,56267009,6000
376531000006119,Dementia in Alzheimer's disease with early onset,416780008,7000
376541000006112,Dementia in Alzheimer's disease with late onset,416975007,40000
376571000006116,[X]Dementia in human immunodef virus [HIV] disease,421529006,300
376631000006115,[X]Dementia infantalis,71961003,4
398571000006112,Mixed cortical and subcortical vascular dementia,230287006,9000
399031000006111,[X]Multi-infarct dementia,56267009,9000
408401000000119,Dementia annual review,249181000000100,800000
423221000006117,[X]Predominantly cortical dementia,56267009,300
423351000006115,"[X]Presenile dementia,Alzheimer's type",416780008,400
423381000006111,"[X]Primary degen dementia of Alzheimer's type, senile onset",416975007,200
