med_code_id,term,snomed_ct_concept_id,observations
711,Diabetes mellitus,,
38986,Diabetes mellitus with no mention of complication,,
24490,"Diabetes mellitus, juvenile type, no mention of complication",,
1038,Insulin dependent diabetes mellitus,,
14803,"Diabetes mellitus, adult onset, no mention of complication",,
14889,Maturity onset diabetes,,
506,Non-insulin dependent diabetes mellitus,,
50972,Diabetes mellitus NOS with no mention of complication,,
1682,Diabetes mellitus with ketoacidosis,,
53200,"Diabetes mellitus, juvenile type, with ketoacidosis",,
54856,"Diabetes mellitus, adult onset, with ketoacidosis",,
38617,Other specified diabetes mellitus with ketoacidosis,,
42505,Diabetes mellitus NOS with ketoacidosis,,
21482,Diabetes mellitus with hyperosmolar coma,,
40023,"Diabetes mellitus, juvenile type, with hyperosmolar coma",,
43139,"Diabetes mellitus, adult onset, with hyperosmolar coma",,
72345,Diabetes mellitus NOS with hyperosmolar coma,,
15690,Diabetes mellitus with ketoacidotic coma,,
42567,"Diabetes mellitus, juvenile type, with ketoacidotic coma",,
68843,"Diabetes mellitus, adult onset, with ketoacidotic coma",,
59288,Other specified diabetes mellitus with coma,,
65062,Diabetes mellitus NOS with ketoacidotic coma,,
16502,Diabetes mellitus with renal manifestation,,
2475,Diabetic nephropathy,,
93922,"Diabetes mellitus, juvenile type, with renal manifestation",,
35105,"Diabetes mellitus, adult onset, with renal manifestation",,
13279,Other specified diabetes mellitus with renal complications,,
35107,Diabetes mellitus with nephropathy NOS,,
33254,Diabetes mellitus with ophthalmic manifestation,,
69748,"Diabetes mellitus, juvenile type, + ophthalmic manifestation",,
41389,"Diabetes mellitus, adult onset, + ophthalmic manifestation",,
47377,Other specified diabetes mellitus with ophthalmic complicatn,,
34283,Diabetes mellitus NOS with ophthalmic manifestation,,
16230,Diabetes mellitus with neurological manifestation,,
59903,Diabetic amyotrophy,,
7795,Diabetes mellitus with neuropathy,,
16491,Diabetes mellitus with polyneuropathy,,
67853,"Diabetes mellitus, juvenile, + neurological manifestation",,
39317,"Diabetes mellitus, adult onset, + neurological manifestation",,
61523,Other specified diabetes mellitus with neurological comps,,
22573,Diabetes mellitus NOS with neurological manifestation,,
35399,Diabetes mellitus with peripheral circulatory disorder,,
32403,Diabetes mellitus with gangrene,,
32556,Diabetes with gangrene,,
70448,"Diabetes mellitus, juvenile +peripheral circulatory disorder",,
63357,"Diabetes mellitus, adult, + peripheral circulatory disorder",,
33807,"Diabetes mellitus, adult with gangrene",,
69124,IDDM with peripheral circulatory disorder,,
56803,NIDDM with peripheral circulatory disorder,,
65025,Diabetes mellitus NOS with peripheral circulatory disorder,,
1647,Insulin dependent diabetes mellitus,,
18505,IDDM-Insulin dependent diabetes mellitus,,
17858,Type 1 diabetes mellitus,,
24423,Type I diabetes mellitus,,
46963,Insulin-dependent diabetes mellitus with renal complications,,
61344,Type I diabetes mellitus with renal complications,,
21983,Type 1 diabetes mellitus with renal complications,,
49276,Insulin-dependent diabetes mellitus with ophthalmic comps,,
102740,Type 1 diabetes mellitus with ophthalmic complications,,
52283,Insulin-dependent diabetes mellitus with neurological comps,,
49146,Type I diabetes mellitus with neurological complications,,
61829,Type 1 diabetes mellitus with neurological complications,,
52104,Insulin dependent diabetes mellitus with multiple complicatn,,
108007,Type I diabetes mellitus with multiple complications,,
26855,Unstable insulin dependent diabetes mellitus,,
60107,Unstable type I diabetes mellitus,,
97474,Unstable type 1 diabetes mellitus,,
44443,Insulin dependent diabetes mellitus with ulcer,,
51957,Type I diabetes mellitus with ulcer,,
68390,Type 1 diabetes mellitus with ulcer,,
60499,Insulin dependent diabetes mellitus with gangrene,,
6509,Insulin dependent diabetes mellitus with retinopathy,,
38161,Type I diabetes mellitus with retinopathy,,
41049,Type 1 diabetes mellitus with retinopathy,,
6791,Insulin dependent diabetes mellitus - poor control,,
46850,Type I diabetes mellitus - poor control,,
45914,Type 1 diabetes mellitus - poor control,,
31310,Insulin dependent diabetes maturity onset,,
63017,Type I diabetes mellitus maturity onset,,
97446,Type 1 diabetes mellitus maturity onset,,
56448,Insulin-dependent diabetes without complication,,
95992,Type I diabetes mellitus without complication,,
24694,Insulin dependent diabetes mellitus with mononeuropathy,,
99231,Type I diabetes mellitus with mononeuropathy,,
41716,Insulin dependent diabetes mellitus with polyneuropathy,,
57621,Insulin dependent diabetes mellitus with nephropathy,,
66872,Type I diabetes mellitus with nephropathy,,
44440,Insulin dependent diabetes mellitus with hypoglycaemic coma,,
42729,Type I diabetes mellitus with hypoglycaemic coma,,
70766,Type 1 diabetes mellitus with hypoglycaemic coma,,
44260,Insulin dependent diabetes mellitus with diabetic cataract,,
17545,Type I diabetes mellitus with diabetic cataract,,
64446,Insulin dependent diab mell with peripheral angiopathy,,
65616,Insulin dependent diabetes mellitus with arthropathy,,
62352,Type I diabetes mellitus with arthropathy,,
39809,Insulin dependent diab mell with neuropathic arthropathy,,
60208,Type I diabetes mellitus with neuropathic arthropathy,,
18230,Type 1 diabetes mellitus with neuropathic arthropathy,,
46290,Other specified diabetes mellitus with multiple comps,,
64449,Unspecified diabetes mellitus with multiple complications,,
4513,Non-insulin dependent diabetes mellitus,,
5884,NIDDM - Non-insulin dependent diabetes mellitus,,
17859,Type 2 diabetes mellitus,,
18219,Type II diabetes mellitus,,
52303,Non-insulin-dependent diabetes mellitus with renal comps,,
50225,Type II diabetes mellitus with renal complications,,
18209,Type 2 diabetes mellitus with renal complications,,
50429,Non-insulin-dependent diabetes mellitus with ophthalm comps,,
59725,Type II diabetes mellitus with ophthalmic complications,,
70316,Type 2 diabetes mellitus with ophthalmic complications,,
55842,Non-insulin-dependent diabetes mellitus with neuro comps,,
