med_code_id,term,snomed_ct_concept_id,observations
108372,Unknown,,
26511,Unknown,,
36203,Unknown,,
6983,Unknown,,
45746,Unknown,,
3607,Unknown,,
988,Unknown,,
4093,Unknown,,
53483,Unknown,,
13073,Unknown,,
52632,Unknown,,
98536,Unknown,,
37592,Unknown,,
4602,Unknown,,
26620,Unknown,,
26015,Unknown,,
11394,Unknown,,
59120,Unknown,,
22341,Unknown,,
31920,Unknown,,
4109,Unknown,,
26512,Unknown,,
99548,Unknown,,
573,Unknown,,
65699,Unknown,,
5525,Unknown,,
38919,Unknown,,
19363,Unknown,,
12848,Unknown,,
46603,Unknown,,
73542,Unknown,,
40105,Unknown,,
26733,Unknown,,
34079,Unknown,,
31877,Unknown,,
56359,Unknown,,
22991,Unknown,,
54365,Unknown,,
6271,Unknown,,
47117,Unknown,,
105382,Unknown,,
17399,Unknown,,
19551,Unknown,,
20566,Unknown,,
44252,Unknown,,
22804,Unknown,,
2907,Unknown,,
34473,Unknown,,
102191,Unknown,,
102359,Unknown,,
56455,Unknown,,
19550,Unknown,,
11186,Unknown,,
102375,Unknown,,
32288,Unknown,,
45757,Unknown,,
40806,Unknown,,
35217,Unknown,,
9979,Unknown,,
19170,Unknown,,
73879,Unknown,,
71801,Unknown,,
19552,Unknown,,
50012,Unknown,,
31830,Unknown,,
23634,Unknown,,
30635,Unknown,,
6709,Unknown,,
30816,Unknown,,
49889,Unknown,,
55706,Unknown,,
1715,Unknown,,
99731,Unknown,,
48134,Unknown,,
98442,Unknown,,
5152,Unknown,,
55739,Unknown,,
40863,Unknown,,
43679,Unknown,,
9887,Unknown,,
102265,Unknown,,
69831,Unknown,,
71719,Unknown,,
26144,Unknown,,
8187,Unknown,,
98977,Unknown,,
24309,Unknown,,
3175,Unknown,,
65673,Unknown,,
59185,Unknown,,
50702,Unknown,,
9569,Unknown,,
18471,Unknown,,
100652,Unknown,,
25330,Unknown,,
48462,Unknown,,
37644,Unknown,,
101143,Unknown,,
72384,Unknown,,
55665,Unknown,,
9326,Unknown,,
8385,Unknown,,
13220,Unknown,,
100920,Unknown,,
9747,Unknown,,
26619,Unknown,,
38307,Unknown,,
36696,Unknown,,
102190,Unknown,,
4801,Unknown,,
27526,Unknown,,
98870,Unknown,,
45927,Unknown,,
55260,Unknown,,
3783,Unknown,,
68946,Unknown,,
30604,Unknown,,
