med_code_id,term,snomed_ct_concept_id,observations
12350,Unknown,,
12351,Unknown,,
12352,Unknown,,
12355,Unknown,,
12412,Unknown,,
12414,Unknown,,
12420,Unknown,,
12421,Unknown,,
12432,Unknown,,
12434,Unknown,,
12436,Unknown,,
12437,Unknown,,
12443,Unknown,,
12444,Unknown,,
12460,Unknown,,
12467,Unknown,,
12468,Unknown,,
12473,Unknown,,
12513,Unknown,,
12532,Unknown,,
12591,Unknown,,
12608,Unknown,,
12638,Unknown,,
12653,Unknown,,
12668,Unknown,,
12681,Unknown,,
12696,Unknown,,
12706,Unknown,,
12719,Unknown,,
12730,Unknown,,
12742,Unknown,,
12746,Unknown,,
12756,Unknown,,
12757,Unknown,,
12760,Unknown,,
12769,Unknown,,
12873,Unknown,,
12887,Unknown,,
25422,Unknown,,
25451,Unknown,,
25937,Unknown,,
26246,Unknown,,
26310,Unknown,,
26341,Unknown,,
26391,Unknown,,
26392,Unknown,,
26455,Unknown,,
28866,Unknown,,
28887,Unknown,,
28900,Unknown,,
28935,Unknown,,
28936,Unknown,,
30280,Unknown,,
32136,Unknown,,
32389,Unknown,,
32399,Unknown,,
32401,Unknown,,
32408,Unknown,,
32413,Unknown,,
32420,Unknown,,
32778,Unknown,,
32886,Unknown,,
35459,Unknown,,
40096,Unknown,,
40097,Unknown,,
40102,Unknown,,
40110,Unknown,,
41214,Unknown,,
42290,Unknown,,
42294,Unknown,,
45964,Unknown,,
46047,Unknown,,
46056,Unknown,,
46059,Unknown,,
46063,Unknown,,
46956,Unknown,,
46964,Unknown,,
47005,Unknown,,
47028,Unknown,,
47074,Unknown,,
47077,Unknown,,
47091,Unknown,,
49658,Unknown,,
49940,Unknown,,
55113,Unknown,,
55223,Unknown,,
56127,Unknown,,
60284,Unknown,,
64133,Unknown,,
98111,Unknown,,
98213,Unknown,,
