med_code_id,term,snomed_ct_concept_id,observations
68613,Unknown,,
44119,Unknown,,
6785,Unknown,,
109088,Unknown,,
19299,Unknown,,
32737,Unknown,,
11307,Unknown,,
18007,Unknown,,
53082,Unknown,,
39060,Unknown,,
26266,Unknown,,
9951,Unknown,,
105686,Unknown,,
15745,Unknown,,
108062,Unknown,,
67903,Unknown,,
7876,Unknown,,
44626,Unknown,,
17638,Unknown,,
63197,Unknown,,
52452,Unknown,,
15112,Unknown,,
18275,Unknown,,
33887,Unknown,,
19751,Unknown,,
105528,Unknown,,
42670,Unknown,,
26432,Unknown,,
67230,Unknown,,
52374,Unknown,,
43092,Unknown,,
41853,Unknown,,
64722,Unknown,,
38818,Unknown,,
7970,Unknown,,
49218,Unknown,,
104080,Unknown,,
8730,Unknown,,
68600,Unknown,,
6815,Unknown,,
68559,Unknown,,
6835,Unknown,,
6008,Unknown,,
98223,Unknown,,
8694,Unknown,,
17728,Unknown,,
41909,Unknown,,
24776,Unknown,,
384,Unknown,,
17167,Unknown,,
11709,Unknown,,
64193,Unknown,,
21081,Unknown,,
36402,Unknown,,
4859,Unknown,,
48496,Unknown,,
60003,Unknown,,
97365,Unknown,,
21903,Unknown,,
98876,Unknown,,
48309,Unknown,,
21349,Unknown,,
62109,Unknown,,
