med_code_id,term,snomed_ct_concept_id,observations
16895,Unknown,,
30616,Unknown,,
30352,Unknown,,
17377,Unknown,,
12673,Unknown,,
48772,Unknown,,
37945,Unknown,,
4409,Unknown,,
27404,Unknown,,
28524,Unknown,,
11770,Unknown,,
41138,Unknown,,
3888,Unknown,,
8266,Unknown,,
10990,Unknown,,
5381,Unknown,,
56248,Unknown,,
88269,Unknown,,
90472,Unknown,,
517,Unknown,,
11222,Unknown,,
44721,Unknown,,
11313,Unknown,,
11044,Unknown,,
28739,Unknown,,
40330,Unknown,,
29137,Unknown,,
38353,Unknown,,
19186,Unknown,,
2101,Unknown,,
10382,Unknown,,
5345,Unknown,,
8348,Unknown,,
33704,Unknown,,
35789,Unknown,,
52457,Unknown,,
53866,Unknown,,
6379,Unknown,,
7428,Unknown,,
6825,Unknown,,
10640,Unknown,,
18299,Unknown,,
203,Unknown,,
18389,Unknown,,
343,Unknown,,
52389,Unknown,,
1742,Unknown,,
9165,Unknown,,
42076,Unknown,,
40476,Unknown,,
28708,Unknown,,
2862,Unknown,,
11066,Unknown,,
6915,Unknown,,
44844,Unknown,,
19058,Unknown,,
28293,Unknown,,
10033,Unknown,,
27591,Unknown,,
199,Unknown,,
6213,Unknown,,
15764,Unknown,,
50654,Unknown,,
17952,Unknown,,
137,Unknown,,
24621,Unknown,,
1073,Unknown,,
4359,Unknown,,
36328,Unknown,,
909,Unknown,,
8056,Unknown,,
18614,Unknown,,
34429,Unknown,,
17922,Unknown,,
38408,Unknown,,
17921,Unknown,,
50148,Unknown,,
6455,Unknown,,
52977,Unknown,,
53068,Unknown,,
6942,Unknown,,
5951,Unknown,,
2225,Unknown,,
1994,Unknown,,
38489,Unknown,,
52194,Unknown,,
51861,Unknown,,
36391,Unknown,,
34351,Unknown,,
45779,Unknown,,
5301,Unknown,,
19387,Unknown,,
45141,Unknown,,
29145,Unknown,,
8648,Unknown,,
28965,Unknown,,
8243,Unknown,,
24276,Unknown,,
10570,Unknown,,
24587,Unknown,,
40267,Unknown,,
17019,Unknown,,
19117,Unknown,,
51216,Unknown,,
39984,Unknown,,
44735,Unknown,,
6660,Unknown,,
58817,Unknown,,
65536,Unknown,,
34846,Unknown,,
57514,Unknown,,
34764,Unknown,,
35004,Unknown,,
70018,Unknown,,
37998,Unknown,,
69857,Unknown,,
28464,Unknown,,
33624,Unknown,,
5742,Unknown,,
67028,Unknown,,
54819,Unknown,,
38856,Unknown,,
43403,Unknown,,
97337,Unknown,,
52395,Unknown,,
94714,Unknown,,
46258,Unknown,,
24493,Unknown,,
57889,Unknown,,
