med_code_id,term,snomed_ct_concept_id,observations
466,Unknown,,
31374,Unknown,,
102069,Unknown,,
63490,Unknown,,
686,Unknown,,
1681,Unknown,,
3747,Unknown,,
71827,Unknown,,
2552,Unknown,,
97052,Unknown,,
20715,Unknown,,
45751,Unknown,,
98253,Unknown,,
26539,Unknown,,
13113,Unknown,,
16699,Unknown,,
14983,Unknown,,
1774,Unknown,,
10665,Unknown,,
2625,Unknown,,
2348,Unknown,,
8033,Unknown,,
6641,Unknown,,
14893,Unknown,,
110179,Unknown,,
467,Unknown,,
42893,Unknown,,
44282,Unknown,,
7825,Unknown,,
4035,Unknown,,
13115,Unknown,,
14805,Unknown,,
47440,Unknown,,
7085,Unknown,,
12339,Unknown,,
72765,Unknown,,
30355,Unknown,,
19084,Unknown,,
108703,Unknown,,
66126,Unknown,,
13114,Unknown,,
100736,Unknown,,
3171,Unknown,,
109994,Unknown,,
70852,Unknown,,
105795,Unknown,,
16648,Unknown,,
106927,Unknown,,
10367,Unknown,,
102872,Unknown,,
5149,Unknown,,
107246,Unknown,,
94782,Unknown,,
31748,Unknown,,
15940,Unknown,,
95814,Unknown,,
58602,Unknown,,
626,Unknown,,
59596,Unknown,,
11704,Unknown,,
30394,Unknown,,
97657,Unknown,,
6209,Unknown,,
10112,Unknown,,
10975,Unknown,,
72933,Unknown,,
39022,Unknown,,
110790,Unknown,,
10479,Unknown,,
9882,Unknown,,
35178,Unknown,,
9830,Unknown,,
18008,Unknown,,
5016,Unknown,,
18945,Unknown,,
536,Unknown,,
44304,Unknown,,
68636,Unknown,,
36807,Unknown,,
22831,Unknown,,
31962,Unknown,,
10316,Unknown,,
27313,Unknown,,
11921,Unknown,,
50016,Unknown,,
36766,Unknown,,
46837,Unknown,,
108029,Unknown,,
52802,Unknown,,
3912,Unknown,,
18148,Unknown,,
89253,Unknown,,
43581,Unknown,,
7301,Unknown,,
5967,Unknown,,
93722,Unknown,,
6082,Unknown,,
38717,Unknown,,
12829,Unknown,,
51744,Unknown,,
108207,Unknown,,
29299,Unknown,,
16393,Unknown,,
8941,Unknown,,
15723,Unknown,,
50620,Unknown,,
99753,Unknown,,
32905,Unknown,,
91930,Unknown,,
54116,Unknown,,
69894,Unknown,,
107265,Unknown,,
60293,Unknown,,
30033,Unknown,,
4957,Unknown,,
30734,Unknown,,
103542,Unknown,,
6178,Unknown,,
36762,Unknown,,
96803,Unknown,,
1151,Unknown,,
47475,Unknown,,
47129,Unknown,,
26058,Unknown,,
97761,Unknown,,
93446,Unknown,,
107364,Unknown,,
401,Unknown,,
107350,Unknown,,
107912,Unknown,,
100276,Unknown,,
13659,Unknown,,
52245,Unknown,,
30334,Unknown,,
17981,Unknown,,
36660,Unknown,,
57053,Unknown,,
228,Unknown,,
98553,Unknown,,
20904,Unknown,,
17407,Unknown,,
98241,Unknown,,
97300,Unknown,,
53800,Unknown,,
62906,Unknown,,
93278,Unknown,,
18520,Unknown,,
100654,Unknown,,
11619,Unknown,,
18375,Unknown,,
107607,Unknown,,
19694,Unknown,,
45604,Unknown,,
19068,Unknown,,
108030,Unknown,,
2876,Unknown,,
30206,Unknown,,
10170,Unknown,,
412,Unknown,,
38563,Unknown,,
33583,Unknown,,
52758,Unknown,,
84365,Unknown,,
100127,Unknown,,
103907,Unknown,,
58826,Unknown,,
17699,Unknown,,
7344,Unknown,,
52853,Unknown,,
107610,Unknown,,
42879,Unknown,,
6846,Unknown,,
59392,Unknown,,
101755,Unknown,,
10509,Unknown,,
2061,Unknown,,
96245,Unknown,,
107323,Unknown,,
11184,Unknown,,
8247,Unknown,,
19666,Unknown,,
22102,Unknown,,
12324,Unknown,,
7891,Unknown,,
12692,Unknown,,
19417,Unknown,,
