med_code_id,term,snomed_ct_concept_id,observations
162755006,O/E - height,162755006,
162755006,On examination - height,162755006,
162756007,On examination - height greater than 20% below average,162756007,
162756007,O/E - height greater than 20% below average,162756007,
162756007,O/E-height > 20% below average,162756007,
162757003,O/E - height 10-20% below average,162757003,
162757003,O/E - height 10-20% < average,162757003,
162757003,On examination - height 10-20% below average,162757003,
162758008,On examination - height within 10% average,162758008,
162758008,O/E -height within 10% average,162758008,
162759000,O/E-height 10-20% over average,162759000,
162759000,On examination - height 10-20% over average,162759000,
162760005,On examination - height greater than 20% over average,162760005,
162760005,O/E - height greater than 20% over average,162760005,
162760005,O/E -height > 20% over average,162760005,
248333004,Standing height,248333004,
248333004,O/E - height NOS,248333004,
248333004,Standing height,248333004,
