med_code_id,term,snomed_ct_concept_id,observations
57561015,Hyperthyroidism,34486009,500000
251587014,H/O: hyperthyroidism,161442007,30000
2694980014,Subclinical hyperthyroidism,427970008,20000
905741000006112,[RFC] Hyperthyroidism,905741000006108,900
1842051000006119,Subclinical hyperthyroidism,427970008,10
3918261000006117,Hyperthyroidism due to ectopic thyroid nodule,87232008,2
472452010,Graves' disease,353295004,100000
5108031000006113,Thyrotoxicosis due to Graves' disease,237499004,200
5581801000006112,Graves' ophthalmopathy,276177000,20
5581841000006114,Graves eye disease,276177000,1
5581861000006113,Ophthalmic Graves disease,276177000,1
6196461000006114,Graves disease,353295004,100
33469013,Thyrotoxic exophthalmos,19885005,2000
100438013,Thyrotoxic heart disease,60446003,200
150375010,Thyrotoxicosis,90739004,500000
251588016,H/O: thyrotoxicosis,161442007,10000
292355019,Thyrotoxicosis from ectopic thyroid nodule with no crisis,190255006,10
292356018,Thyrotoxicosis from ectopic thyroid nodule with crisis,190256007,2
292357010,Thyrotoxicosis from ectopic thyroid nodule NOS,87232008,20
292361016,Thyrotoxicosis of other specified origin with no crisis,90739004,200
292362011,Thyrotoxicosis of other specified origin with crisis,90739004,40
292365013,Thyrotoxicosis of other specified origin NOS,90739004,300
292366014,Thyrotoxicosis without mention of goitre or other cause,90739004,40000
292372014,Thyrotoxicosis NOS,90739004,40000
293750016,[X]Other thyrotoxicosis,90739004,900
297591017,Myasthenic syndrome due to thyrotoxicosis,193214009,40
355987012,Chronic thyroiditis with transient thyrotoxicosis,237538007,70
398782015,Thyrotoxicosis of other specified origin,90739004,700
507481016,Thyrotoxicosis from ectopic thyroid nodule,87232008,200
1233040016,Myopathy due to thyrotoxicosis,68437005,100
101891000006113,Thyrotoxicosis without mention of goitre or cause no crisis,90739004,800
101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis",90739004,200
881371000006111,Thyrotoxicosis +/- goitre,286909009,4000
2856241000006111,T>3< thyrotoxicosis,22350004,20
2922501000006118,Thyrotoxicosis due to multinodular goitre,26389007,8
2922511000006115,Thyrotoxicosis with toxic multinodular goitre,26389007,1
3613541000006112,Thyrotoxic myopathy,68437005,5
3700961000006117,Thyrotoxicosis with toxic single thyroid nodule,73869005,7
3918281000006110,Thyrotoxicosis from ectopic thyroid tissue,87232008,1
5108041000006115,Autoimmune thyrotoxicosis,237499004,4
5108071000006111,Borderline thyrotoxicosis,237503005,10
5108191000006113,Thyrotoxicosis on thyroxine therapy,237509009,4
5500041000006112,Thyrotoxicosis with diffuse goitre,267374005,2
5720991000006112,Thyrotoxicosis with or without goitre,286909009,30
5901611000006118,Thyrotoxic tremor,302004004,2
49080014,Ectopic hyperparathyroidism,29326002,20
60663012,Primary hyperparathyroidism,36348003,70000
111289013,Hyperparathyroidism,66999008,80000
129770011,Tertiary hyperparathyroidism,78200003,500
151534010,Secondary hyperparathyroidism,91478007,20000
293766019,[X]Other hyperparathyroidism,66999008,300
312190010,Brown tumour of hyperparathyroidism,203471008,70
3267151000006111,Hyperparathyroidism due to vitamin D deficiency,47445009,1
88639010,Parathyroidectomy,53304009,30000
152756013,Benign neoplasm of parathyroid gland,92272009,2000
266354013,Global parathyroidectomy NEC,12330002,800
266356010,Subtotal parathyroidectomy,41237009,3000
266357018,Parathyroidectomy NEC,53304009,4000
266358011,Other specified excision of parathyroid gland,53304009,200
266359015,Excision of parathyroid gland NOS,53304009,1000
266360013,Operation on parathyroid gland,43882005,300
291447010,[M]Parathyroid adenomas and adenocarcinomas,115215004,2000
291448017,[M]Parathyroid adenoma or adenocarcinoma NOS,115215004,4000
219891000000119,Parathyroid gland operations,43882005,1000
246211000006119,Partial parathyroidectomy + parathyroid tissue transposition,171997006,30
653231000006118,Excision of lesion of parathyroid gland,63742004,600
654031000006113,Excision of parathyroid gland,53304009,3000
803261000006111,Global parathyroidectomy + parathyroid tissue transposition,171995003,90
858471000006119,Parathyroid operations,53304009,50
858481000006116,Total parathyroidectomy,628511000000108,100
858491000006118,Ectopic parathyroid excision,617541000000101,1
858501000006114,Parathyroid operation NOS,617531000000105,40
858521000006116,Parathyroid adenoma excision,63742004,300
2645091000006114,Parathyroid hyperplasia,9092004,5
2696261000006111,Complete parathyroidectomy,12330002,6
2696281000006118,Total parathyroidectomy,12330002,2
3536641000006118,Excision of lesion of parathyroid glands,63742004,8
4000691000006117,Benign tumour of parathyroid gland,92272009,7
4392341000006118,Parathyroid tumour,127020005,1
4409711000006115,Parathyroid adenoma,128474007,60
