med_code_id,term,snomed_ct_concept_id,observations
60473,Unknown,,
56577,Unknown,,
42589,Unknown,,
51268,Unknown,,
1787,Unknown,,
54179,Unknown,,
6123,Unknown,,
28962,Unknown,,
42520,Unknown,,
37867,Unknown,,
50606,Unknown,,
55560,Unknown,,
63273,Unknown,,
55848,Unknown,,
302,Unknown,,
71196,Unknown,,
1362,Unknown,,
34174,Unknown,,
90276,Unknown,,
4825,Unknown,,
57199,Unknown,,
45133,Unknown,,
36143,Unknown,,
60062,Unknown,,
28740,Unknown,,
32820,Unknown,,
39016,Unknown,,
98100,Unknown,,
46504,Unknown,,
42886,Unknown,,
52602,Unknown,,
70008,Unknown,,
54881,Unknown,,
66383,Unknown,,
30362,Unknown,,
50751,Unknown,,
60913,Unknown,,
39412,Unknown,,
50947,Unknown,,
59407,Unknown,,
66783,Unknown,,
56547,Unknown,,
40894,Unknown,,
38954,Unknown,,
97406,Unknown,,
32588,Unknown,,
4246,Unknown,,
32924,Unknown,,
66203,Unknown,,
111041,Unknown,,
1680,Unknown,,
71632,Unknown,,
84154,Unknown,,
51954,Unknown,,
1278,Unknown,,
102234,Unknown,,
106219,Unknown,,
43445,Unknown,,
43447,Unknown,,
100648,Unknown,,
43436,Unknown,,
106276,Unknown,,
18815,Unknown,,
19445,Unknown,,
32952,Unknown,,
32511,Unknown,,
99774,Unknown,,
32667,Unknown,,
96895,Unknown,,
93406,Unknown,,
22760,Unknown,,
41391,Unknown,,
103187,Unknown,,
106248,Unknown,,
4477,Unknown,,
108881,Unknown,,
106249,Unknown,,
98342,Unknown,,
19436,Unknown,,
106274,Unknown,,
100980,Unknown,,
110792,Unknown,,
94684,Unknown,,
98293,Unknown,,
106272,Unknown,,
110002,Unknown,,
100965,Unknown,,
100729,Unknown,,
107968,Unknown,,
100730,Unknown,,
106247,Unknown,,
56376,Unknown,,
4672,Unknown,,
2052,Unknown,,
106116,Unknown,,
44327,Unknown,,
47948,Unknown,,
7226,Unknown,,
16855,Unknown,,
33949,Unknown,,
27691,Unknown,,
37911,Unknown,,
34734,Unknown,,
65468,Unknown,,
36045,Unknown,,
37887,Unknown,,
51622,Unknown,,
110427,Unknown,,
11866,Unknown,,
44476,Unknown,,
36314,Unknown,,
65343,Unknown,,
46516,Unknown,,
67927,Unknown,,
103139,Unknown,,
61650,Unknown,,
70439,Unknown,,
69381,Unknown,,
104999,Unknown,,
62762,Unknown,,
22851,Unknown,,
21169,Unknown,,
34719,Unknown,,
43325,Unknown,,
104100,Unknown,,
48084,Unknown,,
93963,Unknown,,
33939,Unknown,,
5712,Unknown,,
28663,Unknown,,
62222,Unknown,,
56143,Unknown,,
46429,Unknown,,
31599,Unknown,,
68299,Unknown,,
101999,Unknown,,
50457,Unknown,,
1391,Unknown,,
67762,Unknown,,
35585,Unknown,,
31042,Unknown,,
4749,Unknown,,
63274,Unknown,,
41840,Unknown,,
50251,Unknown,,
37402,Unknown,,
33522,Unknown,,
47974,Unknown,,
98753,Unknown,,
31426,Unknown,,
93694,Unknown,,
108375,Unknown,,
37924,Unknown,,
21418,Unknown,,
106590,Unknown,,
57043,Unknown,,
73990,Unknown,,
34792,Unknown,,
106717,Unknown,,
69127,Unknown,,
exclude females if have no code in blue group and are pregnant,Unknown,,
39017,Unknown,,
107162,Unknown,,
33642,Unknown,,
35665,Unknown,,
46133,Unknown,,
72139,Unknown,,
102102,Unknown,,
43565,Unknown,,
19038,Unknown,,
67234,Unknown,,
93133,Unknown,,
103873,Unknown,,
46787,Unknown,,
36871,Unknown,,
31795,Unknown,,
23489,Unknown,,
1543,Unknown,,
32010,Unknown,,
18415,Unknown,,
107919,Unknown,,
42701,Unknown,,
101309,Unknown,,
61627,Unknown,,
61499,Unknown,,
12841,Unknown,,
10759,Unknown,,
27280,Unknown,,
41461,Unknown,,
46766,Unknown,,
16087,Unknown,,
72265,Unknown,,
10955,Unknown,,
12840,Unknown,,
33948,Unknown,,
25306,Unknown,,
98617,Unknown,,
97059,Unknown,,
100507,Unknown,,
105514,Unknown,,
110833,Unknown,,
107029,Unknown,,
106114,Unknown,,
70198,Unknown,,
109223,Unknown,,
100024,Unknown,,
103536,Unknown,,
65509,Unknown,,
19038,Unknown,,
69476,Unknown,,
95440,Unknown,,
97927,Unknown,,
111120,Unknown,,
98941,Unknown,,
104196,Unknown,,
57806,Unknown,,
66566,Unknown,,
67298,Unknown,,
103582,Unknown,,
exclude females,Unknown,,
32603,Unknown,,
10628,Unknown,,
These codes excluded by .. on Ist Oct 2018,Unknown,,
16087,Unknown,,
37591,Unknown,,
101982,Unknown,,
107670,Unknown,,
37702,Unknown,,
101732,Unknown,,
45512,Unknown,,
100174,Unknown,,
71815,Unknown,,
107119,Unknown,,
105180,Unknown,,
lso drop people form the ID population with a code indicative of non-specific learning disability if they also have a code in their record indicating a specific learning difficulty e.g. dyslexia or ADHD ( and no other ID code in their record),Unknown,,
These people probably have a specific learning difficulty rather than an intellectual disability,Unknown,,
