med_code_id,term,snomed_ct_concept_id,observations
83729012,Dyslexia training,50260001,
255260017,O/E - dyslexia,163933004,
376901000006118,[X]Developmental dyslexia,192136006,
3470721000006112,"Dyslexia, learning disturbance",59770006,
4572021000006118,On examination - dyslexia,163933004,
7739291000006112,Assessment using Bangor Dyslexia Test,715890005,
4127871000006115,Dyslexia AND/OR speech dysfunction,106170009,
5547821000006115,Bangor dyslexia test,273300002,
317310010,Dyslexia,59770006,
295629016,Developmental dyslexia,192138007,
4997921000006115,Surface dyslexia,229682005,
1484828010,FH: Dyslexia,390794009,
4127861000006110,"Aphasia, agnosia, dyslexia AND/OR apraxia",106169008,
7768571000006112,Bangor Dyslexia Test score,718166007,
6514701000006115,Family history: Dyslexia,390794009,
4997901000006113,Deep dyslexia,229680002,
4997911000006111,Phonological dyslexia,229681003,
295631013,Specific reading disorder NOS,192136006,
742691000006117,Lip reading training,183281008,
3470711000006116,Specific reading retardation,59770006,
12117481000006118,Assessment using RDLS (Reynell Developmental Language Scales) III: University of Reading Edition,1099251000000103,
7805121000006114,RCBA-2 - Reading Comprehension Battery for Aphasia Second Edition,720547004,
8363341000006114,GSRT (Gray Silent Reading Tests) score,981891000000101,
5555201000006115,RCBA - Reading comprehension for aphasia,273736002,
5549461000006119,Daniels and Diack reading tests,273391006,
8363211000006118,Assessment using Reading Comprehension Battery for Aphasia,981591000000103,
12117491000006115,RDLS (Reynell Developmental Language Scales) III: University of Reading Edition Comprehension Scale score,1099261000000100,
8365781000006115,Salford Sentence Reading Test score,985821000000102,
7746221000006118,Holborn Reading Scale,716368005,
5557511000006111,Vernon graded word reading test,273892008,
7431721000006110,Assistive talking reading material,465780002,
7828811000006113,Schonell graded reading test,722225007,
7782451000006116,Assessment using Schonell Reading Test,719153003,
8363221000006114,RCBA (Reading Comprehension Battery for Aphasia) score,981601000000109,
5955391000006112,Referral to lip/speech-reading teacher,306369004,
8363201000006116,Assessment using RCBA (Reading Comprehension Battery for Aphasia),981591000000103,
2879271000006110,Reading problem,23766009,
7782461000006119,Holborn Reading Scale score,719154009,
5951371000006114,Referral from lip/speech-reading teacher,306094005,
6584421000006117,Reading add,397282003,
8363051000006114,Assessment using Neale Analysis of Reading Ability - Revised Edition,981361000000102,
7781921000006111,Assessment using Reading Comprehension Battery for Aphasia Second Edition,719119002,
7771671000006110,Schonell Reading Test score,718389008,
7805131000006112,Reading Comprehension Battery for Aphasia Second Edition,720547004,
7782431000006111,Assessment using Gray Silent Reading Test,719151001,
5553411000006117,National adult reading test,273640001,
7755861000006115,GSRT - Gray Silent Reading Test,717040009,
5548521000006119,BAS - British ability scales reading test,273337008,
7424361000006118,"Assistive reading device, video",464923002,
7539981000006119,Braille reading material,700901008,
8363231000006112,Reading Comprehension Battery for Aphasia score,981601000000109,
6010261000006118,Speeded reading of word lists,311855004,
7771661000006115,Assessment using Standard Reading Tests,718388000,
4421521000006111,Reading printed material,129017009,
8084851000006117,"Reynell developmental language scales III, University of Reading edition",279041000000108,
8363041000006112,Assessment using NARA (Neale Analysis of Reading Ability) - Revised Edition,981361000000102,
5553431000006111,Neale analysis of reading ability,273641002,
3356491000006114,Developmental reading disorder,52824009,
5953171000006113,Referral to speech-reading training service,306221004,
8363071000006116,NARA (Neale Analysis of Reading Ability) - Revised Edition score,981381000000106,
7782441000006118,Assessment using Holborn Reading Scale,719152008,
5318231000006114,Speech-reading test,252593004,
5552531000006115,MacMillan reading test,273583003,
8261321000006114,Oral reading observation,811891000000106,
5553421000006113,NART - National adult reading test,273640001,
7781911000006115,Assessment using RCBA-2 (Reading Comprehension Battery for Aphasia Second Edition),719119002,
8424351000006113,Phonology with Reading programme,1046861000000104,
5597961000006114,FADAST - Four alternative disability and speech-reading test,277351007,
5547591000006116,Assessing reading difficulties,273285006,
7805181000006113,RCBA-2 (Reading Comprehension Battery for Aphasia Second Edition) score,720552009,
7782421000006113,Assessment using GSRT (Gray Silent Reading Test),719151001,
8363351000006111,Gray Silent Reading Tests score,981891000000101,
8363011000006113,NARA (Neale Analysis of Reading Ability) - Revised Edition,981341000000103,
5318241000006116,Lip-reading test,252593004,
