med_code_id,term,snomed_ct_concept_id,observations
6663,Unknown,,
11934,Unknown,,
42715,Unknown,,
9355,Unknown,,
28476,Unknown,,
9359,Unknown,,
11337,Unknown,,
39037,Unknown,,
66238,Unknown,,
59994,Unknown,,
20688,Unknown,,
29616,Unknown,,
69959,Unknown,,
12575,Unknown,,
6538,Unknown,,
39278,Unknown,,
593,Unknown,,
36913,Unknown,,
11286,Unknown,,
11119,Unknown,,
20480,Unknown,,
5749,Unknown,,
33456,Unknown,,
104259,Unknown,,
22516,Unknown,,
15207,Unknown,,
30678,Unknown,,
96919,Unknown,,
39119,Unknown,,
42822,Unknown,,
6650,Unknown,,
704,Unknown,,
53743,Unknown,,
43090,Unknown,,
48732,Unknown,,
30433,Unknown,,
15773,Unknown,,
1561,Unknown,,
5133,Unknown,,
42531,Unknown,,
1784,Unknown,,
23950,Unknown,,
71083,Unknown,,
35424,Unknown,,
17641,Unknown,,
63195,Unknown,,
44310,Unknown,,
62397,Unknown,,
102315,Unknown,,
1515,Unknown,,
102617,Unknown,,
68680,Unknown,,
23498,Unknown,,
21565,Unknown,,
10203,Unknown,,
