med_code_id,term,snomed_ct_concept_id,observations
4031011,Old myocardial infarction,1755008,60000
4032016,Healed myocardial infarction,1755008,700
94884017,Acute myocardial infarction,57054005,1000000
109915012,Post-myocardial infarction syndrome,66189004,300
208365015,Postoperative myocardial infarction,129574000,700
256452010,ECG: myocardial infarction,164865005,5000
256454011,ECG: old myocardial infarction,164867002,4000
256460011,ECG: myocardial infarct NOS,164865005,700
299707016,Acute anterior myocardial infarction,54329005,6000
299709018,Anterior myocardial infarction NOS,54329005,20000
299710011,Acute posterior myocardial infarction,233838001,4000
299711010,Acute lateral myocardial infarction,58612006,3000
299712015,True posterior myocardial infarction,194802003,500
299714019,Acute myocardial infarction of inferior wall,73795002,90000
299718016,Other acute myocardial infarction,57054005,2000
299720018,Other acute myocardial infarction NOS,57054005,500
299721019,Acute myocardial infarction NOS,57054005,60000
299742017,Coronary thrombosis not resulting in myocardial infarction,194821006,200
299808017,Subsequent myocardial infarction,194856005,700
299811016,Subsequent myocardial infarction of anterior wall,194857001,90
299812011,Subsequent myocardial infarction of inferior wall,194858006,100
299813018,Subsequent myocardial infarction of other sites,194856005,20
300881018,[X]Subsequent myocardial infarction of other sites,194856005,4
300882013,[X]Subsequent myocardial infarction of unspecified site,194856005,10
350376014,Silent myocardial infarction,233843008,3000
451369010,H/O: Myocardial infarction in last year,308065005,2000
455422014,Postoperative subendocardial myocardial infarction,311796008,100
455423016,"Postoperative myocardial infarction, unspecified",129574000,80
1780491019,Acute ST segment elevation myocardial infarction,401303003,200000
1780501013,Acute non-ST segment elevation myocardial infarction,401314000,400000
67081000006119,Ventricular septal defect as current complication following acute myocardial infarction,233846000,60
100681000006116,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",194868001,80
118831000006118,Subsequent myocardial infarction of unspecified site,194856005,40
158601000006116,Rupture of cardiac wall without haemopericardium as current complication following acute myocardial infarction,194865003,10
158611000006118,Rupture of chordae tendinae as current complication following acute myocardial infarction,194866002,2
159001000006119,Rupture of papillary muscle as current complication following acute myocardial infarction,194867006,6
212061000006119,Postoperative transmural myocardial infarction of anterior wall,311792005,20
212071000006114,Postoperative transmural myocardial infarction of inferior wall,311793000,20
212081000006112,Postoperative transmural myocardial infarction other sites,129574000,2
212091000006110,Postoperative transmural myocardial infarction unspec site,129574000,6
219531000000117,MI - acute myocardial infarction,57054005,300000
230021000006115,Personal history of myocardial infarction,399211009,6000
362461000006119,[X]Acute transmural myocardial infarction of unspecif site,57054005,80
455641000006112,Acute anterolateral myocardial infarction,70211005,20000
455651000006114,Acute anteroseptal myocardial infarction,62695002,4000
457531000006110,Acute inferolateral myocardial infarction,65547006,10000
460681000006116,Acute transmural myocardial infarction of unspecif site,57054005,400
498031000006112,Atrial septal defect as current complication following acute myocardial infarction,194863005,80
537751000006115,Cardiac rupture after acute myocardial infarction,233847009,200
543291000006110,Myocardial infarction with complication,371068009,40
616081000006113,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction,315287002,30
810811000006116,H/O: myocardial infarct at less than 60,161502000,10000
810821000006112,H/O: myocardial infarct at greater than 60,161503005,10000
813961000006116,Haemopericardium as current complication following acute myocardial infarction,194862000,90
884151000006119,Myocardial Infarction,57054005,7000
905351000006113,[RFC] Myocardial infarction (MI),905351000006109,600
967931000006114,Acute myocardial infarction of posterolateral wall,15990001,200
1576271000006117,Cause of Death- Myocardial Infarction,1576271000006101,900
1576301000006115,Cause of Death- Acute Myocardial Infarction,1576301000006104,700
1576331000006111,Cause of Death- Myocardial Degeneration,1576331000006107,40
1738171000006114,History of myocardial infarction,399211009,2000
2729671000000118,Acute transmural myocardial infarction,1089471000000109,30
2855301000006112,Myocardial infarction,22298006,3000
2855341000006114,MI - Myocardial infarction,22298006,8
2855351000006111,Myocardial infarct,22298006,10
3024781000006112,"Past myocardial infarction diagnosed on ECG AND/OR other special investigation, but currently presenting no symptoms",32574007,2
3381601000006117,Acute myocardial infarction of anterior wall,54329005,90
3427201000006111,AMI - Acute myocardial infarction,57054005,1
3452181000006112,Acute myocardial infarction of lateral wall,58612006,5
3459561000006119,Acute myocardial infarction of apical-lateral wall,59063002,1
3565871000006113,Acute myocardial infarction of inferolateral wall,65547006,9
3576371000006117,Postmyocardial infarction syndrome,66189004,2
3641641000006116,Acute myocardial infarction of anterolateral wall,70211005,10
3699921000006110,Acute inferior myocardial infarction,73795002,9
3745741000006117,Acute myocardial infarction of inferoposterior wall,76593002,7
5056411000006110,Old anterior myocardial infarction,233839009,9
5056421000006119,Old inferior myocardial infarction,233840006,20
5056441000006114,Old posterior myocardial infarction,233842003,2
5056461000006113,MI - Silent myocardial infarction,233843008,2
5935321000006111,Acute Q wave myocardial infarction,304914007,10
6043771000006118,Non-Q wave myocardial infarction,314207007,5
6546751000006118,First myocardial infarction,394710008,20
6651221000006117,STEMI - ST elevation myocardial infarction,401303003,200
7084801000006112,Mixed myocardial ischaemia and infarction,428196007,3
7093091000006111,Recent myocardial infarction,428752002,1
7510331000006117,History of non-ST segment elevation myocardial infarction,698593009,2
7571581000006113,Acute anterior ST segment elevation myocardial infarction,703164000,100
7571601000006115,Acute STEMI (ST elevation myocardial infarction) of anterior wall,703164000,60
7572221000006117,Subsequent ST segment elevation myocardial infarction of inferior wall,703209002,1
7572301000006119,Acute myocardial infarction during procedure,703212004,3
7572321000006112,Acute ST segment elevation myocardial infarction of inferior wall,703213009,60
7572331000006110,Acute STEMI (ST elevation myocardial infarction) of inferior wall,703213009,70
7572341000006117,Acute inferior ST segment elevation myocardial infarction,703213009,6
7574041000006111,Mitral valve regurgitation due to acute myocardial infarction,703326006,1
7574481000006111,Subsequent non-ST segment elevation myocardial infarction,703360004,1
7574491000006114,Subsequent NSTEMI (non-ST segment elevation myocardial infarction),703360004,5
7662871000006115,Inducible ischaemia manifest on stress test post myocardial infarction,710031008,1
8087551000006113,History of acute ST segment elevation myocardial infarction,285721000119104,1
8087751000006116,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery,285981000119103,3
8308931000006114,Thrombolysis In Myocardial Infarction risk score for unstable angina or non-ST-segment-elevation myocardial infarction,883961000000109,30
9843961000006118,Acute ST segment elevation myocardial infarction of anterolateral wall,15712881000119105,1
9843981000006111,Acute ST segment elevation myocardial infarction of lateral wall,15712921000119103,2
9844011000006119,Acute ST segment elevation myocardial infarction of posterior wall,15713041000119103,2
9844051000006118,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion,15713121000119105,1
9868571000006116,Mural thrombus of left ventricle following acute myocardial infarction,15960981000119105,30
12122331000006116,Acute ST segment elevation myocardial infarction of inferolateral wall,12238111000119106,8
12122341000006114,Acute ST segment elevation myocardial infarction of inferoposterior wall,12238151000119107,9
13930031000006112,Delayed postmyocardial infarction pericarditis,827164008,8
13935161000006114,Acute myocardial infarction of right ventricle,836293000,1
13935211000006117,Acute myocardial infarction of inferolateral wall with posterior extension,836295007,1
13941091000006115,Acute ST segment elevation myocardial infarction due to proximal left anterior descending coronary artery occlusion,840309000,2
13941141000006111,Acute ST segment elevation myocardial infarction due to mid left anterior descending coronary artery occlusion,840312002,6
13941161000006110,Acute STEMI (ST elevation myocardial infarction) due to mid LAD (left anterior descending) coronary artery occlusion,840312002,1
13941211000006118,Acute ST segment elevation myocardial infarction due to distal left anterior descending coronary artery occlusion,840316004,1
13941231000006112,Acute STEMI (ST elevation myocardial infarction) due to distal LAD (left anterior descending) coronary artery occlusion,840316004,1
13945211000006116,Acute ST segment elevation myocardial infarction due to occlusion of anterior descending branch of left coronary artery,840609007,1
13947721000006111,Acute ST segment elevation myocardial infarction due to occlusion of intermediate artery,846683001,1
13961451000006111,Acute STEMI (ST elevation myocardial infarction) due to PDA (posterior descending artery) branch of RCA (right coronary artery) occlusion,868225002,1
14015031000006119,Myocardial infarction due to demand ischaemia,16837681000119104,1
14132941000006118,Myocardial infarction with non-obstructive coronary artery,879955009,20
37443015,Heart attack,22298006,10000
7845011,Unstable angina,4557003,90000
7847015,Crescendo angina,4557003,8000
59952018,Nocturnal angina,35928006,400
98087016,Angina decubitus,59021001,2000
144819018,Variant angina pectoris,87343002,400
251679016,H/O: angina pectoris,161504004,80000
264492012,Angina control,170593007,70000
264493019,Angina control - good,170594001,300000
264494013,Angina control - poor,170595000,20000
264495014,Angina control - improving,170596004,10000
264496010,Angina control - worsening,170597008,20000
264497018,Angina control NOS,170593007,5000
299757012,Angina pectoris,194828000,3000000
299763015,Angina decubitus NOS,59021001,200
299765010,Angina pectoris NOS,194828000,50000
300874013,[X]Other forms of angina pectoris,194828000,300
350348018,Stable angina,233819005,60000
350350014,New onset angina,233821000,3000
442204010,Angina on effort,300995000,10000
451370011,H/O: Angina in last year,308066006,5000
451425016,Antianginal therapy,308117007,3000
458410010,Post infarct angina,314116003,1000
459487012,Refractory angina,315025001,1000
494261017,Worsening angina,4557003,6000
498328016,Angina at rest,59021001,4000
1235225010,Prinzmetal's angina,87343002,5000
72571000006115,Unstable angina,4557003,60000
482811000006113,Angina at rest,59021001,1000
482941000006119,Angina pectoris NOS,194828000,50000
482961000006115,Anginal Control: No attacks,482961000006104,80000
854491000006113,Unstable angina,854491000006109,200
855991000006115,Angina control - stable,855991000006104,30000
856011000006116,Angina control - unsatisfactory,856011000006100,1000
905381000006117,[RFC] Angina,905381000006101,3000
960181000006111,Anginal pain,960181000006107,1000
1576311000006117,Cause of Death- Angina Pectoris,1576311000006101,4
3166141000006114,"Angina, class II",41334000,10
3458791000006114,Anginal chest pain at rest,59021001,1
3499001000006116,"Angina, class I",61490001,7
3886751000006118,"Angina, class III",85284003,6
3919991000006112,Prinzmetal angina,87343002,20
3920001000006119,Variant angina pectoris,87343002,1
3920011000006116,Variant angina,87343002,30
