med_code_id,term,snomed_ct_concept_id,observations
241,Acute myocardial infarction,,
13566,Attack - heart,,
30421,Cardiac rupture following myocardial infarction (MI),,
1204,Heart attack,,
1677,MI - acute myocardial infarction,,
17689,Silent myocardial infarction,,
12139,Acute anterolateral infarction,,
5387,Other specified anterior myocardial infarction,,
40429,Acute anteroapical infarction,,
17872,Acute anteroseptal infarction,,
14897,Anterior myocardial infarction NOS,,
8935,Acute inferolateral infarction,,
29643,Acute inferoposterior infarction,,
23892,Posterior myocardial infarction NOS,,
14898,Lateral myocardial infarction NOS,,
63467,True posterior myocardial infarction,,
3704,Acute subendocardial infarction,,
9507,Acute non-Q wave infarction,,
10562,Acute non-ST segment elevation myocardial infarction,,
1678,Inferior myocardial infarction NOS,,
30330,Acute Q-wave infarct,,
17133,Mural thrombosis,,
32854,Acute posterolateral myocardial infarction,,
29758,Acute transmural myocardial infarction of unspecif site,,
12229,Acute ST segment elevation myocardial infarction,,
34803,Other acute myocardial infarction,,
28736,Acute atrial infarction,,
62626,Acute papillary muscle infarction,,
41221,Acute septal infarction,,
46017,Other acute myocardial infarction NOS,,
14658,Acute myocardial infarction NOS,,
27951,Other acute and subacute ischaemic heart disease,,
23579,Postmyocardial infarction syndrome,,
15661,Dressler's syndrome,,
36523,Preinfarction syndrome,,
4656,Crescendo angina,,
39655,Impending infarction,,
18842,Subsequent myocardial infarction,,
45809,Subsequent myocardial infarction of anterior wall,,
38609,Subsequent myocardial infarction of inferior wall,,
72562,Subsequent myocardial infarction of other sites,,
46166,Subsequent myocardial infarction of unspecified site,,
36423,Certain current complication follow acute myocardial infarct,,
24126,Haemopericardium/current comp folow acut myocard infarct,,
23708,Atrial septal defect/curr comp folow acut myocardal infarct,,
37657,Ventric septal defect/curr comp fol acut myocardal infarctn,,
59189,Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI,,
59940,Ruptur chordae tendinae/curr comp fol acute myocard infarct,,
69474,Rupture papillary muscle/curr comp fol acute myocard infarct,,
29553,"Thrombosis atrium,auric append&vent/curr comp foll acute MI",,
32272,Postoperative myocardial infarction,,
46112,Postoperative transmural myocardial infarction anterior wall,,
46276,Postoperative transmural myocardial infarction inferior wall,,
106812,Postoperative transmural myocardial infarction unspec site,,
41835,Postoperative subendocardial myocardial infarction,,
68748,"Postoperative myocardial infarction, unspecified",,
109035,[X]Subsequent myocardial infarction of other sites,,
99991,[X]Subsequent myocardial infarction of unspecified site,,
