med_code_id,term,snomed_ct_concept_id,observations
27557,Unknown,,
49067,Unknown,,
50644,Unknown,,
56202,Unknown,,
36276,Unknown,,
9707,Unknown,,
48832,Unknown,,
844,Unknown,,
49227,Unknown,,
21358,Unknown,,
30548,Unknown,,
100914,Unknown,,
100776,Unknown,,
107963,Unknown,,
70221,Unknown,,
8350,Unknown,,
59738,Unknown,,
41941,Unknown,,
49787,Unknown,,
44743,Unknown,,
9954,Unknown,,
93715,Unknown,,
37431,Unknown,,
43816,Unknown,,
51239,Unknown,,
71784,Unknown,,
31724,Unknown,,
51238,Unknown,,
107791,Unknown,,
27603,Unknown,,
31054,Unknown,,
62401,Unknown,,
4186,Unknown,,
63198,Unknown,,
99414,Unknown,,
73619,Unknown,,
6639,Unknown,,
28853,Unknown,,
44203,Unknown,,
6916,Unknown,,
21533,Unknown,,
42299,Unknown,,
107112,Unknown,,
50863,Unknown,,
46436,Unknown,,
31209,Unknown,,
18155,Unknown,,
70658,Unknown,,
31360,Unknown,,
63365,Unknown,,
47672,Unknown,,
44095,Unknown,,
65391,Unknown,,
46148,Unknown,,
58706,Unknown,,
40797,Unknown,,
29519,Unknown,,
31564,Unknown,,
2667,Unknown,,
20007,Unknown,,
100692,Unknown,,
4125,Unknown,,
33449,Unknown,,
7522,Unknown,,
42719,Unknown,,
11920,Unknown,,
101433,Unknown,,
7871,Unknown,,
22205,Unknown,,
25390,Unknown,,
108072,Unknown,,
