med_code_id,term,snomed_ct_concept_id,observations
3423,Unknown,,
5242,Unknown,,
7372,Unknown,,
9604,Unknown,,
10057,Unknown,,
10464,Unknown,,
10717,Unknown,,
12333,Unknown,,
12694,Unknown,,
17046,Unknown,,
18671,Unknown,,
18805,Unknown,,
18983,Unknown,,
21027,Unknown,,
22107,Unknown,,
24461,Unknown,,
25854,Unknown,,
25859,Unknown,,
26465,Unknown,,
28680,Unknown,,
28694,Unknown,,
30074,Unknown,,
30360,Unknown,,
30370,Unknown,,
32267,Unknown,,
34156,Unknown,,
35123,Unknown,,
35247,Unknown,,
35868,Unknown,,
36863,Unknown,,
38008,Unknown,,
38760,Unknown,,
39077,Unknown,,
41400,Unknown,,
42097,Unknown,,
42103,Unknown,,
42471,Unknown,,
45166,Unknown,,
45709,Unknown,,
45796,Unknown,,
46154,Unknown,,
46747,Unknown,,
47623,Unknown,,
48345,Unknown,,
50601,Unknown,,
51224,Unknown,,
52778,Unknown,,
52881,Unknown,,
53444,Unknown,,
54091,Unknown,,
54929,Unknown,,
56075,Unknown,,
56378,Unknown,,
56380,Unknown,,
56681,Unknown,,
57479,Unknown,,
58039,Unknown,,
60404,Unknown,,
60684,Unknown,,
61177,Unknown,,
62382,Unknown,,
63074,Unknown,,
63099,Unknown,,
63100,Unknown,,
64200,Unknown,,
64227,Unknown,,
64331,Unknown,,
64410,Unknown,,
67400,Unknown,,
67409,Unknown,,
67586,Unknown,,
68091,Unknown,,
69145,Unknown,,
69263,Unknown,,
69342,Unknown,,
71661,Unknown,,
72559,Unknown,,
72734,Unknown,,
72747,Unknown,,
73585,Unknown,,
73603,Unknown,,
73666,Unknown,,
73825,Unknown,,
87882,Unknown,,
89578,Unknown,,
90440,Unknown,,
90704,Unknown,,
90857,Unknown,,
93837,Unknown,,
94377,Unknown,,
94637,Unknown,,
95790,Unknown,,
95794,Unknown,,
96224,Unknown,,
97334,Unknown,,
97794,Unknown,,
99792,Unknown,,
100635,Unknown,,
101971,Unknown,,
102790,Unknown,,
104233,Unknown,,
105584,Unknown,,
106714,Unknown,,
107121,Unknown,,
108499,Unknown,,
109625,Unknown,,
110578,Unknown,,
110884,Unknown,,
110900,Unknown,,
111004,Unknown,,
111117,Unknown,,
111291,Unknown,,
111381,Unknown,,
