med_code_id,term,snomed_ct_concept_id,observations
4120301000006118,Non-smoker for medical reasons,105541001,
1009271000006118,Non Smoker - Nos,1009271000006102,
397732011,Never smoked tobacco,266919005,
3926051000006118,Tolerant non-smoker,87739003,
4120291000006119,Non-smoker for religious reasons,105540000,
250374013,Current non-smoker,160618006,
854951000006113,Grade A non-smoker,854951000006109,
6217561000006111,Intolerant non-smoker,360929005,
14866014,Non-smoker,8392000,
5495921000006119,Never smoked,266919005,
6217461000006110,Aggressive non-smoker,360918006,
4120281000006117,Non-smoker for personal reasons,105539002,
250363016,Ex-trivial cigarette smoker (<1/day),266921000,
250364010,Ex-light cigarette smoker (1-9/day),266922007,
2735381000000111,Ex-light smoker (1-9/day),1092111000000104,
2735421000000119,Ex-trivial smoker (<1/day),1092131000000107,
2735331000000112,Ex-moderate smoker (10-19/day),1092091000000109,
250365011,Ex-moderate cigarette smoker (10-19/day),266923002,
250367015,Ex-very heavy cigarette smoker (40+/day),266925009,
250366012,Ex-heavy cigarette smoker (20-39/day),266924008,
2735281000000119,Ex-heavy smoker (20-39/day),1092071000000105,
2735201000000112,Ex-very heavy smoker (40+/day),1092041000000104,
3513199018,Ex-smoker for less than 1 year,735128000,
649841000006110,Ex-smoker,8517006,
418914010,Ex-cigarette smoker,281018007,
2636041000006110,Cessation of smoking,8517006,
903041000006110,EX-Smoker NOS,266928006,
250373019,Stopped smoking,160617001,
2735181000000113,Ex-smoker amount unknown,1092031000000108,
853001000006110,Ex-smoker NOS,853001000006106,
6217151000006116,Intolerant ex-smoker,360890004,
1151791000000117,Recently stopped smoking,517211000000106,
5496031000006112,Ex-cigarette smoker amount unknown,266928006,
649861000006114,Ex-Cigarette Smoker,649861000006105,
854111000006110,Past smoker,854111000006106,
8017571000006117,Ex-smoker for more than 1 year,48031000119106,
250371017,Ex-smoker - amount unknown,8517006,
298701000000114,History of tobacco use,8517006,
649821000006115,Ex-cigar smoker,160621008,
852991000006114,Ex-cigar smoker,852991000006105,
649831000006117,Ex-pipe smoker,160620009,
854051000006112,Ex-pipe smoker,854051000006108,
649851000006112,Ex- Rolled Tobacco Smoker,649851000006108,
1059701000000119,Ex roll-up cigarette smoker,492191000000103,
250385010,Date ceased smoking,160625004,
3374141000006117,Tolerant ex-smoker,53896009,
4980561000006117,Time since stopped smoking,228486009,
6217281000006116,Aggressive ex-smoker,360900008,
5003141000006118,Trivial cigarette smoker,230059006,
5003151000006116,Light cigarette smoker,230060001,
743331000006116,Light cigarette smoker (1-9 cigs/day),160603005,
8153381000006119,Occasional smoker,428041000124106,
854961000006110,Grade B light smoker (1-10/day),854961000006106,
5495941000006114,Occasional smoker,266920004,
8153371000006117,Occasional tobacco smoker,428041000124106,
5495951000006111,Occasional cigarette smoker (less than one cigarette/day),266920004,
397733018,Occasional smoker,428041000124106,
88471000006112,Trivial cigarette smoker (less than one cigarette/day),266920004,
11904991000006116,Occasional cigarette smoker,230059006,
854981000006117,Grade C moderate smoker (11-20/day),854981000006101,
5003161000006119,Moderate cigarette smoker,230062009,
700121000006118,Moderate cigarette smoker (10-19 cigs/day),160604004,
3419101000006116,Moderate smoker (20 or less per day),56578002,
5003181000006112,Very heavy cigarette smoker,230064005,
5003171000006114,Heavy cigarette smoker,230063004,
67621000006112,Very heavy cigarette smoker (40+ cigs/day),160606002,
3422221000006116,Heavy smoker (over 20 per day),56771006,
855001000006114,Grade D heavy smoker (>20 Day),855001000006105,
5003191000006110,Chain smoker,230065006,
819331000006110,Heavy cigarette smoker (20-39 cigs/day),160605003,
854071000006119,Current smoker,854071000006103,
216212011,Smoking reduced,134406006,
250368013,Keeps trying to stop smoking,160612007,
503483019,Current smoker,77176002,
137791000006118,Smoking restarted,308438006,
2474719011,Minutes from waking to first tobacco consumption,413173009,
108938018,Cigarette smoker,65568007,
1592611000000110,Failed attempt to stop smoking,446172000,
8063181000006116,Wants to stop smoking,203191000000107,
854021000006115,Cigarette smoker,854021000006104,
2669652019,Smoking started,266929003,
1780360012,Reason for restarting smoking,401159003,
903981000006117,Not interested in stopping smoking,903981000006101,
128130017,Smoker,77176002,
604961000006114,Current Smoker NOS,604961000006105,
7375991000006118,Smokes tobacco daily,449868002,
1488576014,Thinking about stopping smoking,394871007,
2670126018,Smoking restarted,308438006,
250372012,Trying to give up smoking,160616005,
1488577017,Ready to stop smoking,394872000,
1488578010,Not interested in stopping smoking,394873005,
99639019,Cigar smoker,59978006,
136515019,Pipe smoker,82302008,
250375014,Rolls own cigarettes,160619003,
852981000006111,Rolls own cigarettes,852981000006107,
344793011,Cigarette consumption,230056004,
102921000006112,Tobacco smoking consumption,266918002,
137721000006115,Smoker - amount smoked,266918002,
5495901000006112,Amount and type of tobacco smoked,266918002,
