med_code_id,term,snomed_ct_concept_id,observations
5051,Unknown,,
6960,Unknown,,
18604,Unknown,,
31595,Unknown,,
40338,Unknown,,
46316,Unknown,,
13564,Unknown,,
7912,Unknown,,
62342,Unknown,,
30045,Unknown,,
57315,Unknown,,
107440,Unknown,,
31060,Unknown,,
28314,Unknown,,
19201,Unknown,,
3535,Unknown,,
51326,Unknown,,
23671,Unknown,,
24446,Unknown,,
26424,Unknown,,
16517,Unknown,,
34758,Unknown,,
10504,Unknown,,
8837,Unknown,,
9985,Unknown,,
3149,Unknown,,
15019,Unknown,,
47642,Unknown,,
27975,Unknown,,
5363,Unknown,,
6155,Unknown,,
569,Unknown,,
15252,Unknown,,
5602,Unknown,,
25615,Unknown,,
5185,Unknown,,
36717,Unknown,,
8443,Unknown,,
19280,Unknown,,
51767,Unknown,,
18689,Unknown,,
1469,Unknown,,
12833,Unknown,,
19260,Unknown,,
17322,Unknown,,
7780,Unknown,,
33499,Unknown,,
6116,Unknown,,
6253,Unknown,,
1298,Unknown,,
39344,Unknown,,
40758,Unknown,,
33543,Unknown,,
53810,Unknown,,
91627,Unknown,,
53745,Unknown,,
90572,Unknown,,
92036,Unknown,,
96630,Unknown,,
94482,Unknown,,
504,Unknown,,
1433,Unknown,,
23942,Unknown,,
105738,Unknown,,
19354,Unknown,,
1895,Unknown,,
55247,Unknown,,
16507,Unknown,,
15788,Unknown,,
