med_code_id,term,snomed_ct_concept_id,observations
160,Unknown,,
510,Unknown,,
555,Unknown,,
567,Unknown,,
570,Unknown,,
746,Unknown,,
1444,Unknown,,
1714,Unknown,,
1806,Unknown,,
1990,Unknown,,
3268,Unknown,,
3553,Unknown,,
3839,Unknown,,
3851,Unknown,,
3852,Unknown,,
4086,Unknown,,
4147,Unknown,,
4628,Unknown,,
5046,Unknown,,
5991,Unknown,,
6020,Unknown,,
6726,Unknown,,
7203,Unknown,,
8186,Unknown,,
8308,Unknown,,
8367,Unknown,,
9835,Unknown,,
10388,Unknown,,
10833,Unknown,,
10868,Unknown,,
10911,Unknown,,
12194,Unknown,,
12407,Unknown,,
12493,Unknown,,
13102,Unknown,,
13107,Unknown,,
13108,Unknown,,
13152,Unknown,,
15209,Unknown,,
15269,Unknown,,
15604,Unknown,,
15605,Unknown,,
16258,Unknown,,
16535,Unknown,,
16720,Unknown,,
17312,Unknown,,
18070,Unknown,,
18109,Unknown,,
18462,Unknown,,
19646,Unknown,,
20256,Unknown,,
20446,Unknown,,
20585,Unknown,,
20607,Unknown,,
20736,Unknown,,
20757,Unknown,,
21491,Unknown,,
23020,Unknown,,
23021,Unknown,,
23022,Unknown,,
23023,Unknown,,
23025,Unknown,,
23026,Unknown,,
23027,Unknown,,
23028,Unknown,,
23742,Unknown,,
24923,Unknown,,
25056,Unknown,,
25168,Unknown,,
25547,Unknown,,
25831,Unknown,,
25888,Unknown,,
26722,Unknown,,
26723,Unknown,,
26726,Unknown,,
26850,Unknown,,
27983,Unknown,,
28414,Unknown,,
28993,Unknown,,
29063,Unknown,,
29387,Unknown,,
30025,Unknown,,
31884,Unknown,,
32044,Unknown,,
32467,Unknown,,
32583,Unknown,,
32905,Unknown,,
33013,Unknown,,
33014,Unknown,,
33015,Unknown,,
33016,Unknown,,
33017,Unknown,,
33261,Unknown,,
33447,Unknown,,
34435,Unknown,,
34957,Unknown,,
35515,Unknown,,
35731,Unknown,,
37086,Unknown,,
37146,Unknown,,
37705,Unknown,,
37893,Unknown,,
38000,Unknown,,
38166,Unknown,,
38167,Unknown,,
38168,Unknown,,
38169,Unknown,,
38550,Unknown,,
38717,Unknown,,
39170,Unknown,,
39309,Unknown,,
39587,Unknown,,
39673,Unknown,,
39674,Unknown,,
39820,Unknown,,
39924,Unknown,,
40158,Unknown,,
40451,Unknown,,
40877,Unknown,,
40878,Unknown,,
40879,Unknown,,
40955,Unknown,,
41055,Unknown,,
41057,Unknown,,
41059,Unknown,,
41060,Unknown,,
41062,Unknown,,
41063,Unknown,,
42262,Unknown,,
42691,Unknown,,
43143,Unknown,,
43783,Unknown,,
45030,Unknown,,
45786,Unknown,,
46492,Unknown,,
47158,Unknown,,
47910,Unknown,,
47911,Unknown,,
47912,Unknown,,
47913,Unknown,,
47956,Unknown,,
48983,Unknown,,
49283,Unknown,,
49306,Unknown,,
49336,Unknown,,
49466,Unknown,,
49723,Unknown,,
50679,Unknown,,
50925,Unknown,,
50938,Unknown,,
51174,Unknown,,
51274,Unknown,,
52041,Unknown,,
52680,Unknown,,
53038,Unknown,,
53690,Unknown,,
54126,Unknown,,
54513,Unknown,,
54514,Unknown,,
54562,Unknown,,
54962,Unknown,,
55108,Unknown,,
55436,Unknown,,
55844,Unknown,,
55846,Unknown,,
56285,Unknown,,
56814,Unknown,,
57631,Unknown,,
57890,Unknown,,
57951,Unknown,,
59260,Unknown,,
59261,Unknown,,
60032,Unknown,,
60043,Unknown,,
60057,Unknown,,
60184,Unknown,,
61000,Unknown,,
61454,Unknown,,
62166,Unknown,,
62545,Unknown,,
62657,Unknown,,
63045,Unknown,,
63075,Unknown,,
63732,Unknown,,
63928,Unknown,,
64221,Unknown,,
65144,Unknown,,
65569,Unknown,,
65639,Unknown,,
65888,Unknown,,
66372,Unknown,,
66391,Unknown,,
66731,Unknown,,
67126,Unknown,,
67398,Unknown,,
67594,Unknown,,
67756,Unknown,,
67765,Unknown,,
67872,Unknown,,
68048,Unknown,,
68208,Unknown,,
68386,Unknown,,
68391,Unknown,,
68391,Unknown,,
68907,Unknown,,
69051,Unknown,,
69128,Unknown,,
69998,Unknown,,
71319,Unknown,,
71390,Unknown,,
71618,Unknown,,
72411,Unknown,,
73224,Unknown,,
73508,Unknown,,
93265,Unknown,,
96455,Unknown,,
96890,Unknown,,
98123,Unknown,,
98226,Unknown,,
98637,Unknown,,
98672,Unknown,,
99165,Unknown,,
99166,Unknown,,
99191,Unknown,,
99504,Unknown,,
99504,Unknown,,
100755,Unknown,,
101881,Unknown,,
101918,Unknown,,
103006,Unknown,,
103205,Unknown,,
103223,Unknown,,
103907,Unknown,,
104077,Unknown,,
104087,Unknown,,
104640,Unknown,,
104853,Unknown,,
104918,Unknown,,
105023,Unknown,,
105135,Unknown,,
105206,Unknown,,
105493,Unknown,,
105665,Unknown,,
105752,Unknown,,
105795,Unknown,,
106329,Unknown,,
106881,Unknown,,
107376,Unknown,,
107912,Unknown,,
108199,Unknown,,
108703,Unknown,,
109177,Unknown,,
109294,Unknown,,
109994,Unknown,,
110179,Unknown,,
