med_code_id,term,snomed_ct_concept_id,observations
300752014,Bleeding haemorrhoids NOS,51551000,
1216226011,External bleeding haemorrhoids,26421009,
802131000006119,GIB - Gastrointestinal bleeding,74474003,
502715010,Gastrointestinal haemorrhage,74474003,
396403016,Gastrointestinal haemorrhage unspecified,74474003,
303667019,Gastrointestinal tract haemorrhage NOS,74474003,
1216930015,Internal bleeding haemorrhoids,75884004,
507736019,Lower gastrointestinal haemorrhage,87763006,
486704010,Upper gastrointestinal haemorrhage,37372002,
981591000006114,Abnormal bleeding/vaginal discharge,981591000006105,
456809019,"Abnormal uterine and vaginal bleeding, unspecified",312984006,
456806014,Abnormal uterine bleeding unrelated to menstrual cycle,312984006,
456807017,"Abnormal uterine bleeding, unspecified",44991000119100,
456808010,"Abnormal vaginal bleeding, unspecified",301822002,
363458015,Accidental haemorrhage during medical care,242996005,
297188013,Acute and subacute haemorrhagic leukoencephalitis [Hurst],192933004,
474430017,Acute duodenal ulcer with haemorrhage,12847006,
507303017,Acute duodenal ulcer with haemorrhage AND perforation,86895006,
508664015,Acute gastric ulcer with haemorrhage,89748001,
495273013,Acute gastric ulcer with haemorrhage AND perforation,48974009,
499719010,Acute gastrojejunal ulcer with haemorrhage,63954007,
504674011,Acute gastrojejunal ulcer with haemorrhage AND perforation,81387001,
478553011,Acute haemorrhagic gastritis,2367005,
493743018,Acute haemorrhagic pancreatitis,4399003,
470365013,Acute peptic ulcer with haemorrhage,12274003,
361430016,Acute peptic ulcer with haemorrhage and perforation,111353003,
399228011,Acute posthaemorrhagic anaemia,267530009,
495316011,Adrenal haemorrhage,49111001,
356328018,Adrenocortical haemorrhage,237766002,
221161000000111,Altered blood in stools,2901004,
481141000006114,Anal haemorrhage,6072007,
886471000006110,Anal/rectal haemorrhage,266464001,
2871165011,Aneurysm and dissection of precerebral artery,713035000,
352222018,Angina bullosa haemorrhagica,235025005,
220801000000113,Antepartum bleeding,34842007,
485971018,Antepartum haemorrhage,34842007,
485721000006116,Antepartum haemorrhage NOS,34842007,
305747019,Antepartum haemorrhage NOS,34842007,
305743015,Antepartum haemorrhage NOS - delivered,34842007,
305746011,Antepartum haemorrhage NOS - not deliv,34842007,
305742013,"Antepartum haemorrhage NOS, unspecified",34842007,
355609010,Antepartum haemorrhage with afibrinogenaemia,237272003,
398341018,Antepartum haemorrhage with coagulation defect,267199000,
305697012,Antepartum haemorrhage with coagulation defect - delivered,198917009,
485801000006118,Antepartum haemorrhage with coagulation defect - not deliv,198918004,
305702015,Antepartum haemorrhage with coagulation defect NOS,267199000,
305696015,Antepartum haemorrhage with coagulation defect unspecified,267199000,
305717016,Antepartum haemorrhage with fibroid,198925006,
355606015,Antepartum haemorrhage with hyperfibrinolysis,237271005,
355605016,Antepartum haemorrhage with hypofibrinogenaemia,237270006,
305703013,Antepartum haemorrhage with trauma,198920001,
305707014,Antepartum haemorrhage with trauma - delivered,198922009,
305710019,Antepartum haemorrhage with trauma - not delivered,198923004,
305711015,Antepartum haemorrhage with trauma NOS,198920001,
305706017,Antepartum haemorrhage with trauma unspecified,198920001,
305718014,Antepartum haemorrhage with uterine fibroid,198925006,
305716013,Antepartum haemorrhage with uterine leiomyoma,198925006,
305722016,Antepartum haemorrhage with uterine leiomyoma - delivered,198927003,
485941000006114,Antepartum haemorrhage with uterine leiomyoma - not deliv,198928008,
305726018,Antepartum haemorrhage with uterine leiomyoma NOS,198925006,
305719018,Antepartum haemorrhage with uterine leiomyoma unspecified,198925006,
485971000006118,"Antepartum haemorrhage, abruptio placentae, placenta praevia",267197003,
1411000033112,Antifibrinolytic Drugs And Haemostatics,1411000033108,
1808731000006115,Application of chemical haemostatic agents,372045002,
495061000006113,Aspiration of haematoma of brain tissue,171502001,
279090012,Aspiration of haematoma of organ NOC,621461000000103,
215531000000119,BPV - Vaginal bleeding,289530006,
503791000006114,Basal nucleus haemorrhage,195165005,
304253010,Bladder haemorrhage,197887003,
371562017,Bleeding - vaginal NOS,289530006,
515491000006115,Bleeding PR,12063002,
1235493010,Bleeding acute gastric ulcer,89748001,
1235462014,Bleeding chronic duodenal ulcer,89469000,
1231704018,Bleeding chronic gastric ulcer,57246001,
303134017,Bleeding diverticulosis,197092000,
1887791000006116,Bleeding due to intrauterine contraceptive device,236737006,
354839010,Bleeding due to intrauterine contraceptive device,236737006,
1805191000006113,Bleeding from breast,52297004,
1805151000006119,Bleeding from nipple,248838002,
371988014,Bleeding from urethra,249301002,
143080016,Bleeding gums,86276007,
483053014,Bleeding in early pregnancy,25825004,
1805101000006118,Bleeding of pigmented skin lesion,1805101000006102,
1230526013,Bleeding postpartum,47821001,
353962019,Bleeding stoma,236129005,
1790721000000110,Bleeding symptom,800901000000100,
1773201000006115,Bleeding symptom,1773201000006104,
253189012,Blood discharge from ear,162365003,
517931000006117,Blood in faeces,405729008,
