med_code_id,term,snomed_ct_concept_id,observations
802131000006119,GIB - Gastrointestinal bleeding,74474003,
502715010,Gastrointestinal haemorrhage,74474003,
396403016,Gastrointestinal haemorrhage unspecified,74474003,
303667019,Gastrointestinal tract haemorrhage NOS,74474003,
507736019,Lower gastrointestinal haemorrhage,87763006,
486704010,Upper gastrointestinal haemorrhage,37372002,
474430017,Acute duodenal ulcer with haemorrhage,12847006,
507303017,Acute duodenal ulcer with haemorrhage AND perforation,86895006,
508664015,Acute gastric ulcer with haemorrhage,89748001,
495273013,Acute gastric ulcer with haemorrhage AND perforation,48974009,
499719010,Acute gastrojejunal ulcer with haemorrhage,63954007,
504674011,Acute gastrojejunal ulcer with haemorrhage AND perforation,81387001,
478553011,Acute haemorrhagic gastritis,2367005,
493743018,Acute haemorrhagic pancreatitis,4399003,
470365013,Acute peptic ulcer with haemorrhage,12274003,
361430016,Acute peptic ulcer with haemorrhage and perforation,111353003,
399228011,Acute posthaemorrhagic anaemia,267530009,
495316011,Adrenal haemorrhage,49111001,
356328018,Adrenocortical haemorrhage,237766002,
2871165011,Aneurysm and dissection of precerebral artery,713035000,
495061000006113,Aspiration of haematoma of brain tissue,171502001,
1235493010,Bleeding acute gastric ulcer,89748001,
1235462014,Bleeding chronic duodenal ulcer,89469000,
1231704018,Bleeding chronic gastric ulcer,57246001,
483988011,Bulbar haemorrhage,732923001,
605471000006112,CVA - cerebrovascular accid due to intracerebral haemorrhage,274100004,
345709014,Carotid artery dissection,705066004,
303521011,Central haemorrhagic necrosis of liver,197364000,
502878012,Cerebellar haemorrhage,75038005,
884421000006119,Cerebral haemorrhage,62914000,
989201000006117,Cerebral haemorrhage,274100004,
894091000006111,Cerebral haemorrhage - birth,206188000,
989211000006119,Cerebral haemorrhage NOS,274100004,
884451000006111,Cerebral haemorrhage NOS,700251000000105,
505322013,Cerebral haemorrhage following injury,450418003,
320852013,Cerebral haemorrhage following injury NOS,450418003,
1573101000006112,Cerebral infarction with haemorrhagic transformation,1573101000006108,
297942018,Choroidal haemorrhage and rupture,193474002,
297946015,Choroidal haemorrhage or rupture NOS,193474002,
508524014,Chronic duodenal ulcer with haemorrhage,89469000,
486596015,Chronic duodenal ulcer with haemorrhage AND perforation,36975000,
497833010,Chronic gastric ulcer with haemorrhage,57246001,
554311000006114,Chronic gastric ulcer with haemorrhage and perforation,76181002,
499386010,Chronic gastrojejunal ulcer with haemorrhage,62838000,
494304013,Chronic gastrojejunal ulcer with haemorrhage AND perforation,45640006,
495344012,Chronic peptic ulcer with haemorrhage,49232000,
498977018,Chronic peptic ulcer with haemorrhage AND perforation,61300005,
455462013,Closed heart injury with haemopericardium,311830005,
402930018,Closed traumatic extradural haemorrhage,43216008,
1216777017,Closed traumatic haemopneumothorax,59190009,
402929011,Closed traumatic subarachnoid haemorrhage,28048009,
320752018,Closed traumatic subdural haemorrhage,209947002,
350608017,Coronary artery dissection,732230001,
495202016,Deep retinal haemorrhage,48742005,
1816221000006113,Dissection of artery,710864009,
1816141000006110,Dissection of artery of arm,713033007,
1816181000006116,Dissection of artery of leg,713032002,
1816191000006118,Dissection of artery of lower extremity,713032002,
1816151000006112,Dissection of artery of upper extremity,713033007,
300389010,"Dissection of cerebral arteries, nonruptured",713082007,
2168721000000118,Dissection of iliac artery,233999007,
1816161000006114,Dissection of renal artery,713036004,
350611016,Dissection of transplant artery,234001008,
628481000006113,Drainage haematoma ext ear control cavity c bolster suture,172619007,
265796017,Drainage of subarachnoid space of brain,171554006,
310700018,Elbow haemarthrosis,202405009,
647051000006114,Epidural haematoma following injury,262949005,
505381016,Epidural haemorrhage,82999001,
267156014,Epiretinal dissection,172571009,
860721000006116,Epistaxis control - suture,172813005,
649541000006113,Evacuation of extradural haematoma,171713001,
265690015,Evacuation of haematoma from cerebellum,171474001,
265689012,Evacuation of haematoma from temporal lobe of brain,171473007,
265692011,Evacuation of intracerebral haematoma NEC,10458001,
498516011,Evacuation of subdural haematoma,59712006,
298692016,Exophthalmos due to orbital haemorrhage,194016009,
420970014,Expulsive choroidal haemorrhage,11623000,
300276019,External capsule haemorrhage,195167002,
884431000006116,Extradural haemorrhage,397809001,
660111000006117,Extradural haemorrhage - nontraumatic,397809001,
660121000006113,Extradural haemorrhage following injury,450410005,
303660017,Gastric haemorrhage NOS,61401005,
269184010,Gastrotomy and ligation of bleeding point of stomach,173778009,
504800015,Haemarthrosis,81808003,
890621000006114,Haemarthrosis - ankle/foot,267948008,
989481000006113,Haemarthrosis - elbow joint,202405009,
890571000006111,Haemarthrosis - elbow joint,202405009,
890601000006116,Haemarthrosis - hip joint,202411007,
890611000006118,Haemarthrosis - knee joint,202413005,
989491000006111,Haemarthrosis - knee joint,202413005,
890641000006119,Haemarthrosis - multiple joint,76427005,
890631000006112,Haemarthrosis - other joint,687801000000104,
989471000006110,Haemarthrosis - shoulder joint,2602008,
890561000006116,Haemarthrosis - shoulder joint,2602008,
890581000006114,Haemarthrosis - wrist joint,202407001,
310737012,Haemarthrosis NOS,81808003,
310711014,Haemarthrosis of DIP joint of finger,202410008,
812701000006111,Haemarthrosis of IP joint of toe,202421004,
310695013,Haemarthrosis of acromioclavicular joint,202404008,
812651000006117,Haemarthrosis of ankle,202415003,
812671000006110,Haemarthrosis of distal radio-ulnar joint,202406005,
310699019,Haemarthrosis of elbow,202405009,
310715017,Haemarthrosis of hip,202411007,
310720017,Haemarthrosis of knee,202413005,
812721000006118,Haemarthrosis of lesser MTP joint,202420003,
812741000006113,Haemarthrosis of multiple joints,76427005,
310692011,Haemarthrosis of other specified site,81808003,
