med_code_id,term,snomed_ct_concept_id,observations
62380,Unknown,,
64670,Unknown,,
103245,Unknown,,
63723,Unknown,,
21402,Unknown,,
59115,Unknown,,
100006,Unknown,,
97577,Unknown,,
92380,Unknown,,
71304,Unknown,,
2462,Unknown,,
104291,Unknown,,
65489,Unknown,,
100423,Unknown,,
98840,Unknown,,
44196,Unknown,,
98909,Unknown,,
64036,Unknown,,
68039,Unknown,,
29178,Unknown,,
57225,Unknown,,
55303,Unknown,,
67506,Unknown,,
61149,Unknown,,
65483,Unknown,,
105472,Unknown,,
19140,Unknown,,
63054,Unknown,,
49605,Unknown,,
97863,Unknown,,
94407,Unknown,,
58684,Unknown,,
108886,Unknown,,
94005,Unknown,,
67703,Unknown,,
95049,Unknown,,
63625,Unknown,,
110563,Unknown,,
101715,Unknown,,
107032,Unknown,,
101530,Unknown,,
104895,Unknown,,
105841,Unknown,,
108775,Unknown,,
106597,Unknown,,
104484,Unknown,,
53397,Unknown,,
106349,Unknown,,
61662,Unknown,,
59778,Unknown,,
59755,Unknown,,
107804,Unknown,,
91900,Unknown,,
99012,Unknown,,
94279,Unknown,,
97746,Unknown,,
42461,Unknown,,
5179,Unknown,,
66327,Unknown,,
45264,Unknown,,
105203,Unknown,,
92068,Unknown,,
94995,Unknown,,
58082,Unknown,,
65701,Unknown,,
12006,Unknown,,
95949,Unknown,,
91674,Unknown,,
96379,Unknown,,
72714,Unknown,,
95012,Unknown,,
38005,Unknown,,
35014,Unknown,,
100532,Unknown,,
3604,Unknown,,
104391,Unknown,,
28639,Unknown,,
70842,Unknown,,
49262,Unknown,,
50668,Unknown,,
108182,Unknown,,
50695,Unknown,,
53551,Unknown,,
17460,Unknown,,
65180,Unknown,,
95715,Unknown,,
101114,Unknown,,
31576,Unknown,,
21549,Unknown,,
17182,Unknown,,
70509,Unknown,,
102594,Unknown,,
105038,Unknown,,
31794,Unknown,,
39798,Unknown,,
104152,Unknown,,
105889,Unknown,,
105095,Unknown,,
107166,Unknown,,
105020,Unknown,,
107973,Unknown,,
106969,Unknown,,
108719,Unknown,,
106063,Unknown,,
105085,Unknown,,
105559,Unknown,,
105955,Unknown,,
104862,Unknown,,
109780,Unknown,,
107949,Unknown,,
105709,Unknown,,
105925,Unknown,,
105375,Unknown,,
105636,Unknown,,
104934,Unknown,,
106884,Unknown,,
106867,Unknown,,
104386,Unknown,,
104620,Unknown,,
104412,Unknown,,
17887,Unknown,,
90201,Unknown,,
57737,Unknown,,
12464,Unknown,,
95630,Unknown,,
44318,Unknown,,
12335,Unknown,,
57427,Unknown,,
50696,Unknown,,
72725,Unknown,,
