med_code_id,term,snomed_ct_concept_id,observations
19415,Unknown,,
24374,Unknown,,
14712,Unknown,,
9984,Unknown,,
73962,Unknown,,
66270,Unknown,,
50296,Unknown,,
98740,Unknown,,
67446,Unknown,,
66384,Unknown,,
95480,Unknown,,
101707,Unknown,,
99493,Unknown,,
99001,Unknown,,
98500,Unknown,,
90610,Unknown,,
100721,Unknown,,
71147,Unknown,,
67504,Unknown,,
91843,Unknown,,
89909,Unknown,,
94441,Unknown,,
96782,Unknown,,
61692,Unknown,,
73614,Unknown,,
68399,Unknown,,
100144,Unknown,,
96783,Unknown,,
18882,Unknown,,
37553,Unknown,,
100906,Unknown,,
94251,Unknown,,
69761,Unknown,,
10283,Unknown,,
43431,Unknown,,
69671,Unknown,,
34409,Unknown,,
91035,Unknown,,
43642,Unknown,,
107258,Unknown,,
43781,Unknown,,
36161,Unknown,,
62840,Unknown,,
102142,Unknown,,
63979,Unknown,,
38488,Unknown,,
58121,Unknown,,
37096,Unknown,,
24852,Unknown,,
47205,Unknown,,
41530,Unknown,,
40557,Unknown,,
20292,Unknown,,
4388,Unknown,,
51786,Unknown,,
70928,Unknown,,
70696,Unknown,,
50475,Unknown,,
43400,Unknown,,
32024,Unknown,,
49360,Unknown,,
101753,Unknown,,
93218,Unknown,,
20092,Unknown,,
45408,Unknown,,
45986,Unknown,,
17912,Unknown,,
56709,Unknown,,
36716,Unknown,,
14792,Unknown,,
31364,Unknown,,
30402,Unknown,,
103796,Unknown,,
95772,Unknown,,
97530,Unknown,,
37590,Unknown,,
40292,Unknown,,
37516,Unknown,,
70819,Unknown,,
96003,Unknown,,
69951,Unknown,,
28559,Unknown,,
37724,Unknown,,
37916,Unknown,,
55015,Unknown,,
37549,Unknown,,
22893,Unknown,,
16241,Unknown,,
26448,Unknown,,
101988,Unknown,,
102151,Unknown,,
53884,Unknown,,
24397,Unknown,,
55066,Unknown,,
51926,Unknown,,
99185,Unknown,,
61510,Unknown,,
93842,Unknown,,
100002,Unknown,,
39554,Unknown,,
46728,Unknown,,
26134,Unknown,,
91895,Unknown,,
73439,Unknown,,
48519,Unknown,,
56355,Unknown,,
90124,Unknown,,
67323,Unknown,,
91037,Unknown,,
43200,Unknown,,
24675,Unknown,,
94390,Unknown,,
95429,Unknown,,
33388,Unknown,,
46548,Unknown,,
96869,Unknown,,
59004,Unknown,,
37940,Unknown,,
102205,Unknown,,
44139,Unknown,,
106915,Unknown,,
99386,Unknown,,
100918,Unknown,,
66422,Unknown,,
55630,Unknown,,
28665,Unknown,,
34012,Unknown,,
43548,Unknown,,
39897,Unknown,,
57248,Unknown,,
64462,Unknown,,
88362,Unknown,,
28451,Unknown,,
46114,Unknown,,
16297,Unknown,,
95016,Unknown,,
39084,Unknown,,
49758,Unknown,,
39430,Unknown,,
26652,Unknown,,
23389,Unknown,,
71204,Unknown,,
98911,Unknown,,
62761,Unknown,,
62182,Unknown,,
42856,Unknown,,
24456,Unknown,,
107916,Unknown,,
98537,Unknown,,
54613,Unknown,,
71946,Unknown,,
73537,Unknown,,
32174,Unknown,,
54636,Unknown,,
15684,Unknown,,
65215,Unknown,,
39590,Unknown,,
96971,Unknown,,
55246,Unknown,,
319,Unknown,,
318,Unknown,,
26165,Unknown,,
22441,Unknown,,
43111,Unknown,,
63460,Unknown,,
37805,Unknown,,
107878,Unknown,,
47862,Unknown,,
97332,Unknown,,
50579,Unknown,,
55374,Unknown,,
26813,Unknown,,
9237,Unknown,,
68236,Unknown,,
55098,Unknown,,
41931,Unknown,,
12490,Unknown,,
51818,Unknown,,
16280,Unknown,,
73510,Unknown,,
58903,Unknown,,
62437,Unknown,,
58973,Unknown,,
1062,Unknown,,
61695,Unknown,,
41362,Unknown,,
63470,Unknown,,
50789,Unknown,,
54171,Unknown,,
42416,Unknown,,
67497,Unknown,,
98142,Unknown,,
53591,Unknown,,
30700,Unknown,,
4865,Unknown,,
8386,Unknown,,
10368,Unknown,,
32022,Unknown,,
100584,Unknown,,
22894,Unknown,,
94278,Unknown,,
37859,Unknown,,
21620,Unknown,,
48237,Unknown,,
41215,Unknown,,
59092,Unknown,,
19318,Unknown,,
32362,Unknown,,
43572,Unknown,,
42193,Unknown,,
55434,Unknown,,
51690,Unknown,,
97499,Unknown,,
96094,Unknown,,
55019,Unknown,,
65312,Unknown,,
96802,Unknown,,
65372,Unknown,,
14800,Unknown,,
6806,Unknown,,
18613,Unknown,,
43479,Unknown,,
33871,Unknown,,
63995,Unknown,,
99896,Unknown,,
43390,Unknown,,
1220,Unknown,,
9088,Unknown,,
6935,Unknown,,
10864,Unknown,,
2815,Unknown,,
3811,Unknown,,
22163,Unknown,,
18632,Unknown,,
10946,Unknown,,
18619,Unknown,,
93478,Unknown,,
48231,Unknown,,
28163,Unknown,,
9118,Unknown,,
27855,Unknown,,
24370,Unknown,,
11628,Unknown,,
35357,Unknown,,
1800,Unknown,,
7219,Unknown,,
5901,Unknown,,
55659,Unknown,,
50974,Unknown,,
9491,Unknown,,
46159,Unknown,,
27897,Unknown,,
8918,Unknown,,
25535,Unknown,,
16126,Unknown,,
31210,Unknown,,
68410,Unknown,,
22187,Unknown,,
44399,Unknown,,
26393,Unknown,,
43490,Unknown,,
54103,Unknown,,
16105,Unknown,,
31393,Unknown,,
60312,Unknown,,
15907,Unknown,,
16915,Unknown,,
65124,Unknown,,
110775,Unknown,,
89593,Unknown,,
58088,Unknown,,
61643,Unknown,,
38978,Unknown,,
23433,Unknown,,
72445,Unknown,,
52537,Unknown,,
7982,Unknown,,
36495,Unknown,,
105613,Unknown,,
74896,Unknown,,
10949,Unknown,,
35039,Unknown,,
8166,Unknown,,
8771,Unknown,,
40810,Unknown,,
39870,Unknown,,
35535,Unknown,,
35795,Unknown,,
48537,Unknown,,
96635,Unknown,,
95783,Unknown,,
34388,Unknown,,
55675,Unknown,,
44108,Unknown,,
21330,Unknown,,
65159,Unknown,,
24048,Unknown,,
61555,Unknown,,
17874,Unknown,,
46613,Unknown,,
59388,Unknown,,
30165,Unknown,,
50898,Unknown,,
64516,Unknown,,
39413,Unknown,,
69821,Unknown,,
90290,Unknown,,
64106,Unknown,,
16298,Unknown,,
65460,Unknown,,
108667,Unknown,,
72224,Unknown,,
93778,Unknown,,
13243,Unknown,,
15221,Unknown,,
103946,Unknown,,
37810,Unknown,,
12870,Unknown,,
17391,Unknown,,
33444,Unknown,,
21698,Unknown,,
10358,Unknown,,
20170,Unknown,,
31700,Unknown,,
25886,Unknown,,
44169,Unknown,,
31268,Unknown,,
41523,Unknown,,
39923,Unknown,,
54134,Unknown,,
31188,Unknown,,
18678,Unknown,,
12582,Unknown,,
42566,Unknown,,
38961,Unknown,,
3903,Unknown,,
2587,Unknown,,
31573,Unknown,,
67107,Unknown,,
106194,Unknown,,
98104,Unknown,,
62556,Unknown,,
27483,Unknown,,
95644,Unknown,,
63430,Unknown,,
65605,Unknown,,
94975,Unknown,,
101885,Unknown,,
50289,Unknown,,
27715,Unknown,,
92720,Unknown,,
61064,Unknown,,
100232,Unknown,,
66750,Unknown,,
36371,Unknown,,
12539,Unknown,,
18314,Unknown,,
59036,Unknown,,
53594,Unknown,,
53599,Unknown,,
59520,Unknown,,
95458,Unknown,,
55953,Unknown,,
50298,Unknown,,
54747,Unknown,,
55595,Unknown,,
62104,Unknown,,
50299,Unknown,,
17475,Unknown,,
96445,Unknown,,
44452,Unknown,,
69146,Unknown,,
33833,Unknown,,
16704,Unknown,,
46939,Unknown,,
32372,Unknown,,
54691,Unknown,,
49701,Unknown,,
27528,Unknown,,
37842,Unknown,,
49491,Unknown,,
66639,Unknown,,
60403,Unknown,,
67763,Unknown,,
54493,Unknown,,
51237,Unknown,,
71810,Unknown,,
49054,Unknown,,
105797,Unknown,,
61741,Unknown,,
92371,Unknown,,
64848,Unknown,,
65880,Unknown,,
73530,Unknown,,
106069,Unknown,,
72464,Unknown,,
57988,Unknown,,
69104,Unknown,,
110993,Unknown,,
108638,Unknown,,
94427,Unknown,,
86812,Unknown,,
73556,Unknown,,
54631,Unknown,,
44609,Unknown,,
59223,Unknown,,
51921,Unknown,,
40966,Unknown,,
66908,Unknown,,
50152,Unknown,,
38938,Unknown,,
68055,Unknown,,
56513,Unknown,,
50402,Unknown,,
40814,Unknown,,
62630,Unknown,,
105475,Unknown,,
95182,Unknown,,
72212,Unknown,,
34878,Unknown,,
69927,Unknown,,
92382,Unknown,,
58949,Unknown,,
103354,Unknown,,
67451,Unknown,,
43614,Unknown,,
16075,Unknown,,
19437,Unknown,,
1481,Unknown,,
60242,Unknown,,
99665,Unknown,,
105275,Unknown,,
8660,Unknown,,
49862,Unknown,,
59310,Unknown,,
5052,Unknown,,
24539,Unknown,,
21447,Unknown,,
22561,Unknown,,
60631,Unknown,,
62492,Unknown,,
29337,Unknown,,
48271,Unknown,,
22330,Unknown,,
38477,Unknown,,
68956,Unknown,,
50859,Unknown,,
31673,Unknown,,
37830,Unknown,,
9102,Unknown,,
4473,Unknown,,
49023,Unknown,,
66502,Unknown,,
93175,Unknown,,
100267,Unknown,,
865,Unknown,,
70637,Unknown,,
54632,Unknown,,
57260,Unknown,,
59061,Unknown,,
102145,Unknown,,
73744,Unknown,,
47252,Unknown,,
41278,Unknown,,
71136,Unknown,,
47094,Unknown,,
68133,Unknown,,
45139,Unknown,,
58958,Unknown,,
67806,Unknown,,
65625,Unknown,,
55881,Unknown,,
45306,Unknown,,
99257,Unknown,,
38689,Unknown,,
49814,Unknown,,
32768,Unknown,,
53629,Unknown,,
34259,Unknown,,
109002,Unknown,,
95629,Unknown,,
43715,Unknown,,
43463,Unknown,,
51209,Unknown,,
45760,Unknown,,
65164,Unknown,,
50505,Unknown,,
54685,Unknown,,
45755,Unknown,,
62475,Unknown,,
25602,Unknown,,
63997,Unknown,,
55292,Unknown,,
46255,Unknown,,
73536,Unknown,,
51873,Unknown,,
54305,Unknown,,
39878,Unknown,,
37872,Unknown,,
42714,Unknown,,
61246,Unknown,,
41490,Unknown,,
36899,Unknown,,
53369,Unknown,,
64327,Unknown,,
111079,Unknown,,
109827,Unknown,,
110139,Unknown,,
110180,Unknown,,
110961,Unknown,,
109745,Unknown,,
110483,Unknown,,
111162,Unknown,,
42153,Unknown,,
96585,Unknown,,
28556,Unknown,,
7484,Unknown,,
9600,Unknown,,
34742,Unknown,,
34451,Unknown,,
43475,Unknown,,
59382,Unknown,,
40014,Unknown,,
48517,Unknown,,
60035,Unknown,,
49463,Unknown,,
108389,Unknown,,
73718,Unknown,,
53989,Unknown,,
50222,Unknown,,
64345,Unknown,,
57482,Unknown,,
19321,Unknown,,
91586,Unknown,,
63988,Unknown,,
104913,Unknown,,
66088,Unknown,,
102949,Unknown,,
44805,Unknown,,
54965,Unknown,,
30542,Unknown,,
54222,Unknown,,
99572,Unknown,,
90546,Unknown,,
22290,Unknown,,
29160,Unknown,,
54186,Unknown,,
72522,Unknown,,
104139,Unknown,,
98408,Unknown,,
45071,Unknown,,
66488,Unknown,,
94272,Unknown,,
60247,Unknown,,
51965,Unknown,,
70463,Unknown,,
67324,Unknown,,
