med_code_id,term,snomed_ct_concept_id,observations
301055012,Acute phlegmonous laryngitis,195683003,
301022019,Acute phlegmonous pharyngitis,195656004,
450686015,Cellulitis - anus or rectum,307424002,
888971000006119,Cellulitis - digit NOS,666551000000101,
888951000006112,Cellulitis - finger-paronychia,36857002,
889061000006117,Cellulitis - foot - excl. toe,267783003,
889051000006119,Cellulitis - leg - excl. foot,267782008,
888961000006114,Cellulitis - toe,200638004,
889031000006114,Cellulitis -hand -excl. finger,267780000,
308368017,Cellulitis NOS,128045006,
308367010,Cellulitis and abscess NOS,70759006,
540621000006119,Cellulitis and abscess NOS,70759006,
308320011,Cellulitis and abscess of abdominal wall,200659006,
308353018,Cellulitis and abscess of ankle,200682008,
308326017,Cellulitis and abscess of arm,449717009,
308332010,Cellulitis and abscess of arm NOS,200668008,
308328016,Cellulitis and abscess of axilla,200667003,
308319017,Cellulitis and abscess of back,200658003,
308318013,Cellulitis and abscess of breast,200657008,
308344013,Cellulitis and abscess of buttock,200676005,
399896012,Cellulitis and abscess of cheek,267777001,
399895011,Cellulitis and abscess of cheek (external),267777001,
308317015,Cellulitis and abscess of chest wall,200656004,
308307013,Cellulitis and abscess of chin,200648002,
399893016,Cellulitis and abscess of digit NOS,200628009,
308330019,Cellulitis and abscess of elbow,200669000,
308300010,Cellulitis and abscess of face,200645004,
308312014,Cellulitis and abscess of face NOS,200645004,
308269011,Cellulitis and abscess of finger,200630006,
308281010,Cellulitis and abscess of finger NOS,200630006,
308266016,Cellulitis and abscess of finger and toe,200628009,
308270012,Cellulitis and abscess of finger unspecified,200630006,
308322015,Cellulitis and abscess of flank,200661002,
540851000006112,Cellulitis and abscess of foot,267783003,
308361011,Cellulitis and abscess of foot NOS,267783003,
399903012,Cellulitis and abscess of foot excluding toe,267783003,
308358010,Cellulitis and abscess of foot unspecified,267783003,
308331015,Cellulitis and abscess of forearm,200670004,
308309011,Cellulitis and abscess of forehead,200650005,
308323013,Cellulitis and abscess of groin,200662009,
540921000006112,Cellulitis and abscess of hand,267780000,
308343019,Cellulitis and abscess of hand NOS,62837005,
399899017,Cellulitis and abscess of hand excluding digits,267780000,
399900010,Cellulitis and abscess of hand unspecified,267780000,
399904018,Cellulitis and abscess of head unspecified,70759006,
308359019,Cellulitis and abscess of heel,200686006,
308349015,Cellulitis and abscess of hip,200678006,
308351016,Cellulitis and abscess of knee,200680000,
399901014,Cellulitis and abscess of leg,449702005,
308354012,Cellulitis and abscess of leg NOS,449702005,
541011000006113,Cellulitis and abscess of leg excluding foot,449702005,
308352011,Cellulitis and abscess of lower leg,200681001,
399898013,Cellulitis and abscess of neck,267779003,
541051000006114,Cellulitis and abscess of nose,267778006,
399897015,Cellulitis and abscess of nose (external),267778006,
308324019,Cellulitis and abscess of perineum,200663004,
308327014,Cellulitis and abscess of shoulder,200666007,
308308015,Cellulitis and abscess of submandibular region,200649005,
308310018,Cellulitis and abscess of temple region,200651009,
308350015,Cellulitis and abscess of thigh,200679003,
308282015,Cellulitis and abscess of toe,200638004,
399892014,Cellulitis and abscess of toe NOS,200638004,
308283013,Cellulitis and abscess of toe unspecified,200638004,
308316012,Cellulitis and abscess of trunk,200655000,
308325018,Cellulitis and abscess of trunk NOS,200655000,
308321010,Cellulitis and abscess of umbilicus,200660001,
308329012,Cellulitis and abscess of upper arm,200668008,
308342012,Cellulitis and abscess of wrist,200674008,
308360012,Cellulitis in diabetic foot,200687002,
40768015,Cellulitis of ankle,24288004,
423153016,Cellulitis of arm,449671007,
32771017,Cellulitis of axilla,19457002,
357317012,Cellulitis of dorsum of hand,238396007,
158680013,Cellulitis of external ear,95806007,
347348011,Cellulitis of eyelid,231796003,
541281000006113,Cellulitis of eyelids,41446000,
541291000006111,Cellulitis of face,200652002,
308311019,Cellulitis of face,200652002,
302270018,Cellulitis of floor of mouth,196538002,
206541013,Cellulitis of foot,128276007,
48067018,Cellulitis of larynx,28709001,
357328011,Cellulitis of leg,449710006,
85030014,Cellulitis of lip,51030006,
62096018,Cellulitis of neck,37223007,
357321017,Cellulitis of palm of hand,238398008,
25168017,Cellulitis of penis,14812002,
58130016,Cellulitis of scrotum,34830002,
178652010,Cellulitis of seminal vesicle,111414008,
357316015,Cellulitis of skin area excluding digits of hand or foot,238395006,
117333013,Cellulitis of toe,70637004,
541421000006113,Cellulitis of trunk,46876003,
78133018,Cellulitis of trunk,46876003,
40845016,Cellulitis of vocal cords,24347001,
219471000000116,"Cellulitis, external ear",95806007,
889021000006111,Cellulitis/abscess - arm,200665006,
889041000006116,Cellulitis/abscess - buttock,200676005,
888991000006118,Cellulitis/abscess - face,200645004,
889001000006118,Cellulitis/abscess - neck,267779003,
889011000006115,Cellulitis/abscess - trunk,200655000,
888941000006110,Cellulitis/abscess -finger/toe,200628009,
888981000006116,Cellulitis/abscess NOS,70759006,
472876012,Cutaneous cellulitis,123951002,
360108016,Cutaneous erysipeloid,240394009,
646471000006112,Eosinophilic cellulitis [Wells],238931006,
74483012,Erysipelas,44653001,
298955019,Erysipelas - otitis externa,194202008,
1785233018,Erysipelothrix infection,367434002,
286408011,Erysipelothrix infection NOS,367434002,
395329012,"Erysipelothrix infection, unspecified",367434002,
1814321000006111,Erysipelothrix sepsis,447684006,
286405014,Erysipelothrix septicaemia,447684006,
360374010,Gonococcal cellulitis,240584003,
298954015,Infective otitis externa due to erysipelas,194202008,
302275011,Ludwig's angina,196542004,
954061000006115,Notification of erysipelas,954061000006104,
42341000006115,Oral cellulitis and abscess,41188003,
396325011,Oral cellulitis and abscess NOS,41188003,
302273016,Oral soft tissue cellulitis unspecified,8771003,
298680016,Orbital cellulitis,194005002,
