med_code_id,term,snomed_ct_concept_id,observations
259229012,Serum cholesterol raised,166830008,
259570010,Plasma fasting LDL cholesterol level,1028861000000101,
34521000033114,Cholesterol,84698008,
356867016,Polygenic hypercholesterolaemia,238077000,
259232010,Serum HDL cholesterol level,1005681000000107,
1488764011,Calculated LDL cholesterol level,1014501000000104,
186091018,Total cholesterol measurement,121868005,
458260019,Plasma cholesterol/VLDL ratio,1015731000000100,
458253013,Serum cholesterol/LDL ratio,1015701000000106,
259242012,Serum fasting HDL cholesterol level,1026451000000102,
279462018,HDL : total cholesterol ratio,1031421000000101,
458249011,Serum cholesterol/HDL ratio,1015681000000109,
259252011,Serum cholesterol NOS,1005671000000105,
259567011,Plasma fasting HDL cholesterol level,1028841000000102,
398852019,Pure hypercholesterolaemia,267432004,
458257014,Serum cholesterol/VLDL ratio,1015721000000102,
259227014,Serum cholesterol normal,166828006,
259236013,Serum VLDL cholesterol level,1003441000000101,
475418015,Hypercholesterolaemia,13644009,
259239018,Serum cholesterol studies,1026441000000100,
458314019,Plasma LDL cholesterol level,1010591000000104,
2344491000000115,Serum non high density lipoprotein cholesterol level,1006191000000106,
516351000000116,Non HDL cholesterol level,1030411000000101,
259247018,Serum random LDL cholesterol level,1026481000000108,
458313013,Plasma HDL cholesterol level,1010581000000101,
259230019,Serum cholesterol very high,166831007,
259233017,Serum LDL cholesterol level,1022191000000100,
1488851015,Pre-treatment serum cholesterol level,395153009,
405621000000116,Serum fasting total cholesterol,247801000000106,
1484985012,Plasma total cholesterol level,1017161000000104,
857141000006116,LDL cholesterol level,857141000006100,
259250015,Total cholesterol:HDL ratio,1028551000000102,
293270011,Pure hypercholesterolaemia NOS,267432004,
458252015,Plasma cholesterol/HDL ratio,1015691000000106,
457911015,Cholesterol/HDL ratio,313811003,
293267012,Other specified pure hypercholesterolaemia,13644009,
987321000006112,Pre-treatment fasting HDL cholesterol,987321000006108,
2533224018,7-Dehydrocholesterol level,1020721000000100,
259569014,Plasma random LDL cholesterol level,1028851000000104,
458256017,Plasma cholesterol/LDL ratio,1015711000000108,
259243019,Serum random HDL cholesterol level,1026461000000104,
259564016,Plasma random HDL cholesterol level,1028831000000106,
1924001000006115,Estimated serum non-HDL cholesterol level,920471000000100,
2478443019,Serum total cholesterol level,994351000000103,
855771000006118,HDL cholesterol level,855771000006102,
259246010,Serum fasting LDL cholesterol level,1026471000000106,
667191000006111,Fasting serum cholesterol,667191000006107,
150921000006118,Serum cholesterol,1005671000000105,
144141000006119,Serum HDL:non-HDL cholesterol ratio,1015271000000109,
