med_code_id,term,snomed_ct_concept_id,observations
300016017,"Combined disorders of mitral, aortic and tricuspid valves",195005009,400
512130019,Congenital stricture of pulmonary artery,95441000,40
193401000006117,Pulmonary arteriovenous malformation,303070000,400
315688018,Congenital anomaly of pulmonary artery,36110001,200
3863421000006112,Corrected transposition of great vessels,83799000,10
460331011,History of major cardiovascular surgery,15081000119105,100
9771010,Congenital absence of coronary artery,5230009,4
371771000006115,[X]Congenital malforms of cardiac chambers+connections unsp,363660007,200
270950019,Aortic valvuloplasty NEC,112816004,900
313458018,Congenital anomaly of aorta,59877000,800
270766014,Revision of transplantation of heart and lung,174803001,7
637121000000110,Congenital dextroposition of heart,341751000000103,70
270767017,Other specified transplantation of heart and lung,174802006,10
2675435016,Closure of aorto-left ventricular tunnel,427265007,20
5327821000006115,Double inlet left ventricle,253283000,4
324974014,Heart transplant failure and rejection,213151004,20
2544081000006116,Right ventricular hypoplasia,2829000,2
505081012,Duroziez's disease,82458004,2
4663791000006113,Allotransplant of heart and lung,174802006,3
377724010,Preductal hypoplasia of aorta,253674003,1
7360241000006116,Double outlet right ventricle with subpulmonary ventricular septal defect,448794008,6
1587311000006114,Repair of defect of interventricular septum using pericardial patch,174851009,8
50693015,Ventricular septal defect,30288003,100000
89332015,Atherosclerotic heart disease,443502000,1000
313513014,Subdiaphragmatic total anomalous pulmonary venous return,204456001,20
3807401000006112,Roger's disease,80387009,20
818791000006118,Operation on cardiac septum,77371000,200
313381017,Other specified heart anomalies,13213009,90
270830019,Revision of closure of defect of interatrial septum,174848002,20
2619021000006117,DORV - Double outlet right ventricle,7484005,2
271526019,Aorta operations NOS,32907006,800
4824801000006113,Ebstein's malformation of tricuspid valve,204357006,5
3711941000006110,Aortic diverticulum,74561007,4
569651000006112,Closure defect of heart septum using pericardial patch NEC,77371000,600
271388016,Other open operations on pulmonary artery,233207009,40
300014019,Disorders of both aortic and tricuspid valves,195003002,300
383061000000112,Other repair of transposition of great arteries NOS,395723006,70
1587221000006113,Repair of defect of interatrial septum using prosthetic patch,174844000,4
313444015,Acyanotic congenital heart disease NOS,13213009,200
270981011,Pulmonary valvuloplasty NEC,265475009,300
1546491000006118,Percutaneous transluminal atrial septum fenestration closure with prosthesis,233831000000107,200
5328951000006116,Partial atrioventricular septal defect,253373002,1
313398017,Coronary artery anomaly NOS,28574005,300
4824831000006117,Parachute malformation of mitral valve,204362007,8
580911000006114,Congenital cardiovasc dis - unsp whether in preg/puerperium,267207004,8
1222315016,"Aortic regurgitation alone, cause unspecified",60234000,60000
465651000000113,Pulmonary valve repair NEC,386749005,200
313375013,"Congenital mitral stenosis, unspecified",82458004,6
5329321000006119,Double orifice of mitral valve,253402005,2
641961000006119,Endocardial cushion defect,15459006,100
193391000006119,Pulmonary arterio-venous fistula,253639004,50
270776012,Revision of transplantation of heart NEC,32413006,10
465681000000119,Repair defect of atrioventricular septum using tissue graft,174839007,10
1546731000006111,Percutaneous transluminal closure of defect of interatrial septum using prosthesis,429761006,30
377728013,Postductal interruption of aorta,253677005,2
377267018,Isomerism of atrial appendages,253335001,800
559841000006118,Closure of defect of interventricular septum using prosthetic patch,89814007,200
313435016,Other specified heart anomalies NOS,13213009,40
2709711000006116,CHD - Congenital heart disease,13213009,2
299990018,Aortic valve stenosis,60573004,40000
349159019,Rashkind balloon atrial septostomy,233044001,200
313388011,Obstructive heart anomaly NEC NOS,13213009,10
597091000006118,Correction of total anomalous pulmonary venous connection,174830006,90
583691000006118,"Congenital malformation of tricuspid valve, unspecified",4374004,50
4824881000006116,Infundibular pulmonic stenosis,204370002,20
270916011,"Heart wall, septum and chamber operations NOS",265466007,200
3852711000006112,Congenital insufficiency of tricuspid valve,83119008,1
96991000006117,Total anomalous pulmonary venous connection,111323005,500
299650019,Malignant hypertensive heart disease NOS,54225002,90
