med_code_id,term,snomed_ct_concept_id,observations
303162012,Acute constipation,197119006,
353853017,Chronic constipation,236069009,
1726521000006115,Chronic constipation,1726521000006104,
484894013,Chronic constipation with overflow,31499008,
303163019,Chronic constipation without overflow,197120000,
2162207016,Constipated,14760008,
982721000006114,Constipation,982721000006105,
25076018,Constipation,14760008,
303161017,Constipation - functional,197118003,
590101000006113,Constipation NOS,14760008,
303166010,Constipation NOS,14760008,
590111000006111,Constipation symptom,14760008,
630451000006116,Drug induced constipation,21782001,
1779381000000111,Education for constipation care,795971000000104,
886331000006117,Faecal and other impaction,62851005,
493967017,Faecal impaction,44635007,
784141000006118,Impaction of the intestine,62851005,
303092017,Impaction of the intestine NOS,278526005,
303091012,Impaction of the intestine unspecified,278526005,
2791650019,Irritable bowel syndrome characterised by constipation,440630006,
303165014,Other specified constipation,14760008,
295382018,Psychogenic constipation,191973007,
131671000006119,Spurious (overflow) diarrhoea,162106006,
906171000006112,[RFC] Constipation,906171000006108,
909031000006119,[RFC] Constipation,909031000006103,
303768016,[X]Other impaction of intestine,62851005,
