med_code_id,term,snomed_ct_concept_id,observations
7507871000006114,Diabetes self management plan,698360004,7
298811000000118,Insulin therapy declined,198321000000100,7000
1704771000006111,Excluded from diabetic retinopathy screening as no current contact details,374781000000105,60
1030541000006112,Adverse reaction to Insulin Glargine,1030541000006108,20
2549196011,Patient offered diabetes structured education programme,1103691000000102,80000
7728071000006113,Referral to diabetes service,715159005,5
1099881000006117,Adverse reaction to Isophane Insulin (Human),1099881000006101,2
223291000000111,Maturity onset diabetes,44054006,20000
264719017,Diabetic - follow-up default,170771004,20000
12121371000006112,Diabetes structured education programme offered,1103691000000102,10000
1013691000006119,Adverse reaction to Intermediate And Long Acting Insulin Preparations,1013691000006103,100
2159960011,Diabetic retinopathy screening not indicated,408396006,30000
7107831000006117,Diabetic education completed,429729007,1000
2550887011,Post-surgical hypoinsulinaemia,190437000,10
345486016,Diabetic neuropathy,230572002,100000
5976641000006118,Admission to diabetic department,308253000,2
5109621000006112,MODY - Maturity onset diabetes glucokinase-related,237604008,60
841011000006112,Severe nonproliferative diabetic retinopathy,312905005,600
1119321000006119,Adverse reaction to Insulin Soluble Aspart,1119321000006103,1
1673581000006117,Ineligibility for diabetic eye screening: Physical disability,1673581000006101,400
7483291000006111,Symptomatic diabetic peripheral neuropathy absent,473134007,400
2159976019,O/E - left eye preproliferative diabetic retinopathy,408412005,40000
8459531000006110,Diabetes monitoring invitation email,1083111000000108,300
8239391000006115,Insulin/carbohydrate ratio - lunch,768201000000108,100
297964010,Diabetic iritis,193489006,200
5192411000006114,Diabetic monitoring status,243860001,900
1799591000000110,Informed dissent not to carry insulin passport,805021000000104,4000
548121000000116,Did not attend DAFNE diabetes structured education programme,307141000000102,500
12490031000006110,Patient offered diabetes structured education programme,416672007,10
282570016,Diabetic stabilisation,182781000,3000
1841451000006115,Diabetic foot screening invitation,1841451000006104,3
1784711000006118,Professional judgement not to engage patient with insulin alert requirements,805521000000106,100
297758012,Diabetic retinopathy NOS,4855003,20000
1573121000006119,Insulin started by GP,1573121000006103,4000
2159854012,Diabetes key contact,932321000000105,3000
6843971000006117,Attended diabetes structured education program,413597006,50
264726017,Diabetes management plan given,170742000,600000
1757221000006115,Suspected diabetes mellitus,1757221000006104,60
8099131000006117,Did not complete dose adjustment for normal eating diabetes structured education programme,306961000000101,6
1063651000006112,"Adverse reaction to Isophane Insulin (Human, Prb)",1063651000006108,1
1479985016,Insulin administration education,385793003,10000
546221000000114,DESMOND diabetes structured education programme completed,306501000000105,10000
308071000000112,Patient consent given for addition to diabetic register,202151000000105,4000
719541000006111,Malnutrition-related diabetes mellitus with coma,420996007,4
12010081000006120,Provision of patient held diabetes record declined,763782001,1
8267041000006114,Diabetes monitoring injection site check declined,819301000000105,20
11633211000006112,Atypical diabetes mellitus,530558861000132096,10
1162341000000110,Insulin treatment stopped,708000007,800
2116661000000116,Referral to community diabetes service,811391000000104,80000
6630561000006115,Diabetic macular oedema not clinically significant,399864000,70
933231000006118,Hypo states in diabetes,658061000000102,1
356111014,Insulin-dependent diabetes mellitus secretory diarrhoea syndrome,237618001,5
2817479019,Hyperglycaemic crisis in diabetes mellitus,441656006,100
299991000000112,Referral to multidisciplinary diabetic clinic,198831000000108,10000
8082951000006116,Attended diabetes education and self management for ongoing and newly diagnosed structured programme,276651000000107,90
2249871000000113,In-house diabetic foot screening first appointment,870701000000106,100
1876341000006117,Diabetic 3 month review,1876341000006101,20000
1858831000006115,AURAS-AF - more time needed to decide on diabetes status,1858831000006104,3
8060931000006110,No diabetic retinopathy,201141000000103,4000
2380481000000115,Enquiry about diabetic erectile dysfunction declined,928851000000109,100
1140951000006112,Adverse reaction to Insulin Isophane Bovine,1140951000006108,1
1627291000006113,Did not complete DESMOND diabetes structured education programme,306991000000107,2000
1140501000006116,Adverse reaction to Soluble Insulin,1140501000006100,1
1550571000000114,Jamaica type diabetes,75524006,30
12085021000006112,Preproliferative diabetic retinopathy of right eye,769181007,20
1628621000006112,Did not attend DESMOND diabetes structured education programme,307171000000108,10000
616461000006112,Diabetes mellitus with renal manifestation,127013003,10000
616971000006114,Diabetic Charcot's arthropathy,201724008,8000
1628311000006111,Did not complete XPERT diabetes structured education programme,307021000000105,700
12115561000006116,Remote diabetes structured education and support programme commenced,1097131000000105,300
1013681000006117,Adverse reaction to Short-Acting Insulin Preparations,1013681000006101,1
6022931000006112,Diabetic macular edema,312912001,7
2532967014,Clinically significant macular oedema of right eye due to diabetes mellitus,769221001,4000
881481000006117,Diabetes + nephropathy,127013003,1000
1891061000006117,Participant in Diabetes Aerobic and Resistance Exercise study,1891061000006101,1
285223014,Seen in diabetic clinic,185229005,4000000
2176771000000110,Referral to community diabetes specialist nurse declined,838731000000104,1000
1583891000006119,Ineligib for diab. eye screen: No longer categorised as diabetic,1583891000006103,100
6546431000006119,On examination - Right diabetic foot at moderate risk,394682001,10
1853141000006111,In-house diabetes foot screening,1853141000006107,2
354651000006115,[X] Adverse reaction to insulins,293177002,30
5127801000006119,Insulin lipoatrophy,238901000,3
12085181000006112,Moderate non-proliferative diabetic retinopathy of right eye,769185003,9
8240001000006116,Mean total daily insulin dose,769581000000107,50
856771000006110,Patient has been told has diabetes,856771000006106,2000
1744461000006117,Self-administration of insulin,1744461000006101,300
1133641000006111,Adverse reaction to Porcine Neutral Insulin,1133641000006107,1
139121000000119,Excepted from diabetes quality indicators - informed dissent,716031000000106,400000
12224731000006112,Moderate non-proliferative diabetic retinopathy,312904009,60
8099311000006114,Did not attend diabetes education and self management for ongoing and newly diagnosed structured programme,307171000000108,200
292503016,Diabetes mellitus NOS with ophthalmic manifestation,25093002,300
8240511000006110,H/O: secondary diabetes mellitus,771571000000102,1
6866901000006111,On examination - right eye stable treated proliferative diabetic retinopathy,414910007,5
1177721000000112,Diabetic on subcutaneous treatment,527691000000107,4000
2159980012,Maculopathy of left eye with diabetes mellitus,769245002,70000
1734281000000117,Diabetic erectile dysfunction review,473209001,80000
6041341000006114,Focal diabetic maculopathy,314011005,5
736791000000117,Excluded from diabetic retinopathy screening as deceased,374631000000101,3000
306110015,Diabetes mellitus during pregnancy - baby not yet delivered,199227004,400
6030001000006116,Insulin-dependent diabetes without complication,313435000,10
2115761000000117,Diabetes self-management plan review,810961000000103,50000
1842001000006118,Diabetic annual review by practice nurse,1842001000006102,10000
2159978018,O/E - left eye proliferative diabetic retinopathy,408414006,20000
12086331000006116,Diabetic maculopathy of left eye,769245002,200
905621000006113,[RFC] Diabetes,905621000006109,6000
8428521000006115,Seen in hospital diabetes antenatal clinic,1054221000000100,50
65526011,Diabetic amyotrophy,39058009,700
546291000000112,XPERT diabetes structured education programme completed,306531000000104,7000
12085171000006110,Moderate nonproliferative diabetic retinopathy of right eye,769185003,3
1132301000006114,Adverse reaction to Insulin Soluble Human,1132301000006105,10
452078013,Subcutaneous injection of insulin,308755006,100000
1707491000000116,Suspected diabetes mellitus,473127005,20000
8240801000006114,Insulin sensitivity factor,771891000000101,40
7565341000006118,Diabetes clinic,702706001,200
1696331000006114,Diabetic dermopathy,238982009,200
1780286017,Diabetic peripheral neuropathy screening,401081006,900000
448261010,Seen by diabetic liaison nurse,305738006,20000
2548430017,Discharged from care of diabetes specialist nurse,417467000,2000
1127141000006114,"Adverse reaction to Insulin (Zinc Suspension, Bovine)",1127141000006105,2
1484867016,Non proliferative diabetic retinopathy,390834004,90000
309179013,Neuropathic diabetic ulcer - foot,201251005,30000
616581000006115,"Diabetes mellitus, adult, + peripheral circulatory disorder",422166005,600
771391000006117,Insulin dependent diabetes mellitus with nephropathy,127013003,100
1488441010,Diabetes medication review,394725008,600000
913801000006118,Insulin dependent diabetes mellitus with polyneuropathy,49455004,20
8267081000006115,Diabetes monitoring injection site not checked,819331000000104,90
1877371000006111,Diabetes clinical management plan no longer in place,1877371000006107,20
6041411000006117,Ischaemic diabetic maculopathy,314014002,5
2549778010,Seen in diabetic nurse consultant clinic,417566006,10000
292626017,Diabetic complication,74627003,300
459705019,Diabetes mellitus excluded,315216001,30000
6670981000006118,Diabetic wet gangrene of the foot,402864004,3
144251000006113,Serum insulin - C-polypeptide level,1015231000000107,2000
2900951000006115,Diabetic eye disease,25093002,2
8259591000006113,Referral to diabetic clinic,809391000000101,200
1916521000006118,Access to online patient diabetes education given,1916521000006102,10000
1824571000006112,Referral to walking away from diabetes programme,1824571000006108,10000
