med_code_id,term,snomed_ct_concept_id,observations
489201000000110,Operations on penis for erectile dysfunction NEC,71588001,
272299019,Ligation of penile veins for impotence,175886001,
850021000033113,Vacuum pumps for erectile dysfunction,850021000033109,
1736291000000114,Referral to erectile dysfunction clinic declined,704049007,
272294012,Revascularisation for impotence,175881006,
882471000006114,Frigidity and impotence,268637002,
1809351000006118,Problem getting an erection,1809351000006102,
302271000000119,Referral to erectile dysfunction clinic,704048004,
371298012,Cannot sustain an erection,248779006,
1734721000000114,Diabetic assessment of erectile dysfunction,473208009,
273365014,Penile injection to produce erection,176566004,
1777409015,Impotence,397803000,
1734281000000117,Diabetic erectile dysfunction review,473209001,
932201000006116,Erectile dysfunction organic,198036002,
1734321000000113,C/O erectile dysfunction,473327001,
1786154013,Erectile dysfunction,397803000,
216655018,Advice about impotence,135885005,
1119471000006114,Adverse reaction to Vacuum pumps for erectile dysfunction,1119471000006105,
981501000006119,Impotency,981501000006103,
2243331000000115,Erectile dysfunction due to diabetes mellitus,867891000000101,
304501018,Impotence of organic origin,198036002,
1734361000000117,Does not complain of erectile dysfunction,473328006,
369101000000114,Treatment of erectile dysfunction NEC,851081000000105,
396141000006114,[X]Male erectile disorder,397803000,
371290017,Cannot get an erection,248773007,
