med_code_id,term,snomed_ct_concept_id,observations
303181000006112,[D]Syndrome sleep apnoea,73430006,
317387017,[D]Apnoea,1023001,
405691012,[D]Hypersomnia with sleep apnoea,79280005,
1003491000006115,Take impression for sleep apnoea appliance,1003491000006104,
505278011,Apnoea alarm monitoring,82808001,
1772651000006110,Central sleep apnoea,27405005,
457106016,[D]Sleep apnoea syndrome,73430006,
219501000000111,Obstructive sleep apnoea,78275009,
267911000006119,Obstructive sleep apnoea,78275009,
317034011,[D]Insomnia with sleep apnoea,41975002,
1964911000006114,Equipment in use - sleep apnoea treatment system,1964911000006105,
981761000006114,Sleep apnea,981761000006105,
200354014,Sleep apnoea,73430006,
136581000006114,Sleep apnoea,73430006,
