med_code_id,term,snomed_ct_concept_id,observations
889731000006111,Rheumatoid arthritis NOS,69896004,
162141000006118,Rheumatoid arthritis of sacro-iliac joint,201776007,
162041000006117,Rheumatoid arthritis of DIP joint of finger,201774005,
309800010,Rheumatoid arthritis of knee,201777003,
371261000000111,Delivery of rehabilitation for rheumatoid arthritis,231041000000107,
2640821000000117,Rheumatoid Arthritis Impact of Disease questionnaire,1048281000000108,
162081000006111,Rheumatoid arthritis of IP joint of toe,201785007,
162301000006117,Rheumatoid lung,398726004,
2275791000000115,Rheumatoid arthritis monitoring verbal invitation,882461000000105,
909191000006119,[RFC] Rheumatoid arthritis,909191000006103,
297641010,Myopathy due to rheumatoid arthritis,193250002,
309802019,Rheumatoid arthritis of ankle,201779000,
309812014,Rheumatoid bursitis,201788009,
312518013,[X]Other seropositive rheumatoid arthritis,239791005,
168761000006118,Rheumatoid arthritis of 1st MTP joint,201783000,
426510015,Rheumatoid arthritis - multiple joint,287006005,
1875581000006112,Rheumatoid arthritis monitoring verbal invitation,1875581000006108,
1875561000006119,Rheumatoid arthritis monitoring invitation,1875561000006103,
451461014,Seropositive errosive rheumatoid arthritis,308143008,
2472447010,Juvenile rheumatoid arthritis,410795001,
162111000006117,Rheumatoid arthritis of MCP joint,201772009,
255925015,O/E-hands-rheumatoid spindling,164456005,
309791014,Rheumatoid arthritis of acromioclavicular joint,201768005,
1932121000006116,3D study - problems with rheumatoid arthritis management,1932121000006100,
2196791000000119,Rheumatoid arthritis annual review,847261000000104,
149911000006117,"Seropositive rheumatoid arthritis, unspecified",239791005,
251794010,H/O: rheumatoid arthritis,161567008,
309827014,Monarticular juvenile rheumatoid arthritis,201799006,
309790010,Rheumatoid arthritis of sternoclavicular joint,201767000,
1875591000006110,Rheumatoid arthritis monitoring invitation first letter,1875591000006106,
309816012,Flare of rheumatoid arthritis,201791009,
116082011,Rheumatoid arthritis,69896004,
16911000006114,Other rheumatoid arthropathy + visceral/systemic involvement,239793008,
463301000006112,Adult-onset Still's disease,239920006,
359292012,Seronegative rheumatoid arthritis,239792003,
2839291014,Disease activity score 28 joint in rheumatoid arthritis,443728000,
2275751000000111,Rheumatoid arthritis monitoring invitation third letter,882441000000109,
309792019,Rheumatoid arthritis of elbow,201769002,
1785231000006116,Except rheumatoid arthritis quality indicator: pt unsuitable,805961000000106,
463281000006113,Adult Still's Disease,239920006,
1875611000006116,Rheumatoid arthritis monitoring invitation third letter,1875611000006100,
162211000006111,Rheumatoid arthritis screen,1016811000000108,
162341000006115,Rheumatoid nodule,33719002,
889841000006113,Still's disease - juvenile R.A,201796004,
1785241000006114,Except rheumatoid arthritis qual indicator: informed dissent,805981000000102,
2275831000000110,Rheumatoid arthritis monitoring telephone invitation,882481000000101,
485614018,Rheumatoid nodule,33719002,
2275711000000112,Rheumatoid arthritis monitoring invitation second letter,882421000000102,
1778239014,Rheumatoid lung disease,398726004,
297544012,Polyneuropathy in rheumatoid arthritis,193180002,
1880371000006117,Rheumatoid arthritis resolved,1880371000006101,
309788014,Other rheumatoid arthritis of spine,9631008,
755441000006119,Juvenile rheumatoid arthritis - Still's disease,410795001,
461323013,[V]Screening for rheumatoid arthritis,171239004,
168751000006115,Rheumatoid arthritis and other inflammatory polyarthropathy,69896004,
48361011,Rheumatoid carditis,28880005,
905301000006114,[RFC] Rheumatoid,905301000006105,
424981000006114,[X]Rheumatoid arthritis+involvement/other organs or systems,239793008,
219021000000114,Rheumatoid arthrit. monitoring,275902004,
1779323014,Rheumatoid vasculitis,400054000,
125937016,Acute polyarticular juvenile rheumatoid arthritis,75822003,
300221014,Rheumatoid myocarditis,195136004,
2275501000000119,Rheumatoid arthritis monitoring invitation,882321000000105,
162051000006115,Rheumatoid arthritis of distal radio-ulnar joint,201770001,
309787016,Rheumatoid arthritis of cervical spine,201764007,
309805017,Rheumatoid arthritis of other tarsal joint,429192004,
162231000006117,Rheumatoid arthropathy + visceral/systemic involvement NOS,239793008,
1875571000006114,Rheumatoid arthritis monitoring telephone invitation,1875571000006105,
309789018,Rheumatoid arthritis of shoulder,201766009,
162101000006115,Rheumatoid arthritis of lesser MTP joint,201784006,
1786545019,Rheumatoid lung,398726004,
309804018,Rheumatoid arthritis of talonavicular joint,201781003,
1785221000006119,Exception reporting: rheumatoid arthritis quality indicators,805941000000105,
309803012,Rheumatoid arthritis of subtalar joint,201780002,
312520011,[X]Other specified rheumatoid arthritis,69896004,
2275671000000111,Rheumatoid arthritis monitoring invitation first letter,882401000000106,
162191000006110,Rheumatoid arthritis of tibio-fibular joint,201778008,
1875601000006119,Rheumatoid arthritis monitoring invitation second letter,1875601000006103,
309798015,Rheumatoid arthritis of hip,201775006,
309828016,Juvenile rheumatoid arthritis NOS,410795001,
312534011,"[X]Seropositive rheumatoid arthritis, unspecified",239791005,
162131000006111,Rheumatoid arthritis of PIP joint of finger,201773004,
309824019,Juvenile rheumatoid arthropathy unspecified,410793008,
309794018,Rheumatoid arthritis of wrist,201771002,
2842168015,Disease activity score in rheumatoid arthritis,443349002,
311496011,Fibrosing alveolitis associated with rheumatoid arthritis,10713006,
123542016,Pauciarticular juvenile rheumatoid arthritis,74391003,
