med_code_id,term,snomed_ct_concept_id,observations
129661016,Thrombotic thrombocytopenic purpura,78129009,
121892018,Heparin-induced thrombocytopenia,73397007,
85978011,Dilutional thrombocytopenia,51624005,
100361000006118,Thrombocytopenic purpura with absent radius,85589009,
1887321000006117,Heparin-induced thrombocytopenia,73397007,
53913017,Idiopathic thrombocytopenic purpura,32273002,
294384012,Thrombocytopenia due to extracorporeal circulation of blood,191323001,
450586010,Thrombocytopenia due to massive blood transfusion,307342006,
294383018,Thrombocytopenia due to drugs,191322006,
351315014,Essential thrombocytopenia NOS,267534000,
444860010,Thrombocytopenic purpura,302873008,
294389019,Thrombocytopenia NOS,302215000,
123869011,Secondary thrombocytopenia,154826009,
100341000006117,Thrombocytopenic eczema with immunodeficiency,36070007,
351323011,Hereditary thrombocytopenia NEC,267535004,
1992461000006111,VTE risk assessment - thrombocytopenia,1992461000006107,
294385013,Other specified secondary thrombocytopenia,74576004,
294614011,[X]Other primary thrombocytopenia,267534000,
399236019,Secondary thrombocytopenia NOS,74576004,
1490557013,Auto-immune thrombocytopenia,128091003,
399233010,Primary thrombocytopenia,267534000,
399234016,Congenital thrombocytopenic purpura,267535004,
294376013,Other specified primary thrombocytopenia,302873008,
758831000006117,ITP - idiopathic thrombocytopenic purpura,32273002,
399235015,Primary thrombocytopenia NOS,267534000,
294375012,[X]Essential thrombocytopenia NOS,302215000,
894531000006116,Perinatal thrombocytopenia,23205009,
1227080015,Thrombocytopenia,302215000,
786681000006113,Idiopathic thrombocytopenic purpura,32273002,
