med_code_id,term,snomed_ct_concept_id,observations
1654017,ABO incompatibility reaction,341009,
441241000006114,"Accid cut,puncture,perf,h'ge - transfusion",242995009,
900721000006114,Accid.wound in transfusion,216875008,
1014401000006114,Adverse reaction to Parenteral Iron Therapy,1014401000006105,
330937014,Adverse reaction to blood or blood products NOS,419887003,
468291000006117,Adverse reaction to iron sorbitol injection,293359002,
469361000006110,Adverse reaction to natural blood and blood products,293315006,
184781017,Autotransfusion of red cells,117066004,
877391000006112,Blood cell transfusion,652651000000105,
877371000006111,Blood cell transfusion NOS,652651000000105,
877471000006115,Blood expander transfusion,78281001,
351161000000119,Blood products Band 1,221191000000101,
351181000000111,Blood products Band 2,221201000000104,
428230014,Blood transfusion,116859006,
1488525011,Blood transfusion (specialty),394819004,
1594091000000117,Blood transfusion declined,699128009,
905171000006117,Blood transfusion referral,905171000006101,
518631000006110,"Blood transfusion with complication, without blame",217079007,
329192016,Contaminated substance transfused,216994004,
900941000006116,Contaminent transfused,216993005,
877581000006118,Cut-down blood transfusion,180226000,
1594771000000118,Does not wish to receive blood products,727431000000105,
900881000006115,Excess fluid/blood transfused,671691000000105,
650631000006113,Excessive amount of blood or other fluid transfused,216954001,
453231014,Extravasation following blood transfusion,309750008,
329113013,Failure of sterile precautions during transfusion,216930006,
329078012,Foreign object left in body during transfusion,216901004,
325211011,Infection after transfusion,213315003,
744791000006116,Intraarterial blood transfusion,180206004,
871141000006114,Intrauterine exch. transfusion,45460008,
987871000006115,Intravenous blood transfusion,116859006,
877381000006114,Intravenous blood transfusion,652651000000105,
394631015,Intravenous blood transfusion NEC,301842006,
278753010,Intravenous blood transfusion of packed cells,180207008,
278754016,Intravenous blood transfusion of platelets,180208003,
713681000006115,Mechanical failure of apparatus during transfusion,216975009,
329203013,Mismatched blood transfused,217005002,
484634012,Natural blood and blood product poisoning,30564001,
324165013,Natural blood or blood product poisoning NOS,30564001,
900831000006116,Not sterile in transfusion,216930006,
278751012,Other blood transfusion,116859006,
278760016,Other blood transfusion NOS,116859006,
278762012,Other intravenous transfusion,5447007,
278767018,Other intravenous transfusion NOS,5447007,
278759014,Other specified other blood transfusion,116859006,
278766010,Other specified other intravenous transfusion,5447007,
325225012,Other transfusion reaction,82545002,
877401000006114,Packed blood cell transfusion,180207008,
43111000033110,Parenteral Iron Therapy,43111000033106,
877441000006111,Plasma transfusion,13569004,
987881000006117,Platelet transfusion,180208003,
928801000006117,Platelet transfusion,652691000000102,
860921000006119,Platelet transfusion,549091000000107,
223551000000117,Post-transfusion purpura,73162004,
877361000006116,Replacement blood transfusion,39188002,
2672611011,Rhesus incompatibility reaction,88924008,
26714014,Septic shock due to transfusion,15765005,
325220019,Serum rash,213323001,
877461000006110,Serum transfusion,617391000000101,
262889019,Support transfusion therapy,169410004,
450586010,Thrombocytopenia due to massive blood transfusion,307342006,
537191000000118,Too soon after blood transfusion for reliable screening,302721000000105,
257749011,Transfusion centre ref. no.,165766007,
129896018,Transfusion of blood expander,78281001,
1233724012,Transfusion of coagulation factor,74287006,
23163011,Transfusion of plasma,13569004,
375861000000110,Transfusion of plasma NEC,13569004,
278764013,Transfusion of platelets NEC,12719002,
278763019,Transfusion of serum NEC,5447007,
325227016,Transfusion reaction NOS,82545002,
1788057010,Transfusions,116859006,
860931000006116,Whole blood transfusion,172899005,
928791000006118,Whole blood transfusion,652651000000105,
460936014,"[V]Blood transfusion, without reported diagnosis",454351000000109,
352071000006112,[X] Adverse reaction to blood or blood products NOS,419887003,
354761000006110,[X] Adverse reaction to iron sorbitol injection,293359002,
355791000006115,[X] Adverse reaction to natural blood and blood products,419887003,
1817451000006117,[X]Blood transfusion,116859006,
461427010,"[X]Blood transfusion, without reported diagnosis",413731000000107,
