med_code_id,term,snomed_ct_concept_id,observations
113331011,Acute cystitis,68226007,
61206018,Acute pyelonephritis,36689008,
304071011,Acute pyelonephritis NOS,36689008,
304069011,Acute pyelonephritis with medullary necrosis,197769007,
304068015,Acute pyelonephritis without medullary necrosis,197768004,
2006591000006111,Adverse reaction to Numark Cystitis Treatment,2006591000006107,
2277901000000116,CAUTI - catheter-associated urinary tract infection,700372006,
39884018,Calculous pyelonephritis,23754003,
2277891000000117,Catheter-associated urinary tract infection,700372006,
65119018,Cystitis,38822007,
304209017,Cystitis NOS,38822007,
22733019,Cystitis cystica,13285005,
304192013,Cystitis in diseases EC,197845000,
304202014,Cystitis in diseases EC NOS,197845000,
411392011,Cystitis of pregnancy,275412000,
354323012,Emphysematous pyelonephritis,236373001,
801221000006116,Genitourinary tract infection in pregnancy - deliv +p/n comp,199107005,
305972011,Genitourinary tract infection in pregnancy - delivered,199106001,
305974012,Genitourinary tract infection in pregnancy - not delivered,199108000,
398349016,Genitourinary tract infection in pregnancy NOS,267204006,
305971016,Genitourinary tract infection in pregnancy unspecified,267204006,
801271000006115,Genitourinary tract infection in pregnancy with p/n comp,199109008,
398348012,Genitourinary tract infections in pregnancy,267204006,
2318231000033110,Numark Cystitis Treatment,2318231000033106,
2247821000000119,On urinary tract infection care pathway,869691000000108,
304208013,Other cystitis NOS,38822007,
304206012,Other specified cystitis,38822007,
216611000006114,Post operative urinary tract infection,197926005,
112408019,Prostatocystitis,67685000,
304083013,Pyelonephritis and pyonephrosis unspecified,129128006,
304087014,Pyelonephritis in diseases EC,197782004,
304084019,Pyelonephritis unspecified,45816000,
183171000006116,Recurrent UTI,197927001,
304205011,Recurrent cystitis,197853008,
304319014,Recurrent urinary tract infection,197927001,
183141000006112,Recurrent urinary tract infection,197927001,
183161000006111,Recurrent urinary tract infections,197927001,
8285011,Subacute cystitis,4324001,
304182017,Submucous cystitis,197837005,
459357017,Suspected UTI,314940005,
450823012,UTI - urinary tract infection in pregnancy,307534009,
304090015,Unspecified pyelonephritis NOS,45816000,
74741000006111,Urinary Tract Infection,74741000006107,
113884018,Urinary tract infection,68566005,
886811000006115,Urinary tract infection NOS,68566005,
1490641019,Urinary tract infection complicating pregnancy,307534009,
305603019,Urinary tract infection following abortive pregnancy,609491002,
305977017,Urinary tract infection following delivery,199111004,
74781000006117,"Urinary tract infection, site not specified",68566005,
304323018,"Urinary tract infection, site not specified NOS",68566005,
260297011,Urine culture - Bacteria OS,167575008,
260291012,Urine culture - E. coli,167570003,
75491000006112,Urine culture - Escherich.coli,167570003,
260292017,Urine culture - Proteus,167571004,
260296019,Urine culture - Pseudomonas,167574007,
260295015,Urine culture - Staph. albus,167573001,
75551000006117,Urine culture - Str. faecalis,167572006,
1761271000006118,[SHHAPT] Urinary tract infection,1761271000006102,
305203014,[X]Other cystitis,38822007,
308190014,[X]Other genitourinary tract infections following delivery,450451000000108,
417401000006111,[X]Other+unspcf genitourinary tract infection in pregnancy,267204006,
