MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,READcode
12566,Chronic kidney disease stage 3,,,1Z12.00
12479,Chronic kidney disease stage 4,,,1Z13.00
12585,Chronic kidney disease stage 5,,,1Z14.00
94965,Chronic kidney disease stage 3A,,,1Z15.00
95179,Chronic kidney disease stage 3B,,,1Z16.00
94793,Chronic kidney disease stage 3 with proteinuria,,,1Z1B.00
95145,CKD stage 3 with proteinuria,,,1Z1B.11
95123,Chronic kidney disease stage 3 without proteinuria,,,1Z1C.00
95188,CKD stage 3 without proteinuria,,,1Z1C.11
95408,Chronic kidney disease stage 3A with proteinuria,,,1Z1D.00
95571,CKD stage 3A with proteinuria,,,1Z1D.11
95175,Chronic kidney disease stage 3A without proteinuria,,,1Z1E.00
95176,CKD stage 3A without proteinuria,,,1Z1E.11
95178,Chronic kidney disease stage 3B with proteinuria,,,1Z1F.00
95180,CKD stage 3B with proteinuria,,,1Z1F.11
95177,Chronic kidney disease stage 3B without proteinuria,,,1Z1G.00
100633,CKD stage 3B without proteinuria,,,1Z1G.11
95122,Chronic kidney disease stage 4 with proteinuria,,,1Z1H.00
99312,CKD stage 4 with proteinuria,,,1Z1H.11
95406,Chronic kidney disease stage 4 without proteinuria,,,1Z1J.00
97587,CKD stage 4 without proteinuria,,,1Z1J.11
95508,Chronic kidney disease stage 5 with proteinuria,,,1Z1K.00
99160,CKD stage 5 with proteinuria,,,1Z1K.11
95405,Chronic kidney disease stage 5 without proteinuria,,,1Z1L.00
97683,CKD stage 5 without proteinuria,,,1Z1L.11
104619,Chronic kidney disease stage 3,,,K053.00
104963,Chronic kidney disease stage 4,,,K054.00
105151,Chronic kidney disease stage 5,,,K055.00
