MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,readcode,readterm,Grouping,Grouping definitions*,Unnamed: 5,Unnamed: 6
12350,,,,9iC..00,African - ethnic category 2001 census,4,1,White  ,English/Welsh/Scottish/Northern Irish/British; Irish; Gypsy or Traveller; Any other white background
12351,,,,9i0..00,British or mixed British - ethnic category 2001 census,1,2,Mixed/Multiple,White and Black Caribbean; White and Black African; White and Asian; Any other Mixed/Multiple ethnic background
12352,,,,9i20.00,English - ethnic category 2001 census,1,3,Asian/Asian British,Indian; Pakistani; Bangladeshi; Chinese; Any other Asian background
12355,,,,9i27.00,Greek - ethnic category 2001 census,1,4,Black/African/Caribbean/Black British,African; Caribbean; Any other Black/African/Caribbean background
12412,,,,9i2B.00,Italian - ethnic category 2001 census,1,5,Other ethnic group,Arab; Any other ethnic group
12414,,,,9i7..00,Indian or British Indian - ethnic category 2001 census,3,,,
12420,,,,9iF2.00,Filipino - ethnic category 2001 census,3,,,
12421,,,,9i2..00,Other White background - ethnic category 2001 census,1,,* comes from https://www.ethnicity-facts-figures.service.gov.uk/ethnic-groups,
12432,,,,9iB..00,Caribbean - ethnic category 2001 census,4,,,
12434,,,,9iF..00,Other - ethnic category 2001 census,5,,,
12436,,,,9i21.00,Scottish - ethnic category 2001 census,1,,,
12437,,,,9i4..00,White and Black African - ethnic category 2001 census,2,,,
12443,,,,9iD0.00,Somali - ethnic category 2001 census,4,,,
12444,,,,9S12.00,Other white ethnic group,1,,,
12460,,,,9i8..00,Pakistani or British Pakistani - ethnic category 2001 census,3,,,
12467,,,,9i2F.00,Polish - ethnic category 2001 census,1,,,
12468,,,,9iE..00,Chinese - ethnic category 2001 census,3,,,
12473,,,,9iF1.00,Japanese - ethnic category 2001 census,3,,,
12513,,,,9iA..00,Other Asian background - ethnic category 2001 census,3,,,
12532,,,,9i1..00,Irish - ethnic category 2001 census,1,,,
12591,,,,9i2T.00,Other White or White unspecified ethnic category 2001 census,1,,,
12608,,,,9iA4.00,Sri Lankan - ethnic category 2001 census,3,,,
12638,,,,9i5..00,White and Asian - ethnic category 2001 census,2,,,
12653,,,,9iA8.00,British Asian - ethnic category 2001 census,3,,,
12668,,,,9SH..00,Other Asian ethnic group,3,,,
12681,,,,9i22.00,Welsh - ethnic category 2001 census,1,,,
12696,,,,9SB..00,"Other ethnic, mixed origin",2,,,
12706,,,,9i63.00,Chinese and White - ethnic category 2001 census,2,,,
12719,,,,9iF0.00,Vietnamese - ethnic category 2001 census,3,,,
12730,,,,9iF3.00,Malaysian - ethnic category 2001 census,3,,,
12742,,,,9i3..00,White and Black Caribbean - ethnic category 2001 census,2,,,
12746,,,,9i29.00,Turkish - ethnic category 2001 census,3,,,
12756,,,,9iFH.00,South and Central American - ethnic category 2001 census,5,,,
12757,,,,9SJ..00,Other ethnic group,5,,,
12760,,,,9iA5.00,Tamil - ethnic category 2001 census,3,,,
12769,,,,9i28.00,Greek Cypriot - ethnic category 2001 census,1,,,
12873,,,,9i6..00,Other Mixed background - ethnic category 2001 census,2,,,
12887,,,,9iA6.00,Sinhalese - ethnic category 2001 census,3,,,
25422,,,,9i2K.00,Albanian - ethnic category 2001 census,1,,,
25451,,,,9iFF.00,Moroccan - ethnic category 2001 census,4,,,
25937,,,,9iFD.00,Iranian - ethnic category 2001 census,5,,,
26246,,,,9iFG.00,Latin American - ethnic category 2001 census,5,,,
26310,,,,9S14.00,Other white British ethnic group,1,,,
26341,,,,9i2J.00,Kosovan - ethnic category 2001 census,1,,,
