MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
27557,,,,229,2,0,0,N043z00,Juvenile rheumatoid arthritis NOS,February 2009
49067,,,,35,1,0,0,N040B00,Rheumatoid arthritis of hip,February 2009
50644,,,,38,2,0,0,N043000,Juvenile rheumatoid arthropathy unspecified,February 2009
56202,,,,43,1,0,0,Nyu1G00,"[X]Seropositive rheumatoid arthritis, unspecified",February 2009
36276,,,,129,1,0,0,N043300,Monarticular juvenile rheumatoid arthritis,February 2009
9707,,,,956,5,0,0,N047.00,Seropositive errosive rheumatoid arthritis,February 2009
48832,,,,115,0,0,0,N040700,Rheumatoid arthritis of wrist,February 2009
844,,,,266181,21844,2745,0,N040.00,Rheumatoid arthritis,February 2009
49227,,,,30,2,0,0,N042.00,Other rheumatoid arthropathy + visceral/systemic involvement,February 2009
21358,,,,52,6,0,0,N040200,Rheumatoid arthritis of shoulder,February 2009
30548,,,,230,3,0,0,N040N00,Rheumatoid vasculitis,February 2009
100914,,,,3,0,0,0,N040400,Rheumatoid arthritis of acromioclavicular joint,November 2010
100776,,,,4,0,0,0,N040C00,Rheumatoid arthritis of sacro-iliac joint,November 2010
107963,,,,1,0,0,0,N040300,Rheumatoid arthritis of sternoclavicular joint,April 2014
70221,,,,28,0,0,0,Nyu1200,[X]Other specified rheumatoid arthritis,February 2009
8350,,,,4979,240,5,0,N040T00,Flare of rheumatoid arthritis,February 2009
59738,,,,35,0,0,0,N040500,Rheumatoid arthritis of elbow,February 2009
41941,,,,47,1,0,0,N040900,Rheumatoid arthritis of PIP joint of finger,February 2009
49787,,,,6,0,0,0,G5y8.00,Rheumatoid myocarditis,February 2009
44743,,,,21,0,0,0,N040000,Rheumatoid arthritis of cervical spine,February 2009
9954,,,,263,6,0,0,H570.00,Rheumatoid lung,February 2009
93715,,,,22,0,0,0,Nyu1100,[X]Other seropositive rheumatoid arthritis,February 2009
37431,,,,39,1,0,0,N042z00,Rheumatoid arthropathy + visceral/systemic involvement NOS,February 2009
43816,,,,27,0,0,0,G5yA.00,Rheumatoid carditis,February 2009
51239,,,,69,1,0,0,N040F00,Rheumatoid arthritis of ankle,February 2009
71784,,,,7,0,0,0,N040J00,Rheumatoid arthritis of other tarsal joint,February 2009
31724,,,,115,11,0,0,N04y000,Rheumatoid lung,February 2009
51238,,,,17,0,0,0,N040K00,Rheumatoid arthritis of 1st MTP joint,February 2009
107791,,,,1,0,0,0,N040E00,Rheumatoid arthritis of tibio-fibular joint,March 2014
27603,,,,1847,30,0,0,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy,February 2009
31054,,,,391,25,0,0,N040S00,Rheumatoid arthritis - multiple joint,February 2009
