MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
5051,,,,13474,236,0,0,G61..00,Intracerebral haemorrhage,2009-02-01 00:00:00
6960,,,,10565,354,1,0,G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,2009-02-01 00:00:00
18604,,,,1834,32,0,0,G61..12,Stroke due to intracerebral haemorrhage,2009-02-01 00:00:00
31595,,,,113,2,0,0,G610.00,Cortical haemorrhage,2009-02-01 00:00:00
40338,,,,190,2,0,0,G611.00,Internal capsule haemorrhage,2009-02-01 00:00:00
46316,,,,101,0,0,0,G612.00,Basal nucleus haemorrhage,2009-02-01 00:00:00
13564,,,,1423,22,0,0,G613.00,Cerebellar haemorrhage,2009-02-01 00:00:00
7912,,,,300,3,0,0,G614.00,Pontine haemorrhage,2009-02-01 00:00:00
62342,,,,13,1,0,0,G615.00,Bulbar haemorrhage,2009-02-01 00:00:00
30045,,,,28,1,0,0,G616.00,External capsule haemorrhage,2009-02-01 00:00:00
57315,,,,30,2,0,0,G618.00,"Intracerebral haemorrhage, multiple localized",2009-02-01 00:00:00
107440,,,,49,0,0,0,G619.00,Lobar cerebral haemorrhage,2013-12-01 00:00:00
31060,,,,98,0,0,0,G61X.00,"Intracerebral haemorrhage in hemisphere, unspecified",2009-02-01 00:00:00
28314,,,,202,0,0,0,G61X000,"Left sided intracerebral haemorrhage, unspecified",2009-02-01 00:00:00
19201,,,,179,0,0,0,G61X100,"Right sided intracerebral haemorrhage, unspecified",2009-02-01 00:00:00
3535,,,,1810,80,0,0,G61z.00,Intracerebral haemorrhage NOS,2009-02-01 00:00:00
51326,,,,35,0,0,0,G63y.00,Other precerebral artery occlusion,2009-02-01 00:00:00
23671,,,,1208,7,0,0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries,2009-02-01 00:00:00
24446,,,,287,5,0,0,G63y100,Cerebral infarction due to embolism of precerebral arteries,2009-02-01 00:00:00
26424,,,,971,5,0,0,G64z400,Infarction of basal ganglia,2009-02-01 00:00:00
