MedCodeId,Term,Observations,SNOMED_CT_Concept_ID,clinicalevents,referralevents,testevents,immunisationevents,readcode,readterm,databasebuild
160,,,,589,136,0,0,8D36.00,Removable artificial eye,2009-02-01 00:00:00
510,,,,34573,505,1,0,6689,Registered blind,2009-02-01 00:00:00
555,,,,34674,11039,113,0,668B.00,Poor visual acuity,2009-02-01 00:00:00
567,,,,77950,23189,1,0,F48..00,Visual disturbances,2009-02-01 00:00:00
570,,,,22147,9971,2,0,F484.00,Visual field defects,2009-02-01 00:00:00
746,,,,89655,19329,2,0,F48y000,Blurred vision NOS,2009-02-01 00:00:00
1444,,,,43320,21230,14,0,F49z.00,Visual loss NOS,2009-02-01 00:00:00
1714,,,,21508,3725,0,0,1B76.00,Temporary visual disturbance,2009-02-01 00:00:00
1806,,,,1045,34,1,0,8D3..00,Visual aid,2009-02-01 00:00:00
1990,,,,4169,449,1,0,F490.00,"Blindness, both eyes",2009-02-01 00:00:00
3268,,,,20134,5116,2,0,1B75.00,Loss of vision,2009-02-01 00:00:00
3553,,,,15517,3495,0,0,1B72.12,Double vision,2009-02-01 00:00:00
3839,,,,190,34,1,0,22EF.00,O/E - has one eye,2009-02-01 00:00:00
3851,,,,2176,107,0,0,F495000,"Blindness, one eye, unspecified",2009-02-01 00:00:00
3852,,,,1826,50,0,0,2B7A.11,O/E - blind L-eye,2009-02-01 00:00:00
4086,,,,303,11,0,0,P3...00,Congenital eye anomalies,2009-02-01 00:00:00
4147,,,,242,39,0,0,F483.00,Other binocular vision disorders,2009-02-01 00:00:00
4628,,,,844,42,0,0,7200,Excision of eye,2009-02-01 00:00:00
5046,,,,2986,88,0,0,7200100,Enucleation of eyeball,2009-02-01 00:00:00
5991,,,,17823,3350,0,0,1B72.00,Diplopia/double vision,2009-02-01 00:00:00
6020,,,,3132,412,0,0,F49..11,Impaired vision,2009-02-01 00:00:00
6726,,,,994,189,0,0,F484G11,Tunnel vision,2009-02-01 00:00:00
7203,,,,1848,250,0,0,F492.00,"Low vision, both eyes",2009-02-01 00:00:00
8186,,,,9116,2231,0,0,1B77.00,Deteriorating vision,2009-02-01 00:00:00
8308,,,,119,11,0,0,Z9E1.00,Provision of orbital or ocular prosthesis,2009-02-01 00:00:00
8367,,,,9450,1693,0,0,F49..00,Blindness and low vision,2009-02-01 00:00:00
9835,,,,3709,173,0,0,2BBL.00,O/E - diabetic maculopathy present both eyes,2009-02-01 00:00:00
10388,,,,1918,62,0,0,2B6A.11,O/E - blind R-eye,2009-02-01 00:00:00
10833,,,,19,2,0,0,Z9E1400,Provision of orbital prosthesis,2009-02-01 00:00:00
10868,,,,43,3,0,0,F404100,Blind hypotensive eye,2009-02-01 00:00:00
10911,,,,699,109,0,0,Z9E1100,Provision of artificial eye,2009-02-01 00:00:00
12194,,,,5200,521,0,0,F48z.00,Visual disturbance NOS,2009-02-01 00:00:00
12407,,,,742,56,0,0,F4H..00,Disorders of optic nerve and visual pathways,2009-02-01 00:00:00
12493,,,,3059,1594,0,0,F49..12,Low vision,2009-02-01 00:00:00
13102,,,,11630,70,53,0,2BBW.00,O/E - right eye diabetic maculopathy,2009-02-01 00:00:00
13107,,,,869,15,0,0,2BBn.00,O/E - left eye clinically significant macular oedema,2009-02-01 00:00:00
13108,,,,11845,55,58,0,2BBX.00,O/E - left eye diabetic maculopathy,2009-02-01 00:00:00
13152,,,,2266,15,0,0,668C.00,Certificate of vision impairment,2009-02-01 00:00:00
15209,,,,999,269,0,0,F484z00,Visual field defects NOS,2009-02-01 00:00:00
15269,,,,897,84,0,0,F495.00,"Profound impairment, one eye",2009-02-01 00:00:00
15604,,,,8442,511,0,0,1B7Z.00,Visual symptom NOS,2009-02-01 00:00:00
15605,,,,16,6,0,0,29J3.00,O/E - visual suppression,2009-02-01 00:00:00
16258,,,,350,54,0,0,1484,H/O: visual disturbance,2009-02-01 00:00:00
16535,,,,685,20,0,0,F4K5.00,Nystagmus and other irregular eye movements,2009-02-01 00:00:00
16720,,,,370,52,0,0,F484D00,Peripheral visual field defect,2009-02-01 00:00:00
17312,,,,345,32,0,0,14T2.00,H/O: artificial eye lens,2009-02-01 00:00:00
18070,,,,182,9,0,0,ZV43000,[V]Has artificial eye globe,2009-02-01 00:00:00
18109,,,,272,43,0,0,14T1.00,H/O: artificial eyeglobe,2009-02-01 00:00:00
18462,,,,3862,196,0,0,F482.00,Diplopia (double vision),2009-02-01 00:00:00
19646,,,,165,124,0,0,8D3..13,Visual aid provision,2009-02-01 00:00:00
20256,,,,711,284,0,0,F493.00,"Visual loss, both eyes unqualified",2009-02-01 00:00:00
20446,,,,11872,12,0,0,2B65.00,O/E - visual acuity R-eye=6/18,2009-02-01 00:00:00
20585,,,,67,0,0,0,F4H7.00,Visual cortex disorder,2009-02-01 00:00:00
20607,,,,105,21,0,0,F496000,"Low vision, one eye, unspecified",2009-02-01 00:00:00
20736,,,,654,75,0,0,F481100,Sudden visual loss,2009-02-01 00:00:00
20757,,,,542,7,0,0,8D3..12,Spectacles provision,2009-02-01 00:00:00
21491,,,,221,51,0,0,22E6.12,O/E - glass eye,2009-02-01 00:00:00
23020,,,,51497,40,0,0,2B63.00,O/E - visual acuity R-eye =6/9,2009-02-01 00:00:00
23021,,,,20276,20,0,0,2B64.00,O/E - visual acuity R-eye=6/12,2009-02-01 00:00:00
23022,,,,4336,3,0,0,2B67.00,O/E - visual acuity R-eye=6/36,2009-02-01 00:00:00
23023,,,,50314,34,0,0,2B73.00,O/E - visual acuity L-eye =6/9,2009-02-01 00:00:00
23025,,,,20344,19,0,0,2B74.00,O/E - visual acuity L-eye=6/12,2009-02-01 00:00:00
23026,,,,4452,5,0,0,2B77.00,O/E - visual acuity L-eye=6/36,2009-02-01 00:00:00
23027,,,,11534,16,0,0,2B75.00,O/E - visual acuity L-eye=6/18,2009-02-01 00:00:00
23028,,,,3323,6,0,0,2B78.00,O/E - visual acuity L-eye=6/60,2009-02-01 00:00:00
23742,,,,251,45,0,0,F49z.11,Acquired blindness,2009-02-01 00:00:00
24923,,,,184,58,0,0,Z9E2.00,Optical low vision aid provision,2009-02-01 00:00:00
25056,,,,466,7,0,0,8D3..11,Glasses provision,2009-02-01 00:00:00
25168,,,,3,0,0,0,F496200,"Lesser eye: severe VI, Better eye: near normal vision",2009-02-01 00:00:00
25547,,,,467,42,0,0,F49y.00,"Visual loss, one eye, unqualified",2009-02-01 00:00:00
25831,,,,1065,83,0,0,F496.00,"Low vision, one eye",2009-02-01 00:00:00
25888,,,,1018,55,0,0,2BBm.00,O/E - right eye clinically significant macular oedema,2009-02-01 00:00:00
26722,,,,773,24,0,0,2B6A.00,O/E-R-eye perceives light only,2009-02-01 00:00:00
26723,,,,5579,3,0,0,2B66.00,O/E - visual acuity R-eye=6/24,2009-02-01 00:00:00
26726,,,,5550,5,0,0,2B76.00,O/E - visual acuity L-eye=6/24,2009-02-01 00:00:00
26850,,,,19,2,0,0,F465300,After-cataract with vision obscured,2009-02-01 00:00:00
27983,,,,35,1,0,0,7200z00,Excision of eye NOS,2009-02-01 00:00:00
28414,,,,577,160,0,0,Z7CLD00,Distortion of visual image,2009-02-01 00:00:00
28993,,,,509,63,0,0,22E6.11,O/E - false eye,2009-02-01 00:00:00
29063,,,,626,9,0,0,12A3.00,FH: Blindness/low vision,2009-02-01 00:00:00
29387,,,,49,7,0,0,F491000,"One eye blind, one eye low vision",2009-02-01 00:00:00
30025,,,,1283,12,0,0,8D33.00,Provision of spectacles,2009-02-01 00:00:00
31884,,,,285,64,0,0,22E6.13,O/E - prosthetic eye,2009-02-01 00:00:00
32044,,,,322,13,0,0,SJ0z.11,Blindness - traumatic - NOS,2009-02-01 00:00:00
32467,,,,269,6,0,0,F4H7300,Cortical blindness,2009-02-01 00:00:00
32583,,,,35,9,0,0,Z9E1200,Provision of removable artificial eye,2009-02-01 00:00:00
32905,,,,83,23,0,0,Z96..00,Provision for visual and hearing impairment,2009-02-01 00:00:00
33013,,,,3150,4,0,0,2B68.00,O/E - visual acuity R-eye=6/60,2009-02-01 00:00:00
33014,,,,387,1,0,0,2B6B.00,O/E - R-eye completely blind,2009-02-01 00:00:00
33015,,,,1723,7,0,0,2B69.00,O/E -R-eye counts fingers only,2009-02-01 00:00:00
33016,,,,379,0,0,0,2B7B.00,O/E - L-eye completely blind,2009-02-01 00:00:00
33017,,,,869,7,0,0,2B7C.00,O/E - L-eye sees hand movements,2009-02-01 00:00:00
33261,,,,37,11,0,0,2BJ7.00,O/E - poor visual fixation,2009-02-01 00:00:00
33447,,,,250,25,0,0,F492z00,"Low vision, both eyes NOS",2009-02-01 00:00:00
34435,,,,74,2,0,0,F4K5z00,Nystagmus or other irregular eye movement NOS,2009-02-01 00:00:00
34957,,,,4,0,0,0,F4H6100,Visual pathway disorder due to vascular disorder,2009-02-01 00:00:00
35515,,,,1909,8,0,0,2B79.00,O/E -L-eye counts fingers only,2009-02-01 00:00:00
35731,,,,410,54,29,0,3124,Visual testing abnormal,2009-02-01 00:00:00
37086,,,,50,1,0,0,F404200,Blind hypertensive eye,2009-02-01 00:00:00
37146,,,,33,2,0,0,F483000,Unspecified binocular vision disorder,2009-02-01 00:00:00
37705,,,,69,3,0,0,Z9E3100,Provision of magnifier low vision aid - near,2009-02-01 00:00:00
37893,,,,163,6,0,0,F496z00,"Low vision, one eye NOS",2009-02-01 00:00:00
