medcodeid	term	originalreadcode	cleansedreadcode	snomedctconceptid	snomedctdescriptionid	release
300752014	"Bleeding haemorrhoids NOS"	"G8480"	"G848000"	51551000	515461000006111	
1216226011	"External bleeding haemorrhoids"	"G8450"	"G845000"	26421009	1216226011	
802131000006119	"GIB - Gastrointestinal bleeding"	"J68z-1"	"J68z.11"	74474003	802131000006119	
502715010	"Gastrointestinal haemorrhage"	"J68"	"J68..00"	74474003	502715010	
396403016	"Gastrointestinal haemorrhage unspecified"	"J68z"	"J68z.00"	74474003	799611000006114	
303667019	"Gastrointestinal tract haemorrhage NOS"	"J68zz"	"J68zz00"	74474003	799681000006119	
1216930015	"Internal bleeding haemorrhoids"	"G8420"	"G842000"	75884004	1216930015	
507736019	"Lower gastrointestinal haemorrhage"	"ESCTLO2"	""	87763006	507736019	
486704010	"Upper gastrointestinal haemorrhage"	"J68z2"	"J68z200"	37372002	486704010	
981591000006114	"Abnormal bleeding/vaginal discharge"	"EMISCAB35"	""	981591000006105	981591000006114	
456809019	"Abnormal uterine and vaginal bleeding, unspecified"	"K5Ez"	"K5Ez.00"	312984006	437601000006119	
456806014	"Abnormal uterine bleeding unrelated to menstrual cycle"	"K5E0"	"K5E0.00"	312984006	456806014	
456807017	"Abnormal uterine bleeding, unspecified"	"K5E1"	"K5E1.00"	44991000119100	437621000006112	
456808010	"Abnormal vaginal bleeding, unspecified"	"K5E2"	"K5E2.00"	301822002	437631000006110	
363458015	"Accidental haemorrhage during medical care"	"TA0-1"	"TA0..11"	242996005	363458015	
297188013	"Acute and subacute haemorrhagic leukoencephalitis [Hurst]"	"F212"	"F212.00"	192933004	297188013	
474430017	"Acute duodenal ulcer with haemorrhage"	"J1201"	"J120100"	12847006	474430017	
507303017	"Acute duodenal ulcer with haemorrhage AND perforation"	"J1203"	"J120300"	86895006	507303017	
508664015	"Acute gastric ulcer with haemorrhage"	"J1101"	"J110100"	89748001	508664015	
495273013	"Acute gastric ulcer with haemorrhage AND perforation"	"J1103"	"J110300"	48974009	495273013	
499719010	"Acute gastrojejunal ulcer with haemorrhage"	"J1401"	"J140100"	63954007	499719010	
504674011	"Acute gastrojejunal ulcer with haemorrhage AND perforation"	"J1403"	"J140300"	81387001	504674011	
478553011	"Acute haemorrhagic gastritis"	"J1500"	"J150000"	2367005	481682019	
493743018	"Acute haemorrhagic pancreatitis"	"J6702"	"J670200"	4399003	493743018	
470365013	"Acute peptic ulcer with haemorrhage"	"J1301"	"J130100"	12274003	470365013	
361430016	"Acute peptic ulcer with haemorrhage and perforation"	"J1303"	"J130300"	111353003	361430016	
399228011	"Acute posthaemorrhagic anaemia"	"D211"	"D211.00"	267530009	399228011	
495316011	"Adrenal haemorrhage"	"C1542"	"C154200"	49111001	495316011	
356328018	"Adrenocortical haemorrhage"	"C1542-1"	"C154211"	237766002	356328018	
221161000000111	"Altered blood in stools"	"J681-2"	"J681.12"	2901004	221161000000111	
481141000006114	"Anal haemorrhage"	"J5731"	"J573100"	6072007	481141000006114	
886471000006110	"Anal/rectal haemorrhage"	"J573-99"	"J573.99"	266464001	886471000006110	
2871165011	"Aneurysm and dissection of precerebral artery"	"G729"	"G729.00"	713035000	1816201000006115	
352222018	"Angina bullosa haemorrhagica"	"J08zD"	"J08zD00"	235025005	352222018	
220801000000113	"Antepartum bleeding"	"L11-2"	"L11..12"	34842007	220801000000113	
485971018	"Antepartum haemorrhage"	"L11-1"	"L11..11"	34842007	485971018	
485721000006116	"Antepartum haemorrhage NOS"	"L11z"	"L11z.00"	34842007	485721000006116	
305747019	"Antepartum haemorrhage NOS"	"L11zz"	"L11zz00"	34842007	485731000006118	
305743015	"Antepartum haemorrhage NOS - delivered"	"L11z1"	"L11z100"	34842007	485741000006111	
